Simulation,Predator,PredatorStage,Source,TimeMeanPercent,NTimeStepsObserved
0,AtlanticHerring,"AtlanticHerring in [0.000000, 5.000000[",Benthos,0,20
0,AtlanticHerring,"AtlanticHerring in [0.000000, 5.000000[",Fish,0.46896733481384056,20
0,AtlanticHerring,"AtlanticHerring in [0.000000, 5.000000[",Plankton,99.53103311515,20
0,AtlanticHerring,"AtlanticHerring in [16.700001, inf[",Benthos,0,20
0,AtlanticHerring,"AtlanticHerring in [16.700001, inf[",Fish,35.76732032670077,20
0,AtlanticHerring,"AtlanticHerring in [16.700001, inf[",Plankton,64.23267905,20
0,AtlanticHerring,"AtlanticHerring in [5.000000, 16.700001[",Benthos,0,20
0,AtlanticHerring,"AtlanticHerring in [5.000000, 16.700001[",Fish,4.871526428424004,20
0,AtlanticHerring,"AtlanticHerring in [5.000000, 16.700001[",Plankton,95.1284741247265,20
0,AtlanticMackerel,"AtlanticMackerel in [0.000000, 5.000000[",Benthos,0,20
0,AtlanticMackerel,"AtlanticMackerel in [0.000000, 5.000000[",Fish,0.10910204010711053,20
0,AtlanticMackerel,"AtlanticMackerel in [0.000000, 5.000000[",Plankton,99.89089829035,20
0,AtlanticMackerel,"AtlanticMackerel in [28.700001, inf[",Benthos,0,20
0,AtlanticMackerel,"AtlanticMackerel in [28.700001, inf[",Fish,72.026458520005,20
0,AtlanticMackerel,"AtlanticMackerel in [28.700001, inf[",Plankton,27.97354115,20
0,AtlanticMackerel,"AtlanticMackerel in [5.000000, 28.700001[",Benthos,0,20
0,AtlanticMackerel,"AtlanticMackerel in [5.000000, 28.700001[",Fish,28.037836849325966,20
0,AtlanticMackerel,"AtlanticMackerel in [5.000000, 28.700001[",Plankton,71.9621629,20
0,AtlanticTomcod,"AtlanticTomcod in [0.000000, 5.000000[",Benthos,79.48953325,20
0,AtlanticTomcod,"AtlanticTomcod in [0.000000, 5.000000[",Fish,0.48208549905920806,20
0,AtlanticTomcod,"AtlanticTomcod in [0.000000, 5.000000[",Plankton,20.02838135265,20
0,AtlanticTomcod,"AtlanticTomcod in [15.000000, inf[",Benthos,53.87476195,20
0,AtlanticTomcod,"AtlanticTomcod in [15.000000, inf[",Fish,46.125237944822985,20
0,AtlanticTomcod,"AtlanticTomcod in [15.000000, inf[",Plankton,0,20
0,AtlanticTomcod,"AtlanticTomcod in [5.000000, 15.000000[",Benthos,87.9733082,20
0,AtlanticTomcod,"AtlanticTomcod in [5.000000, 15.000000[",Fish,11.98186945241577,20
0,AtlanticTomcod,"AtlanticTomcod in [5.000000, 15.000000[",Plankton,0.044822573397,20
0,Benthopelagics,"Benthopelagics in [0.000000, 2.000000[",Benthos,0,20
0,Benthopelagics,"Benthopelagics in [0.000000, 2.000000[",Fish,0.40001918406278025,20
0,Benthopelagics,"Benthopelagics in [0.000000, 2.000000[",Plankton,99.59998083895,20
0,Benthopelagics,"Benthopelagics in [2.000000, 4.000000[",Benthos,0,20
0,Benthopelagics,"Benthopelagics in [2.000000, 4.000000[",Fish,0.20646465755147997,20
0,Benthopelagics,"Benthopelagics in [2.000000, 4.000000[",Plankton,99.793534371305,20
0,Benthopelagics,"Benthopelagics in [4.000000, inf[",Benthos,0,20
0,Benthopelagics,"Benthopelagics in [4.000000, inf[",Fish,0.7218814890604976,20
0,Benthopelagics,"Benthopelagics in [4.000000, inf[",Plankton,99.27811958395,20
0,BlackSeaBass,"BlackSeaBass in [0.000000, 5.000000[",Benthos,22.63055275,20
0,BlackSeaBass,"BlackSeaBass in [0.000000, 5.000000[",Fish,1.2499294498238671,20
0,BlackSeaBass,"BlackSeaBass in [0.000000, 5.000000[",Plankton,76.1195176436,20
0,BlackSeaBass,"BlackSeaBass in [19.100000, inf[",Benthos,38.6335421,20
0,BlackSeaBass,"BlackSeaBass in [19.100000, inf[",Fish,61.36645753576368,20
0,BlackSeaBass,"BlackSeaBass in [19.100000, inf[",Plankton,0,20
0,BlackSeaBass,"BlackSeaBass in [5.000000, 19.100000[",Benthos,70.409416,20
0,BlackSeaBass,"BlackSeaBass in [5.000000, 19.100000[",Fish,29.59058381240697,20
0,BlackSeaBass,"BlackSeaBass in [5.000000, 19.100000[",Plankton,0,20
0,Flounders,"Flounders in [0.000000, 5.000000[",Benthos,21.39499275,20
0,Flounders,"Flounders in [0.000000, 5.000000[",Fish,2.1807124968780847,20
0,Flounders,"Flounders in [0.000000, 5.000000[",Plankton,76.42429485,20
0,Flounders,"Flounders in [35.000000, inf[",Benthos,0,20
0,Flounders,"Flounders in [35.000000, inf[",Fish,100.00000037742248,20
0,Flounders,"Flounders in [35.000000, inf[",Plankton,0,20
0,Flounders,"Flounders in [5.000000, 35.000000[",Benthos,82.11279185,20
0,Flounders,"Flounders in [5.000000, 35.000000[",Fish,17.887207974827685,20
