Simulation,Prey,Predator,DietPercent,NPredatorStagesObserved
0,AtlanticHerring,AtlanticHerring,0.480423379528535,3
0,AtlanticHerring,AtlanticMackerel,2.7775638958666664,3
0,AtlanticHerring,AtlanticTomcod,0.15482111729249998,2
0,AtlanticHerring,Benthopelagics,0.09135441409299999,3
0,AtlanticHerring,BlackSeaBass,1.9453901604969999,3
0,AtlanticHerring,Flounders,6.3877256344325,2
0,AtlanticHerring,Goosefish,1.3207998946908335,3
0,AtlanticHerring,Hakes,3.6304611692230995,3
0,AtlanticHerring,MiscellaneousDemersals,1.1687002832416666,3
0,AtlanticHerring,Scup,1.322859126427833,3
0,AtlanticHerring,ShallowDemersal,2.6643293710816334,3
0,AtlanticHerring,SkateRays,1.9534154136135,2
0,AtlanticHerring,SpinyDogfish,2.188983425475,2
0,AtlanticHerring,Squids,6.348936582833333,3
0,AtlanticHerring,StripedBass,3.9740473452898333,3
0,AtlanticHerring,WhitePerch,1.1620883257751111,3
0,AtlanticHerring,WinterFlounder,6.459501433617126,2
0,AtlanticMackerel,AtlanticHerring,0.11095670110625,3
0,AtlanticMackerel,AtlanticMackerel,8.57606605290355,3
0,AtlanticMackerel,AtlanticTomcod,0,2
0,AtlanticMackerel,Benthopelagics,2.4827824835e-4,3
0,AtlanticMackerel,BlackSeaBass,0.51304360998945,3
0,AtlanticMackerel,Flounders,1.731442293425,2
0,AtlanticMackerel,Goosefish,4.312675330081833,3
0,AtlanticMackerel,Hakes,1.1142160034454667,3
0,AtlanticMackerel,MiscellaneousDemersals,0.26805039725266666,3
0,AtlanticMackerel,Scup,0.22856847174004336,3
0,AtlanticMackerel,ShallowDemersal,0.40857891497366666,3
0,AtlanticMackerel,SkateRays,2.859941401125,2
0,AtlanticMackerel,SpinyDogfish,4.6487664558735,2
0,AtlanticMackerel,Squids,1.24046084919105,3
0,AtlanticMackerel,StripedBass,4.409032405716764,3
0,AtlanticMackerel,WhitePerch,0,3
0,AtlanticMackerel,WinterFlounder,1.681948138082625,2
0,AtlanticTomcod,AtlanticHerring,9.081482877722931e-4,3
0,AtlanticTomcod,AtlanticMackerel,0,3
0,AtlanticTomcod,AtlanticTomcod,0.0257847804655725,2
0,AtlanticTomcod,Benthopelagics,9.154127916666667e-7,3
0,AtlanticTomcod,BlackSeaBass,0,3
0,AtlanticTomcod,Flounders,0.0033937460145900002,2
0,AtlanticTomcod,Goosefish,0,3
0,AtlanticTomcod,Hakes,0,3
0,AtlanticTomcod,MiscellaneousDemersals,0.0051167415391001995,3
0,AtlanticTomcod,Scup,0,3
0,AtlanticTomcod,ShallowDemersal,0.02079616580617,3
0,AtlanticTomcod,SkateRays,0,2
0,AtlanticTomcod,SpinyDogfish,0,2
0,AtlanticTomcod,Squids,0,3
0,AtlanticTomcod,StripedBass,0.0055874047283333336,3
0,AtlanticTomcod,WhitePerch,0.0017198232706233335,3
0,AtlanticTomcod,WinterFlounder,0.00669489062474675,2
0,Benthopelagics,AtlanticHerring,6.4392611826450485,3
0,Benthopelagics,AtlanticMackerel,10.021666624933333,3
0,Benthopelagics,AtlanticTomcod,11.65302716875,2
0,Benthopelagics,Benthopelagics,0.0415668443855,3
0,Benthopelagics,BlackSeaBass,3.2239635461,3
0,Benthopelagics,Flounders,2.15748302445,2
0,Benthopelagics,Goosefish,1.8295698465714825,3
0,Benthopelagics,Hakes,3.01750252,3
0,Benthopelagics,MiscellaneousDemersals,2.6135748915593333,3
0,Benthopelagics,Scup,2.2268809016782747,3
0,Benthopelagics,ShallowDemersal,8.813855140475138,3
0,Benthopelagics,SkateRays,5.792819455749999,2
0,Benthopelagics,SpinyDogfish,4.454580472750001,2
0,Benthopelagics,Squids,10.077232037495,3
0,Benthopelagics,StripedBass,3.4996985242249874,3
0,Benthopelagics,WhitePerch,16.316393304529445,3
0,Benthopelagics,WinterFlounder,12.461261048496,2
0,Benthos,AtlanticHerring,0,3
0,Benthos,AtlanticMackerel,0,3
0,Benthos,AtlanticTomcod,68.54721275,2
0,Benthos,Benthopelagics,0,3
0,Benthos,BlackSeaBass,34.9607557,3
0,Benthos,Flounders,22.64878565,2
0,Benthos,Goosefish,13.621972458333333,3
0,Benthos,Hakes,18.61333715,3
0,Benthos,MiscellaneousDemersals,48.52575115,3
0,Benthos,Scup,48.436090433333334,3
0,Benthos,ShallowDemersal,0,3
0,Benthos,SkateRays,63.448620475,2
0,Benthos,SpinyDogfish,54.2336148,2
0,Benthos,Squids,0,3
0,Benthos,StripedBass,12.393802814829288,3
0,Benthos,WhitePerch,42.08008961111111,3
0,Benthos,WinterFlounder,25.29903715,2
0,BlackSeaBass,AtlanticHerring,0.8031798728030668,3
0,BlackSeaBass,AtlanticMackerel,1.2325317175866666,3
0,BlackSeaBass,AtlanticTomcod,0,2
0,BlackSeaBass,Benthopelagics,0.029611927811316666,3
0,BlackSeaBass,BlackSeaBass,0.5598071021738084,3
0,BlackSeaBass,Flounders,0.57493359940325,2
0,BlackSeaBass,Goosefish,0.43556311787999,3
0,BlackSeaBass,Hakes,0.3816234417116333,3
0,BlackSeaBass,MiscellaneousDemersals,0.14175589126446667,3
0,BlackSeaBass,Scup,0.5438605782016186,3
0,BlackSeaBass,ShallowDemersal,1.2381034172579732,3
0,BlackSeaBass,SkateRays,0.40054147881,2
0,BlackSeaBass,SpinyDogfish,0.48675875149000003,2
0,BlackSeaBass,Squids,1.7450213356233333,3
0,BlackSeaBass,StripedBass,0.6462811946682425,3
0,BlackSeaBass,WhitePerch,0,3
0,BlackSeaBass,WinterFlounder,0.769728227668925,2
0,Diazotrophs,AtlanticHerring,0,3
0,Diazotrophs,AtlanticMackerel,0,3
0,Diazotrophs,AtlanticTomcod,0,2
0,Diazotrophs,Benthopelagics,0,3
0,Diazotrophs,BlackSeaBass,0,3
0,Diazotrophs,Flounders,0,2
0,Diazotrophs,Goosefish,0,3
0,Diazotrophs,Hakes,0,3
0,Diazotrophs,MiscellaneousDemersals,0,3
0,Diazotrophs,Scup,0,3
0,Diazotrophs,ShallowDemersal,0,3
0,Diazotrophs,SkateRays,0,2
0,Diazotrophs,SpinyDogfish,0,2
0,Diazotrophs,Squids,0,3
0,Diazotrophs,StripedBass,0,3
0,Diazotrophs,WhitePerch,0,3
0,Diazotrophs,WinterFlounder,0,2
0,Flounders,AtlanticHerring,0.12439973387974526,3
0,Flounders,AtlanticMackerel,0.5097946221833334,3
0,Flounders,AtlanticTomcod,0.1373841465144,2
0,Flounders,Benthopelagics,0.0430007121475,3
0,Flounders,BlackSeaBass,0.18235231009122332,3
0,Flounders,Flounders,0.6668110764999999,2
0,Flounders,Goosefish,1.4118042556781916,3
0,Flounders,Hakes,0.4743477721886833,3
0,Flounders,MiscellaneousDemersals,0.24741908100166668,3
0,Flounders,Scup,0.13656324624942168,3
0,Flounders,ShallowDemersal,0.7045385787776667,3
0,Flounders,SkateRays,0.7403116833931225,2
0,Flounders,SpinyDogfish,1.1271492059755,2
0,Flounders,Squids,1.0068798009,3
0,Flounders,StripedBass,1.3944186453166667,3
0,Flounders,WhitePerch,1.2405578499841916,3
0,Flounders,WinterFlounder,1.9316915426384,2
0,Goosefish,AtlanticHerring,0.05291613854633183,3
0,Goosefish,AtlanticMackerel,4.422124668332967,3
0,Goosefish,AtlanticTomcod,0,2
0,Goosefish,Benthopelagics,1.6143587769050002e-5,3
0,Goosefish,BlackSeaBass,0.0061455289931454,3
0,Goosefish,Flounders,0.04425970445116972,2
0,Goosefish,Goosefish,0.036261096945534,3
0,Goosefish,Hakes,0.0330424725149,3
0,Goosefish,MiscellaneousDemersals,0.02389946411078795,3
0,Goosefish,Scup,0.004485770149827516,3
0,Goosefish,ShallowDemersal,0.242308934721158,3
0,Goosefish,SkateRays,0.0012810119104249998,2
0,Goosefish,SpinyDogfish,0.005764738720605,2
0,Goosefish,Squids,0.7739199120542233,3
0,Goosefish,StripedBass,0.014616648325971501,3
0,Goosefish,WhitePerch,0,3
0,Goosefish,WinterFlounder,0.382354138489121,2
0,Hakes,AtlanticHerring,0.08364518953437261,3
0,Hakes,AtlanticMackerel,8.639499080017833,3
0,Hakes,AtlanticTomcod,0,2
0,Hakes,Benthopelagics,0.0017582666951683336,3
0,Hakes,BlackSeaBass,0.285921399652816,3
0,Hakes,Flounders,0.9774091320372693,2
0,Hakes,Goosefish,0.6076915677947035,3
0,Hakes,Hakes,0.5005198769722901,3
0,Hakes,MiscellaneousDemersals,0.18151929099315234,3
0,Hakes,Scup,0.12615043327877942,3
0,Hakes,ShallowDemersal,0.3658724748235833,3
0,Hakes,SkateRays,0.43460030058625004,2
0,Hakes,SpinyDogfish,0.5550412326883,2
0,Hakes,Squids,0.9348683723309332,3
0,Hakes,StripedBass,0.7426901314340679,3
0,Hakes,WhitePerch,0,3
0,Hakes,WinterFlounder,0.8471660414503001,2
0,LargePhytoplankton,AtlanticHerring,0.014157423108333334,3
0,LargePhytoplankton,AtlanticMackerel,0.004579976838333334,3
0,LargePhytoplankton,AtlanticTomcod,0.005779744,2
0,LargePhytoplankton,Benthopelagics,0.013219844695666668,3
0,LargePhytoplankton,BlackSeaBass,0.01174257731,3
0,LargePhytoplankton,Flounders,0,2
0,LargePhytoplankton,Goosefish,0.005862582516666667,3
0,LargePhytoplankton,Hakes,0.009227265686666666,3
0,LargePhytoplankton,MiscellaneousDemersals,0.011256827201666667,3
0,LargePhytoplankton,Scup,0.014524499594803921,3
0,LargePhytoplankton,ShallowDemersal,0.014938840131666666,3
0,LargePhytoplankton,SkateRays,0,2
0,LargePhytoplankton,SpinyDogfish,0,2
0,LargePhytoplankton,Squids,0.005013078081666666,3
0,LargePhytoplankton,StripedBass,0.00597709485,3
0,LargePhytoplankton,WhitePerch,0.014931611433738888,3
0,LargePhytoplankton,WinterFlounder,0,2
0,LargeZooplankton,AtlanticHerring,53.27476227216667,3
0,LargeZooplankton,AtlanticMackerel,32.30260031666667,3
0,LargeZooplankton,AtlanticTomcod,2.535069025,2
0,LargeZooplankton,Benthopelagics,64.510072955,3
0,LargeZooplankton,BlackSeaBass,4.3980286883333335,3
0,LargeZooplankton,Flounders,22.86762435,2
0,LargeZooplankton,Goosefish,9.461982285,3
0,LargeZooplankton,Hakes,4.399149006666667,3
0,LargeZooplankton,MiscellaneousDemersals,12.311930895,3
0,LargeZooplankton,Scup,13.888358485196079,3
0,LargeZooplankton,ShallowDemersal,31.181766738500002,3
0,LargeZooplankton,SkateRays,0,2
0,LargeZooplankton,SpinyDogfish,0,2
0,LargeZooplankton,Squids,10.46540123,3
0,LargeZooplankton,StripedBass,8.87230315615,3
0,LargeZooplankton,WhitePerch,5.223513222794445,3
0,LargeZooplankton,WinterFlounder,22.372858075,2
0,MediumPhytoplankton,AtlanticHerring,0.52400556005,3
0,MediumPhytoplankton,AtlanticMackerel,0.7719041869,3
0,MediumPhytoplankton,AtlanticTomcod,1.008106525,2
0,MediumPhytoplankton,Benthopelagics,1.0877333412333332,3
0,MediumPhytoplankton,BlackSeaBass,0,3
0,MediumPhytoplankton,Flounders,0,2
0,MediumPhytoplankton,Goosefish,0,3
0,MediumPhytoplankton,Hakes,0,3
0,MediumPhytoplankton,MiscellaneousDemersals,0,3
0,MediumPhytoplankton,Scup,0,3
0,MediumPhytoplankton,ShallowDemersal,0,3
0,MediumPhytoplankton,SkateRays,0,2
0,MediumPhytoplankton,SpinyDogfish,0,2
0,MediumPhytoplankton,Squids,0,3
0,MediumPhytoplankton,StripedBass,0,3
0,MediumPhytoplankton,WhitePerch,0,3
0,MediumPhytoplankton,WinterFlounder,0,2
0,MediumZooplankton,AtlanticHerring,18.873415475,3
0,MediumZooplankton,AtlanticMackerel,3.8766636616666665,3
