"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,1003.6977,2916.7336,54.638763,20.524307,124.17324,199.26067,42.197647,576.3312,308.49042,498.79047,1100.8894,604.12494,1159.5533,356.6909,729.362,0.0,0.0
2.0,334.00827,8.361026,14.177422,2.3875134,98.35308,348.3444,52.153397,4.8786254,349.24255,36.488262,1236.4526,385.04004,66.65664,146.30193,90.29283,0.0,0.0
3.0,104.98383,0.44719812,5.7861032,0.1335594,81.453514,506.1579,108.02919,0.3940738,311.91574,2.1754696,847.4819,141.8063,33.01108,30.638449,3.2972376,0.0,0.0
4.0,14.511621,0.029425211,0.32435292,0.0073254053,41.687958,1010.2773,63.851875,0.94239825,236.5188,0.011619359,1273.7839,750.9755,28.89713,25.703182,0.07788118,0.0,0.0
5.0,20.017982,0.0054406407,0.0,0.0080514075,47.649242,1162.3848,94.94477,0.726796,212.39911,0.027577953,1275.4121,879.77185,21.320114,28.963251,0.002567313,0.0,0.0
6.0,27.818174,0.04072406,0.0,0.023291877,35.363,891.77167,84.62169,0.25734183,246.55371,1.7759285,870.82306,2377.0554,12.637555,38.02413,0.001562494,0.0,0.0
7.0,62.63906,0.09253665,42.993343,0.08773523,39.251846,835.03156,85.100784,0.20257309,171.42955,1.4241233,768.89185,2953.5989,11.5303135,47.054436,1.2589608E-4,0.0,0.0
8.0,60.25766,0.050730996,171.96074,0.4874826,45.71143,511.35278,105.25302,0.42148077,182.1881,0.34168622,679.1282,1946.6853,5.6948586,41.012035,0.025958532,0.0,0.0
9.0,78.535324,0.13224831,43.09445,0.25973248,34.705746,499.3111,118.7057,0.28743103,234.29538,0.41586807,1246.5283,2294.1226,11.48643,20.682854,0.013778694,0.0,0.0
10.0,123.59461,0.11042599,49.252377,0.3524889,40.923767,384.31216,163.07796,0.049214777,206.44923,1.4768866,1078.1603,2009.6996,10.037917,47.404114,0.120055266,0.0,0.0
11.0,95.92924,0.037836917,108.36959,0.64184475,28.113766,364.49203,238.3331,0.051288895,129.20766,1.6355149,1226.704,2650.549,7.431753,44.388584,0.64987284,0.0,0.0
12.0,82.937454,0.063730985,151.77216,0.7291921,41.483147,293.44742,169.9235,0.05224802,289.15558,0.74106014,732.18835,1452.0853,18.607138,30.02884,0.25488013,0.0,0.0
13.0,80.59474,0.36667964,96.99234,0.70915866,41.929455,219.69968,297.77136,0.29574934,223.21152,1.1920261,1055.5586,2222.1682,12.954259,21.134657,0.03176862,0.0,0.0
14.0,80.3623,0.118745096,88.58253,1.1922702,37.033424,234.84357,144.82455,1.1752673,162.96118,1.6396117,765.0936,1382.3956,15.532462,15.540762,0.025182007,0.0,0.0
15.0,67.964676,0.19016564,122.99119,0.6829025,52.62548,127.45943,235.01706,0.5396693,228.66714,1.1620231,764.345,972.0817,68.71484,15.644369,0.052837733,0.0,0.0
16.0,65.99693,0.043565024,93.948586,0.84676373,35.80525,84.28035,173.08702,0.40988114,265.578,0.5258223,566.99164,2651.3745,38.08867,13.406526,0.07750257,0.0,0.0
17.0,49.725945,0.07182086,72.60832,0.82590896,44.87276,79.268234,305.59372,0.46092218,328.83517,0.7971138,790.7639,544.61053,31.27647,23.669409,0.04356641,0.0,0.0
18.0,42.153835,0.1909182,41.204784,0.62765574,35.934925,67.86785,197.89568,0.22530362,232.6602,0.5533968,431.08313,876.6801,67.15958,14.953992,0.009089491,0.0,0.0
19.0,46.068207,0.08186421,25.801003,0.38830182,27.890793,45.58909,182.85641,0.2661017,228.66243,0.37250382,246.20818,662.7785,41.788063,21.403008,0.0079284115,0.0,0.0
20.0,19.703846,0.03682605,25.206495,0.41648853,35.523792,32.454433,176.40182,0.16348392,202.16536,0.19302814,208.35588,426.25674,71.18835,45.189865,6.888974E-4,0.0,0.0
