"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,1.2955394446654314,1.5945896723065647,0.3147185625748417,0.0,0.9652324545600705,0.9859198612773264,0.017289767307386728,3.3590233458686525,3.364816198758141,0.0,0.0,2.8556270188764703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028844717362388597,0.0,0.0,1.414961774807763E-4,
2.0,1.3627088954737396,1.7313895532697396,1.0946526980261508,0.0,0.6562922763077107,0.8831845826146861,0.014382215792721536,3.3381025961878943,3.3491026170427647,0.0,0.0,2.025491263653683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020459507713673577,0.0,0.0,0.0,
3.0,1.0728765630348485,2.3018704907054026,1.053634185940309,0.0,0.2688540583699994,0.44015057543014235,0.01388310956203434,3.3214420931672954,1.9321880807760545,0.0,0.0,1.3770899104246863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013909999095198853,0.0,0.0,0.0,
4.0,0.4785502581325967,2.4591892719090387,1.8290512487135735,0.0,0.41664722118441083,0.6874153219257008,0.012893941100676641,3.335398882454241,3.029634276473365,0.0,0.0,2.5143871623130756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025397850124374514,0.0,0.0,0.0,
5.0,0.5163560609105655,2.2678960627371545,1.8114873212642564,0.0,0.3562492837457982,0.7253524270922552,0.012954638353370506,3.320462598495456,2.8277820541002887,0.0,0.0,1.4726577826973066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014875331138356627,0.0,0.0,0.0,
6.0,0.43998708946801246,2.0306764191571878,3.875663602648768,0.0,0.3000460451784135,0.5429267511790683,0.012830516538025713,3.3346134240310774,3.081152983848325,0.0,0.0,1.9860978196903918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020061594138286783,0.0,0.0,0.0,
7.0,0.47492874913379596,2.2004072368660044,0.9729559130480423,0.0,0.3030850042759313,0.48040876232359153,0.012888430067974537,3.3396101440623496,3.248168221708389,0.0,0.0,2.7253669943794763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027528959539186625,0.0,0.0,0.0,
8.0,0.6415197909054293,2.012696235464163,1.0567527133946897,0.0,0.3606019972806528,0.6079657680241833,0.013158576858143206,3.3445567249382107,3.3208939065870977,0.0,0.0,1.1866482720397105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011986346182219302,0.0,0.0,0.0,
9.0,0.660018782650058,2.3341746137125634,0.9273056282629955,0.0,0.3047803958654207,0.7333907396219742,0.013189445852729154,3.3315097696136213,3.3295233160434887,0.0,0.0,2.0631815951162786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020840218132487664,0.0,0.0,0.0,
10.0,0.62592657375036,2.075921486246608,1.3080935904134003,0.0,0.37657633690503556,0.8456814314011786,0.013133798352276786,3.345385002876532,3.3227837390112316,0.0,0.0,1.50634848813574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015215641294300404,0.0,0.0,0.0,
