"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,2.4397603276037967,4.862073736863965,0.2851848103930861,0.0,0.24751617045907975,0.6200008234561025,0.05587733554855068,0.08827133520618989,0.0915154672363268,0.0,0.0,0.3434417734279321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003469108822504367,0.0,0.0,0.021451625434394446,
2.0,2.040275243343941,3.6157216780235975,0.5942435442611701,0.0,0.5839702595946475,0.5325333634276324,0.04853166802761936,0.08834710058868248,0.0914723260743161,0.0,0.0,0.6172084222126377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00623442850719836,0.0,0.0,0.020173695265164396,
3.0,1.43295836530171,3.9088100990407946,0.6183380346657656,0.0,0.42899212617385196,0.49190222183834154,0.04645480201091221,0.08822478131302021,0.09140633456727776,0.0,0.0,0.4401743621120862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004446205677899863,0.0,0.0,0.02660315131927895,
4.0,0.8388788786559194,4.613994104059815,0.30120204649670074,0.0,0.4615753238982848,0.8784058636424175,0.04447931871726066,0.08837006735006643,0.09146824970226623,0.0,0.0,0.4394068314021753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004438452842446216,0.0,0.0,1.5369570320592854E-4,
5.0,0.780552239413139,4.450074324630119,0.287626577083739,0.0,0.5084371213905857,0.6632768507767823,0.04429269567882454,0.08875031631762999,0.09147853283459395,0.0,0.0,0.3510368294799746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035458265604037826,0.0,0.0,1.4374115266412144E-5,
6.0,0.9287168138032394,4.593283209576533,0.26534758029334315,0.0,0.4185159780095899,0.771862205003871,0.04478393658813192,0.0891765342905426,0.09147746999371766,0.0,0.0,0.8897683836069407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00898755943037314,0.0,0.0,1.2265770109628444E-6,
7.0,1.221214309681444,4.32672215938699,0.300334647552937,0.0,0.4605892403669061,0.5452032224263053,0.04574881910909397,0.08901574303265888,0.09147984679528562,0.0,0.0,1.36402699946447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013778050499641111,0.0,0.0,0.0,
8.0,1.0614197851343383,4.192034000225943,0.2983030875666803,0.0,0.5180292682205867,0.5618748308442115,0.04522315326175005,0.08900578097790143,0.09146999051327083,0.0,0.0,0.82073880644279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008290290974169593,0.0,0.0,0.0,
9.0,1.309241534994829,4.661404484436204,0.31806423416696583,0.0,0.5250030895828032,0.6315692279391224,0.04605131480086116,0.0890282020044463,0.09147424244256111,0.0,0.0,0.744923331615417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007524478097125423,0.0,0.0,0.0,
10.0,1.3127229613020497,4.389161079528801,0.35479137474207295,0.0,0.5222403391079561,0.5844816018635852,0.04605483562572233,0.08905039322905155,0.09147241297426001,0.0,0.0,0.6359243822012188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006423478608093119,0.0,0.0,0.0,
