"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.6961541712840782,1.547880526480845,0.15605234021419068,0.0,0.0,0.0,4.867769765246888,0.018582337947457808,0.01872111238001286,0.0,0.0,0.11967814014304116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012088701024549609,0.0,0.0,0.08625818018694534,
2.0,0.5978563854996923,1.257258249614586,0.17542818267361932,0.0,0.0,0.0,4.775221604292006,0.01864451344259685,0.01871793395814267,0.0,0.0,0.1327241713947927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001340648195906996,0.0,0.0,0.07824660819627924,
3.0,0.5985720624572478,1.2182136715215628,0.21078165606992003,0.0,0.0,0.0,4.77640879177106,0.01863990612177648,0.01871510004809593,0.0,0.0,0.09131119436047248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22335296570428E-4,0.0,0.0,0.07081868697655633,
4.0,0.6046165285383889,1.2234716639205065,0.23656462883167467,0.0,0.0,0.0,4.779246936544278,0.01862706142345041,0.018712257194749636,0.0,0.0,0.1424600771610437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014389906783943793,0.0,0.0,0.06329793399005489,
5.0,0.7202065986578534,1.0389260638226914,0.24210799983355677,0.0,0.0,0.0,4.887499032424259,0.018642362339066288,0.01870883113432734,0.0,0.0,0.1524859158875763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001540261776642186,0.0,0.0,0.05440053683783977,
6.0,0.7776822082639203,0.91199022396791,0.20225569216326167,0.0,0.0,0.0,4.941495458659744,0.01864278913823525,0.01870606939735333,0.0,0.0,0.10895911881779606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011005971597757172,0.0,0.0,0.04757582949470085,
7.0,0.8802235163298493,0.7956848190569956,0.1909952278896722,0.0,0.0,0.0,5.044562371079421,0.01865561733725061,0.018706793038453063,0.0,0.0,0.11181022480469764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011293962101484613,0.0,0.0,0.04964188865233043,
8.0,0.8391007456866847,0.8215847656075245,0.1901570539330037,0.0,0.0,0.0,5.002755868725585,0.01864523009702069,0.01870492447666174,0.0,0.0,0.09986849630080716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010087726899071431,0.0,0.0,0.04510089052271843,
9.0,0.817068139367321,0.8545771083081688,0.19347180018626642,0.0,0.0,0.0,4.9804012575123595,0.018642955934833547,0.0187013771151806,0.0,0.0,0.17325507195363424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001750051231854891,0.0,0.0,0.03603427306433092,
10.0,0.798754293690579,0.9047222981041876,0.2025603221590973,0.0,0.0,0.0,4.964341660679052,0.01863931269637948,0.018697703689131307,0.0,0.0,0.1399490480452444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001413626747931762,0.0,0.0,0.027324420733384074,
11.0,0.802314814042276,0.9564073353837248,0.19913875478210316,0.0,0.0,0.0,4.964783946430351,0.01863940423162734,0.018698292380874598,0.0,0.0,0.15689313530353557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015847791444801571,0.0,0.0,0.02865672289905205,
12.0,0.785859849423328,0.9992720510845885,0.20545474871589545,0.0,0.0,0.0,4.950785505784472,0.018640663628393672,0.018704501263627236,0.0,0.0,0.09468964904998413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.564611015149909E-4,0.0,0.0,0.045101507254458946,
13.0,0.7475316398779466,1.112692668972672,0.21299065967970124,0.0,0.0,0.0,4.9121334080806935,0.018627210331102362,0.018705758272395845,0.0,0.0,0.14426894780565433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014572620990470138,0.0,0.0,0.04852568777946867,
14.0,0.8064500901717725,1.0893689083373712,0.2360234863144149,0.0,0.0,0.0,4.968145855292384,0.018644270268556622,0.018693380788513736,0.0,0.0,0.10782147185470434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010891057763101457,0.0,0.0,0.017261144760768392,
15.0,0.7380576248158319,1.2170461784295439,0.2540784956045089,0.0,0.0,0.0,4.902661828213429,0.018637482495455195,0.01870159772402455,0.0,0.0,0.11454024609484942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001156972182776257,0.0,0.0,0.040932767195050145,
16.0,0.7833432928179397,1.339590175698029,0.27906414654311906,0.0,0.0,0.0,4.9509953810252805,0.018641010538590158,0.018706748687301582,0.0,0.0,0.09529650367701203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62590946232444E-4,0.0,0.0,0.05462983515968497,
17.0,0.7346237079050706,1.5430248784169622,0.2965285974963114,0.0,0.0,0.0,4.900697196782244,0.01863473218402256,0.01871521653307487,0.0,0.0,0.16152983861506143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016316145314652676,0.0,0.0,0.0783767586881008,
18.0,0.7542172706059173,1.8870159057937657,0.31156154046181683,0.0,0.0,0.0,4.917800140248171,0.018619091555769917,0.018714320312105695,0.0,0.0,0.113849543112768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001149995384977454,0.0,0.0,0.07315567460491167,
19.0,0.7653396677183646,2.1881468648688083,0.3569813824735496,0.0,0.0,0.0,4.931115812624533,0.01862047791796249,0.018714619232973583,0.0,0.0,0.08441421512559118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.526688396524362E-4,0.0,0.0,0.0864517663963723,
20.0,0.7333729443514114,2.543401183955646,0.34198010843115073,0.0,0.0,0.0,4.898656700990137,0.018613948856444802,0.018724898231762384,0.0,0.0,0.10045700100026071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010147171818208152,0.0,0.0,0.11271898337885547,
