"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.05740820812967287,0.15043500321551587,0.0,0.0,0.0,0.0,0.0,0.06852661237867214,0.06856958854072706,0.0,0.0,0.008862928381499916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.952452910605974E-5,0.0,0.0,0.03136961141574834,
2.0,0.2703400089645755,0.34212325896667334,0.0,0.0,0.0,0.0,0.0,0.06851271968908385,0.06857051000758739,0.0,0.0,0.007395915262902748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.470621477679537E-5,0.0,0.0,0.031968644624170456,
3.0,0.3529580510283137,0.44458439080074025,0.0,0.0,0.0,0.0,0.0,0.06849543354402518,0.0685705707910299,0.0,0.0,0.006466302572311133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.531618759910239E-5,0.0,0.0,0.03201173843511229,
4.0,0.272394547017931,0.4323758744882671,0.0,0.0,0.0,0.0,0.0,0.06849324697097006,0.0685704110839856,0.0,0.0,0.003509472008381215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.544921220587087E-5,0.0,0.0,0.03190159323577141,
5.0,0.18828281369933628,0.35386878309063563,0.0,0.0,0.0,0.0,0.0,0.06850749501998885,0.06857123425056658,0.0,0.0,0.004251721095872524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.294667773608605E-5,0.0,0.0,0.03247610203715683,
6.0,0.21374013068311778,0.27640976756040037,0.0,0.0,0.0,0.0,0.0,0.06852291712838783,0.06857287628234861,0.0,0.0,0.0033212547801658894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.354802808248373E-5,0.0,0.0,0.03362366860461325,
7.0,0.12474663198693098,0.2188696523471199,0.0,0.0,0.0,0.0,0.0,0.06852376699437639,0.06857291166807813,0.0,0.0,0.003875335023629991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9144798218484796E-5,0.0,0.0,0.03364795228527579,
8.0,0.09320567516840347,0.20191423138455486,0.0,0.0,0.0,0.0,0.0,0.06852172901793228,0.06857270905651297,0.0,0.0,0.004804073689676427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8525996865418446E-5,0.0,0.0,0.033506284147281476,
9.0,0.14755079188238246,0.18583024596206638,0.0,0.0,0.0,0.0,0.0,0.06852169965238077,0.06857459057598987,0.0,0.0,0.003883615586647693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922844026916859E-5,0.0,0.0,0.03482136492668965,
10.0,0.06242058980801306,0.17766703391901084,0.0,0.0,0.0,0.0,0.0,0.06851842500165556,0.06857538261928628,0.0,0.0,0.004802260960870053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.850768647343488E-5,0.0,0.0,0.035374025764749184,
11.0,0.13127248287770968,0.176529029271821,0.0,0.0,0.0,0.0,0.0,0.06851715837587023,0.06857532824147855,0.0,0.0,0.0035086386565874764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.544079451098466E-5,0.0,0.0,0.035336403048134665,
12.0,0.0850463931140907,0.18454173406098973,0.0,0.0,0.0,0.0,0.0,0.0685162131139498,0.06857631178859802,0.0,0.0,0.005544192509562725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.600194454103765E-5,0.0,0.0,0.03602279397902243,
13.0,0.06202688601659799,0.17935267547503736,0.0,0.0,0.0,0.0,0.0,0.06851798532433243,0.06857817391889161,0.0,0.0,0.0059164054218701885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.976167092798166E-5,0.0,0.0,0.03732305612601741,
