"Distribution of cumulative catch (number of fish per time step of saving) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.20590816E8,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965626.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,1.0108276E7,0.0,0.0,12693.049,0.0,0.0,0.0,0.0,408352.62,0.0,0.0,72608.79,0.0,830668.3,2026744.5,0.0,0.0
1.0,30.0,97722.61,5445860.5,0.0,14391.895,0.0,0.0,0.0,508743.88,0.0,0.0,0.0,673306.44,0.0,293571.72,0.0,0.0,0.0
1.0,40.0,0.0,747828.7,30484.457,0.0,0.0,0.0,1284.5818,195972.95,0.0,1546.7727,701922.3,610946.1,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,4137.1494,0.0,0.0,0.0,1537.6031,0.0,0.0,105101.56,702938.56,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.1774,0.0,0.0,54546.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,14789.296,724.09827,0.0,0.0,2653.8428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,10255.624,463.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,4087.554,326.43362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,5088.2407,210.05293,240.12741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,16126.183,0.0,165.63568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,106.307594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,74.86969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,43.22948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8417669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0255542E7,0.0,0.0,0.0,0.0
2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994201.5,0.0,0.0,0.0,3858.5588,0.0,0.0,0.0,0.0
2.0,20.0,4382230.5,0.0,0.0,1685.926,0.0,0.0,0.0,0.0,46216.26,0.0,0.0,63784.258,0.0,379626.25,252841.58,0.0,0.0
2.0,30.0,8944.624,20577.158,0.0,1581.3297,0.0,0.0,0.0,7971.3794,0.0,0.0,0.0,314965.4,0.0,105542.086,0.0,0.0,0.0
2.0,40.0,0.0,503.05487,11552.855,0.0,0.0,0.0,1576.6667,258.44,0.0,178.9161,774452.56,431713.56,0.0,0.0,0.0,0.0,0.0
2.0,50.0,0.0,0.0,9.72886,0.0,0.0,0.0,2035.0769,0.0,0.0,6890.833,793016.44,0.0,0.0,0.0,0.0,0.0,0.0
2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.708,0.0,0.0,4088.8489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,0.0,25671.309,992.07336,0.0,0.0,395.4314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,0.0,18064.654,609.61066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,0.0,7153.716,400.70523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,4075.7341,332.3944,283.52524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,12771.43,0.0,195.85405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,120.114876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,81.802956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,47.72918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7310897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.499961E7,0.0,0.0,0.0,0.0
3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2575173.0,0.0,0.0,0.0,84.24471,0.0,0.0,0.0,0.0
3.0,20.0,1524738.8,0.0,0.0,48.991062,0.0,0.0,0.0,0.0,85841.3,0.0,0.0,414833.06,0.0,123109.28,9457.066,0.0,0.0
3.0,30.0,256.3258,1155.7499,0.0,100.33635,0.0,0.0,0.0,851.1106,0.0,0.0,0.0,92386.25,0.0,13879.752,0.0,0.0,0.0
3.0,40.0,0.0,0.0,4719.021,0.0,0.0,0.0,2128.6448,0.0,0.0,14.211931,515407.22,71399.79,0.0,0.0,0.0,0.0,0.0
3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3344.3887,0.0,0.0,542.5079,545704.44,0.0,0.0,0.0,0.0,0.0,0.0
3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2788.565,0.0,0.0,169.73878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,70.0,0.0,0.0,0.0,0.0,0.0,37831.15,2120.06,0.0,0.0,20.964218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,80.0,0.0,0.0,0.0,0.0,0.0,23072.668,1464.4432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,90.0,0.0,0.0,0.0,0.0,0.0,12357.373,919.68146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,100.0,0.0,0.0,0.0,0.0,3444.9443,610.2163,605.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,110.0,0.0,0.0,0.0,0.0,10535.858,0.0,413.58337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,251.22467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,161.86563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,92.374466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1690924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3746194E7,0.0,0.0,0.0,0.0
4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953319.8,0.0,0.0,0.0,2493.941,0.0,0.0,0.0,0.0
4.0,20.0,208907.67,0.0,0.0,0.51114905,0.0,0.0,0.0,0.0,55875.367,0.0,0.0,1548027.1,0.0,153320.58,225.093,0.0,0.0
4.0,30.0,3.1618018,79.673485,0.0,6.15117,0.0,0.0,0.0,2033.5895,0.0,0.0,0.0,1929833.9,0.0,692.6086,0.0,0.0,0.0
4.0,40.0,0.0,0.0,255.30295,0.0,0.0,0.0,0.0,0.0,0.0,1.01116,704645.2,10640.089,0.0,0.0,0.0,0.0,0.0
4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,864.7023,0.0,0.0,4.9028363,864526.3,0.0,0.0,0.0,0.0,0.0,0.0
4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1410.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,70.0,0.0,0.0,0.0,0.0,0.0,114375.586,1232.8811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,80.0,0.0,0.0,0.0,0.0,0.0,30648.326,1015.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,90.0,0.0,0.0,0.0,0.0,0.0,17543.166,711.8919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,100.0,0.0,0.0,0.0,0.0,1806.815,1744.2056,406.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,110.0,0.0,0.0,0.0,0.0,5354.742,0.0,269.91232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,168.75516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,100.373184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,56.610847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
