"Distribution of the biomass (tonne) of prey species (in columns) in the diet of SkateRays by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,5.078348,14.732277,0.14465664,0.6726905,0.0,1.4226538E-7,7.443514E-4,5.3395786,51.857323,3.9901001,0.00570828,0.69538325,42.23776,6.9085636,17.799997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.29593
1.0,2.0,18.372032,21.499535,0.26519153,0.8368487,0.0,2.1381202E-7,0.001638306,7.9887743,122.35954,6.1654053,0.05745916,1.0703887,64.98507,13.603233,26.94497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.41132
1.0,4.0,36.530453,21.797688,0.24052353,1.1464102,0.0,0.0071081454,0.006254197,8.466953,139.72887,7.085314,0.17493089,1.2915491,65.16305,18.526644,29.008377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.5814
1.0,6.0,36.50901,21.790714,0.26674658,1.2036254,0.10849515,0.053534865,0.016440846,7.72588,124.98973,6.712177,0.26926476,1.2391729,59.07507,20.23796,27.992094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.61826
1.0,8.0,32.62836,19.691404,0.19548754,1.2610662,0.22260572,0.073959604,0.023604192,6.4997516,103.029045,5.5414433,0.2839598,1.2287575,47.6714,19.54377,23.465408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.22577
1.0,10.0,26.522514,16.060528,0.18972734,1.0722709,0.23884389,0.079421654,0.024652366,5.304022,79.811676,4.4977875,0.26415652,1.0154598,38.253098,16.419037,18.956642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.8984
1.0,12.0,5.8405056,4.170679,0.03469921,0.2517125,0.06263862,0.019189214,0.005657422,1.2576427,19.13406,1.1609713,0.062286094,0.19963582,8.36727,3.5785313,4.4193788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25372
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,6.4422693,6.7307973,0.2147815,0.89773715,0.0,0.0,0.001027518,0.49089894,48.097378,2.252693,0.007488715,0.68687415,17.4709,55.457867,17.026024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.88077
2.0,2.0,21.29001,22.000992,0.337326,1.5160104,0.0,0.0,0.0016250341,1.9703326,158.67839,8.439636,0.11094151,4.782716,20.499914,92.64678,35.795692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.6288
2.0,4.0,25.493036,36.375824,0.44562042,1.3017021,6.872358E-4,0.0,0.0023474877,3.5405695,149.43436,13.138697,0.19860621,5.8771305,19.982765,91.2175,32.129025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.6873
2.0,6.0,22.780807,35.487663,0.3586319,1.1543441,0.19754915,0.0,0.0034982832,3.3334725,124.98177,11.224757,0.2306992,5.2608023,16.658222,74.88246,28.203222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.23082
2.0,8.0,17.705784,28.464863,0.27298304,0.89236,0.36459258,0.0,0.00144003,2.8365173,98.673355,9.078636,0.23234831,3.6840968,12.472623,57.789818,21.422285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.30896
2.0,10.0,14.108563,21.361652,0.2572242,0.7862567,0.4432742,0.0,0.0019656143,2.025946,77.094635,7.2764597,0.23135348,3.1652813,10.342173,46.910557,16.989042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.44218
2.0,12.0,3.0137143,4.955863,0.06622651,0.14573136,0.10950926,0.0,1.8103559E-4,0.54303676,17.184942,1.5518408,0.055908445,0.71983856,2.3364556,10.956151,3.5344455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.993979
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,27.56601,5.793573,0.39939013,0.34424493,0.0,3.0041208E-10,0.012890627,0.18230149,65.02111,0.9205697,0.008995339,1.0568061,10.4134865,43.029434,4.6944857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.70868
3.0,2.0,37.90164,10.936886,0.9511639,2.3713531,0.0,4.2589545E-9,0.027307676,1.0459573,132.50493,4.736223,0.1445756,4.182689,9.29139,72.162605,16.690277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.13895
3.0,4.0,40.636585,20.345976,0.99072576,1.7917925,0.018445035,3.805173E-9,0.061772246,2.7219055,141.93993,12.24963,0.296374,8.512097,10.809904,76.95063,20.502895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.37408
