"Distribution of the biomass (tonne) of prey species (in columns) in the diet of SpinyDogfish by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,7.7440157,12.289592,0.16677752,0.31792626,0.0,9.1953545E-5,9.511988E-4,3.2697432,85.795555,3.6329908,0.21546629,0.59891385,27.068893,18.04572,18.912855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.74834
1.0,2.0,4.5942636,4.2386627,0.06790312,0.18956329,0.0045653083,0.010336014,0.004596614,1.2283344,30.295536,1.5054843,0.3910902,0.23024102,9.818656,7.892273,7.036364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.335323
1.0,4.0,5.7927146,6.5125637,0.07003585,0.3470066,0.019888498,0.05177437,0.010934203,1.4894409,36.794327,1.771774,0.83557844,0.31411085,11.47847,10.338885,8.354777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.36031
1.0,6.0,6.706142,7.709392,0.10966004,0.50040203,0.028438097,0.15207458,0.021452602,1.8049117,42.581417,2.1251364,1.6156555,0.47530934,14.088306,12.500647,10.476602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.58346
1.0,8.0,7.107852,8.563876,0.117044635,0.5598054,0.038367394,0.24040538,0.033848777,1.9509534,46.841763,2.2306998,2.8577807,0.83897024,14.883299,14.086862,10.955011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.354195
1.0,10.0,7.800693,9.117223,0.12355102,0.63963825,0.04759785,0.31347203,0.04267747,2.1188166,49.68379,2.5355086,4.2149205,0.9952121,16.77888,15.621017,11.61102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.69126
1.0,12.0,8.296633,9.729305,0.12749492,0.63908833,0.055603635,0.39355493,0.055329554,2.3048396,54.460377,2.7505655,5.6051784,1.0092607,16.82088,16.72281,12.2495775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.59294
1.0,14.0,8.71345,10.375572,0.15329644,0.72511107,0.059738148,0.44588572,0.06257466,2.37348,54.28011,2.916351,6.5876436,1.0839592,17.919874,16.493982,12.841773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.061165
1.0,16.0,8.556359,10.223588,0.14162278,0.699103,0.06727256,0.46065053,0.0680531,2.4593956,55.344135,3.014058,6.645573,1.1024051,17.808224,17.010942,12.944157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.76164
1.0,18.0,8.431366,10.373902,0.14018035,0.6330465,0.06803463,0.47225887,0.069339104,2.5006874,53.355515,2.8258448,6.615967,1.0810872,17.712957,16.612452,12.833937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.24649
1.0,20.0,8.328609,9.660965,0.13417414,0.64972335,0.0685445,0.46155697,0.07297365,2.4918637,53.228725,3.0321372,6.401761,1.0422052,17.182838,15.785851,12.412326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.907616
1.0,22.0,8.144006,9.627091,0.14288168,0.64882445,0.06944699,0.50419974,0.075059384,2.3085268,51.542862,2.981656,6.3037405,1.0355085,16.943205,15.720006,11.912648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.31982
1.0,24.0,7.9732494,9.434948,0.14026925,0.6291564,0.07369009,0.46671993,0.074288055,2.2177665,50.74854,2.887362,6.0839267,1.0288072,16.232378,15.421771,11.624786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0918
1.0,26.0,7.6711717,8.611414,0.12820466,0.6174153,0.07181423,0.48290667,0.07485159,2.1158903,48.837925,2.6653962,5.915317,0.9870247,16.355778,15.139188,10.945507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.273964
