"Distribution of the biomass (tonne) of prey species (in columns) in the diet of StripedBass by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,89.12421,11.954303,0.36935234,0.8994336,0.030503064,4.5329816E-6,0.023274787,7.633264,131.25682,10.449485,3.7399938,2.4241827,73.768585,19.189146,20.54261,0.005448695,0.0059667677,0.0,5.287859E-6,1.712011E-5,2.4777339E-5,7.030466E-6,0.0,0.0,125.2957
1.0,2.0,65.6972,6.811561,0.117971234,3.857282,0.6544902,0.15903562,0.10468017,3.3317802,64.69892,4.447563,7.553358,2.2900262,32.27016,15.328735,18.998924,0.024321556,0.01876157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9873905
1.0,4.0,38.853848,7.6541357,0.14394821,3.0000806,1.3368219,0.37536868,0.125074,1.9269509,31.428762,2.8145857,7.6238346,1.506221,8.26142,14.3501,11.236576,0.034709826,0.014830267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,21.58747,4.505445,0.11357958,1.7413623,0.80370754,0.5316479,0.06185224,1.0820614,14.768313,1.727068,6.1492677,1.1805098,0.75137246,8.473261,5.8135495,0.019103762,0.00940605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,10.083903,2.1609988,0.047346,0.63880914,0.34586197,0.43225688,0.04786695,0.42570052,6.07131,0.85826236,3.8797345,0.86280173,0.0,4.103193,2.717337,0.012251091,0.0049896413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,5.059794,1.0782615,0.027232803,0.30107903,0.24535103,0.34198928,0.019255528,0.22528301,2.8567522,0.4345266,2.2707908,0.4850344,0.0,2.32974,1.2169441,0.004972331,0.004280823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,2.4501798,0.5782142,0.010257329,0.14426555,0.09874637,0.15261175,0.009478598,0.103737116,1.3949409,0.19906238,1.2790195,0.2115377,0.0,1.0063977,0.69782174,0.00266725,0.0012755007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,1.2755859,0.24046321,0.005340807,0.0688429,0.06649962,0.045829345,0.0056292717,0.043772526,0.613622,0.116041504,0.64510626,0.10704849,0.0,0.5878069,0.29451242,1.8851802E-4,1.0310217E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.6776817,0.14477775,0.0028901582,0.042362247,0.029355204,0.038884606,0.0024298863,0.027149083,0.3267351,0.059135865,0.34576023,0.0622385,0.0,0.23899573,0.22587377,0.001503996,8.563184E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.37787643,0.073889814,0.0018135011,0.025549144,0.014776349,0.013542755,0.0015773631,0.014669383,0.19722289,0.035008702,0.20474581,0.03704272,0.0,0.16330895,0.09427796,0.0011205565,3.3754137E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.19322072,0.0467461,0.0012220223,0.01253458,0.01104583,0.011836737,0.0019391567,0.012335317,0.10324922,0.016790584,0.12961671,0.019591372,0.0,0.08985275,0.050036583,8.8853366E-4,1.2833012E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.11746747,0.02265748,5.502819E-4,0.0063557057,0.005582361,0.008853499,7.510368E-4,0.004377783,0.06390146,0.011461578,0.0696277,0.0097038215,0.0,0.03911226,0.024476364,0.0013004398,8.228465E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.05537974,0.012876533,3.3238667E-4,0.0030732069,0.002411806,0.0060341465,3.1483464E-4,0.003080992,0.028599111,0.006223013,0.03948589,0.0053248894,0.0,0.033468593,0.019225951,0.0012591735,4.554368E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.028124874,0.005788374,1.5686612E-4,0.0021259845,0.0019286217,0.0015605467,1.0290407E-4,0.0012596926,0.016155813,0.0022523443,0.0184314,0.0029999835,0.0,0.0116964895,0.007795758,2.5750895E-4,1.3839732E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.008792413,0.00142989,5.2263244E-5,5.2008696E-4,4.4686324E-4,4.479286E-4,3.076609E-5,5.17101E-4,0.0049855,7.546939E-4,0.0059073167,8.2193996E-4,0.0,0.0029759884,0.0028078011,1.1013164E-4,1.6172418E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,1.2078588E-4,0.0,2.5611763E-7,6.048174E-6,7.957821E-6,6.76584E-6,6.519436E-8,4.83621E-7,1.4195291E-4,1.4019449E-6,1.3593559E-5,1.8610708E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
