"Distribution of the biomass (tonne) of prey species (in columns) in the diet of Flounders by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,8.337292,3.3019967,0.052766513,0.61481696,0.0,0.0,2.3595612E-5,0.0,0.11457178,0.010835316,0.0,0.13066195,1.0181656,0.0,13.605192,4.6349177E-4,6.582572E-5,0.0,119.80601,280.77966,0.0,0.004031787,0.0,0.0,351.099
1.0,10.0,0.021963436,6.4017572,0.18191512,2.2946393,0.0,0.0,6.2551256E-11,2.47839,13.692586,4.8022637,0.37892413,1.0375378,51.380913,8.764241,14.287021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.728607
1.0,20.0,1.1242276,0.5415678,0.04791364,0.069980904,0.0,2.0687958E-8,0.0072248187,0.18743284,2.798217,0.20492089,0.102229916,0.24876997,6.2440667,0.33185178,0.4048873,0.0015717597,7.4845244E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.325789
1.0,30.0,1.2331452,0.2208262,0.03250626,0.17739801,0.0,5.113216E-5,0.058512326,0.27099872,2.5960197,0.29727203,0.24788344,0.19033921,3.9583504,0.29871947,0.18797693,0.0088523775,0.0034096881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,2.3741746,0.052487966,0.016820388,0.32333946,0.0,3.5845427E-5,0.019357597,0.27206174,2.497182,0.1643045,0.50821364,0.18144694,0.9684385,0.3499065,0.78084177,0.0133027,0.003788656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,50.0,3.8142517,0.027823001,0.07678713,0.4917109,0.0,0.010759594,0.024180194,0.19685334,2.4055192,0.14123017,0.62587464,0.22201554,0.0,0.6504522,1.2288725,0.01795638,0.007822207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,3.35388,0.22372077,0.03480611,0.4491934,0.036965042,0.029261917,0.034765124,0.12948969,1.5070804,0.18769552,0.56799924,0.2533181,0.0,0.72612023,1.1148033,0.016852701,0.0073300586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.16525854,0.01808976,0.0019710788,0.026736446,0.004860054,7.302108E-4,0.0015312565,0.0047566807,0.06541329,0.007521684,0.035331693,0.014396067,0.0,0.047025498,0.06518642,0.0017893602,3.556923E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,3.3101826,0.07079125,0.004165263,0.07930268,0.0,0.0,1.0236149E-5,0.0,0.99058944,0.0031527488,0.0,0.040789045,1.4048564,1.0157593,2.4838672,0.0,1.2476768E-6,0.0,17.662453,57.679653,0.0,0.0,0.0,0.0,253.35796
2.0,10.0,8.319744,6.771577,1.4347008,1.7001346,0.0,0.0,0.0,2.7265456,56.14627,7.597206,0.7934919,1.0376983,74.99362,71.90608,33.15282,0.026862603,1.7431803E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.6754
2.0,20.0,6.9813495,3.2428925,1.6530282,0.46836373,0.0,0.0,0.06455133,1.2986529,26.846128,1.1791161,0.6117675,2.2710092,10.738261,43.582394,8.073197,0.070412144,1.6280421E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.21957
2.0,30.0,0.14320298,0.14550932,0.01179844,0.021847079,0.0,0.0,5.29399E-4,0.0375882,0.93419546,0.060825955,0.058505327,0.041923042,0.24997658,0.32158393,0.17611201,4.4001162E-4,6.756592E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.14242573,0.07103554,0.0020727816,0.0031323216,0.0,0.0,4.7185877E-5,0.018295873,0.4698374,0.019682838,0.095998,0.023122767,0.039264467,0.078398764,0.053555194,4.1462263E-5,1.15763425E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,50.0,0.24029687,0.07356773,0.0015966959,0.0035408398,0.0,0.0,3.6814513E-6,0.025103483,0.3697699,0.024493543,0.08535228,0.02158157,0.007007503,0.062295873,0.0637515,2.5301636E-4,6.495485E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,60.0,0.2886877,0.07565624,0.0011624179,0.016604159,0.011968378,0.0,0.0,0.030289166,0.25559148,0.024061555,0.08883695,0.018263396,0.0,0.06218618,0.08900408,0.0019122764,1.18663374E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,70.0,0.028112516,0.008524354,1.4872696E-4,0.002473034,0.0029929883,0.0,0.0,0.0032238574,0.019935407,0.002956693,0.008423151,0.0015846397,0.0,0.007971344,0.009300597,7.367589E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.048370745,0.010746123,4.963535E-5,0.0,0.0,0.0,1.2110662E-6,0.0,1.3807052,0.0044706664,0.0,0.0,0.119671494,4.2023697,0.2725974,0.0,0.0,0.0,1.5463004,5.0937157,0.0,0.0,0.0,0.0,70.703224
3.0,10.0,28.213736,2.6400392,1.7243595,1.1154519,0.0,0.0,0.04354853,0.5307346,53.046806,2.3592215,0.939695,4.6528187,24.152271,30.200779,4.3080463,1.4597156E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.27338
3.0,20.0,38.526054,6.9156895,0.45995894,0.50288016,0.0,6.1489214E-10,0.20906968,0.9407239,64.7989,3.5254045,1.2645842,2.4305112,24.710032,52.225487,7.8975434,0.011501027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.12563
3.0,30.0,1.1409642,0.5786441,0.028348027,0.0028523784,0.0,0.0,0.0034267702,0.033238955,2.9594626,0.23111685,0.00817866,0.08186407,0.76597685,2.2066026,0.5039799,0.034316976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,40.0,0.008967898,0.0021010202,4.8490736E-4,6.9800805E-4,0.0,1.6543044E-7,3.1457498E-4,0.0011444598,0.036806036,0.0025460285,0.013288565,0.0023724101,9.727109E-4,0.01493053,0.008100066,6.984559E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,50.0,0.017863771,0.005775346,3.3799114E-4,5.652989E-4,0.0,0.0,1.1416391E-4,0.0023621665,0.029338352,0.003511714,0.014612785,0.004054686,1.8207273E-5,0.01206859,0.008951557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,60.0,0.01562803,0.008650893,2.0235841E-4,3.9087766E-4,0.0017547072,0.0,3.2326163E-5,0.0026561436,0.0124089485,0.0031870266,0.011596502,0.0031251074,0.0,0.006599066,0.0062340186,5.1289055E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,70.0,0.0028772668,0.0015685009,2.3594934E-5,5.951583E-5,5.318634E-4,0.0,0.0,5.324243E-4,0.0013734589,5.6107936E-4,0.0014279013,3.4325873E-4,0.0,0.0010133414,0.0010684847,1.6102841E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.25846896,0.0025226122,1.7117013E-4,0.0,0.0,0.0,1.7401968E-5,0.0,0.12887865,0.0,0.0,0.0,0.06898791,0.21775092,0.011066127,0.0,0.0,0.0,11.50861,41.9635,0.0,0.0,0.0,0.0,23.023384
4.0,10.0,7.205795,0.7866755,0.10227345,0.019887786,0.0,0.0,0.0061173565,0.28535423,8.705819,0.1616008,0.07491714,0.15435895,2.1322205,2.1441376,0.21822238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.177715
4.0,20.0,39.15479,6.356001,0.6221742,0.43625426,0.0,0.0,0.13990918,2.3171399,49.750412,1.0879776,0.6271794,2.3305461,15.739009,23.717894,2.3498003,0.0013447959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.56788
4.0,30.0,3.7033644,0.88420945,0.021669533,0.06614871,0.0,0.0,0.052924726,0.2762538,7.961503,0.09307699,0.1409118,0.44550666,1.0382192,3.9002373,0.422083,4.2059395E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,40.0,0.04188083,0.0010857288,2.4909186E-5,3.0639676E-5,0.0,0.0,5.4595245E-7,7.868056E-5,0.045885406,3.8674007E-5,0.021950033,0.005336429,4.7591605E-4,0.012864835,0.0016914736,2.3715496E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,50.0,1.582329E-4,8.375321E-5,8.024579E-6,3.6287205E-5,0.0,0.0,1.2809302E-7,3.1405954E-5,4.223243E-4,5.0387505E-5,2.5965276E-4,4.675816E-5,5.9056026E-7,3.286999E-4,1.5135425E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
