"Distribution of the biomass (tonne) of prey species (in columns) in the diet of Hakes by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,0.00580605,7.2555037,0.31132433,5.36936,0.0,0.0,5.4205843E-4,0.28988194,38.72409,0.7385009,0.0,0.32198146,73.49543,16.089907,14.269291,0.0,0.0,3.4268935E-5,3.0486686,12.154024,13.793084,7.4316983,0.76924354,5.3820405,304.5533
1.0,10.0,0.8490237,0.57650155,8.543339E-6,2.0378652,0.0,2.1255398E-6,3.3061415E-6,0.050486,5.7012815,0.32460794,0.041102022,1.2112075E-6,20.809696,3.9642723,3.7174208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.98184
1.0,20.0,3.6193094,0.7421425,0.047567423,0.2540566,0.0,2.7483906E-5,0.05801606,0.61835635,10.489928,0.92728335,0.9436245,0.24662492,13.147956,0.8151414,0.7204987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4392581
1.0,30.0,22.260775,0.64740384,0.12802726,2.8925164,0.0,0.00243734,0.08180717,1.6895154,24.200403,1.6620251,4.500543,1.3060322,5.2101064,3.2705817,7.0021577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,49.21567,1.4378053,0.2995257,6.2040358,0.040672436,0.20050329,0.237613,2.0035157,34.072212,3.2313576,9.173818,2.8124044,0.0,8.575177,15.798407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,6.088307,3.9777715E-5,0.06003986,0.17577001,0.0,0.0,1.298585E-4,0.005543627,18.276552,1.4411623,0.0,0.05272822,23.076975,14.295685,3.5990176,0.0,0.0,5.3696303E-6,0.75236416,3.480738,3.905472,2.3667028,0.20886853,1.4350743,168.97046
2.0,10.0,48.34999,26.721497,1.1330394,2.7954178,0.0,0.0,0.045351997,7.4849825,143.81445,14.44318,1.402214,3.6214652,89.36594,136.80013,93.81322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.89743
2.0,20.0,1.4121283,3.8119507,0.006652221,0.019467385,0.0,0.0,0.0036186022,0.16282946,17.29104,0.18429905,0.4257475,0.39750236,2.1677399,13.333162,0.7922741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048099685
2.0,30.0,3.9513195,1.6560175,0.031808138,0.060126178,0.0,0.0,4.3782825E-4,0.40335354,9.510693,0.5902018,1.8666381,0.4751917,0.41711038,1.5862375,1.2482702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,13.911046,4.558376,0.070652135,0.38682184,0.03680725,0.0,1.8216626E-5,1.4501097,18.34784,1.6586785,4.747718,1.1428444,0.012880173,3.2438252,3.9586775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,6.5067945,8.301852E-5,1.3726497,0.3427606,0.0,0.0,7.702181E-4,0.005124555,52.950207,0.20621578,0.0,0.23285286,21.219677,20.704956,5.963128E-4,0.0,0.0,1.821586E-5,2.364191,11.458469,14.841981,8.48696,0.72394955,5.5574346,352.20074
3.0,10.0,122.82638,34.61839,1.3439643,0.15452787,0.0,2.228779E-8,5.467062E-4,1.3041321,173.24306,1.7092494,0.6746184,4.3700023,41.91177,108.043915,24.445066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.58694
3.0,20.0,36.82044,21.431253,1.7120202,2.5931063,0.0,1.5616547E-7,0.06963222,5.92954,182.11195,6.3672104,1.5594462,2.549817,14.152769,117.34969,34.49792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083942235
3.0,30.0,2.148351,0.44888034,0.01427635,0.011877043,0.0,7.2520185E-13,0.007098351,0.09677807,3.4795058,0.06725245,0.3867365,0.09122177,0.011634823,0.379701,0.25026327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,40.0,2.256117,0.9672686,0.06915105,0.07624954,0.028273264,3.045571E-10,0.02290031,0.36422074,3.2356615,0.61226165,1.928768,0.49313393,2.5281744E-4,1.3755472,1.0652184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
