"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,1.0354531,3.307767,1.6474097,2.4279852,30.861214,36.548832,2.0388932,2.7670562,1.8059136,3.6826239,17.064863,4.8366823,2.215761,1.6478825,1.8164809,2.4482796,2.7558892
1.0,2.0,18.461512,34.001698,30.488518,20.06577,52.543,53.697456,37.67183,37.284363,NaN,33.982742,31.420792,32.599434,NaN,34.605297,23.4386,12.331303,22.957556
1.0,4.0,24.04283,38.7522,39.544174,25.725885,64.939156,70.603615,59.860764,43.793488,NaN,47.06571,40.611515,39.79134,NaN,37.158993,27.449066,16.516136,NaN
1.0,6.0,27.187735,40.552265,46.496437,29.905706,74.95802,80.90288,77.49243,45.085556,NaN,55.38073,46.52363,42.68164,NaN,38.18803,29.001595,19.866549,NaN
1.0,8.0,28.936224,41.362103,50.512295,32.852634,83.12216,88.04425,92.3898,45.400146,NaN,61.285675,50.5018,43.930035,NaN,NaN,29.5538,22.608047,NaN
1.0,10.0,29.871716,41.71423,NaN,34.8824,89.84814,92.64024,104.24639,45.47544,NaN,65.24822,53.141636,44.465874,NaN,NaN,29.744484,24.817831,NaN
1.0,12.0,30.37961,41.87241,NaN,36.218147,95.31095,95.75131,113.99043,45.49395,NaN,67.978355,54.408955,44.705753,NaN,NaN,NaN,26.657743,NaN
1.0,14.0,30.623228,41.943497,NaN,37.104126,99.78648,97.819664,122.051,45.498455,NaN,69.85696,NaN,NaN,NaN,NaN,NaN,28.166265,NaN
1.0,16.0,NaN,41.973904,NaN,37.69639,103.44941,99.20872,128.68877,45.499485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,18.0,NaN,NaN,NaN,38.095497,106.44417,100.12532,134.08482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,20.0,NaN,NaN,NaN,NaN,108.908104,100.74598,138.51791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,22.0,NaN,NaN,NaN,NaN,110.91831,101.15906,142.1656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,24.0,NaN,NaN,NaN,NaN,112.56444,101.4373,145.15884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,26.0,NaN,NaN,NaN,NaN,113.91287,101.61088,147.51733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,28.0,NaN,NaN,NaN,NaN,115.01606,101.74237,149.71992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,30.0,NaN,NaN,NaN,NaN,115.91949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,32.0,NaN,NaN,NaN,NaN,116.65858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,34.0,NaN,NaN,NaN,NaN,117.26476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,36.0,NaN,NaN,NaN,NaN,117.76065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,38.0,NaN,NaN,NaN,NaN,118.166534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
