"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,517.87054,1464.3079,6.4119654,10.113505,62.079754,93.4014,21.196106,277.19928,141.92844,111.94223,556.72894,304.64127,568.43134,199.88225,367.07278,0.0,0.0
2.0,175.49557,3.5900578,4.528827,1.1795328,49.216434,175.17645,26.108515,2.496346,222.94229,9.476469,620.1121,192.20602,47.348774,69.82355,48.490074,0.0,0.0
3.0,54.087334,0.22960995,1.025018,0.063564025,40.686943,240.68292,53.87414,0.580384,191.30219,0.27631515,425.67755,41.975193,24.029543,10.581036,1.9052017,0.0,0.0
4.0,6.4224925,0.0157313,0.024243513,0.0037040685,20.863932,468.17337,31.942736,0.44112265,89.82122,0.002468896,637.798,318.83035,27.310665,7.957915,0.03456441,0.0,0.0
5.0,12.540246,0.020861914,0.0,5.3011878E-5,23.907381,512.74164,46.996136,0.20438294,129.07225,0.0068415254,644.26807,329.42963,21.931995,8.075646,6.895356E-4,0.0,0.0
6.0,14.649173,0.037880544,2.85115,0.012211681,17.710745,403.2413,41.02616,0.37363604,106.22288,0.7100017,465.78546,1162.6527,10.852452,8.477199,6.695483E-5,0.0,0.0
7.0,23.29185,0.03262435,16.96049,0.11268881,19.678408,372.34656,39.581074,0.18187486,105.528496,0.60104513,418.47287,1150.2705,14.489397,11.791435,0.0024200084,0.0,0.0
8.0,32.115555,0.044411268,48.47481,0.16757913,22.902246,232.04579,42.90058,0.09243379,79.3142,0.084680654,354.00943,708.22,8.896636,13.307498,0.008935148,0.0,0.0
9.0,42.43881,0.05196235,9.491194,0.10393756,17.370426,226.56815,50.411858,0.06375227,102.88014,0.26057342,603.8871,874.9672,17.304815,7.379308,0.016006704,0.0,0.0
10.0,64.94694,0.03426922,10.335397,0.14665192,20.498678,175.84436,63.634422,0.04873322,131.42825,0.5847738,504.85733,786.67255,13.335666,7.61347,0.011974838,0.0,0.0
11.0,58.951817,0.026282128,46.903793,0.48836762,14.043085,170.51584,78.60476,0.028934848,68.3282,0.2915681,577.2599,924.80505,10.822935,14.619939,0.020937962,0.0,0.0
12.0,44.871365,0.0409494,10.597914,0.383683,20.777552,141.00446,54.69536,0.04411686,101.086685,0.25613943,341.66736,417.6189,23.491653,7.3387113,0.017067637,0.0,0.0
13.0,41.486248,0.03597335,21.030203,0.48884672,20.959682,108.60899,105.52027,0.10957895,113.816086,0.5501487,469.0481,728.71295,18.342476,9.856075,0.015616788,0.0,0.0
14.0,52.912994,0.069321,13.867569,0.8239451,18.422054,120.58668,50.556347,0.11362683,63.216087,0.51345986,338.06924,601.3195,21.581861,4.3430796,0.02076192,0.0,0.0
15.0,34.284668,0.0784514,22.89275,0.6388328,26.39431,69.03588,82.85185,0.057886876,116.4651,0.34444827,350.62115,443.72913,73.630066,6.857013,0.040916998,0.0,0.0
16.0,27.612806,0.03803578,16.461868,0.6325012,17.907581,48.076736,62.53584,0.2972825,116.46321,0.2767996,274.47336,848.16534,60.113403,5.941876,0.056088608,0.0,0.0
17.0,26.720472,0.05628835,23.630367,0.5186985,22.407225,46.0453,109.9317,0.17267573,161.29288,0.26644772,400.26544,214.23128,40.739414,5.0299487,0.028407475,0.0,0.0
18.0,24.804047,0.10088066,12.071736,0.4398481,18.00851,40.121822,67.4632,0.07940532,135.47282,0.21496502,227.94658,379.27066,73.79364,7.255337,0.013496324,0.0,0.0
19.0,26.082115,0.069202706,18.609327,0.24900559,13.94816,27.844645,62.66654,0.08722178,90.04051,0.22079276,131.7916,252.22308,53.319054,9.13241,0.002806298,0.0,0.0
20.0,9.055813,0.0153293675,14.247749,0.22935334,17.678417,20.823729,58.302773,0.09899628,66.23861,0.121569425,112.99122,131.90904,73.006485,25.56134,0.0039469353,0.0,0.0
