"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,3.262726383511411,14.731603080575512,2.303220325528584,0.0,0.6086890632441349,0.4204228125607883,0.003863776910876212,2.690899213855481,3.624826443470934,0.0,0.0,0.019636360897556757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9834707977330054E-4,0.0,0.0,0.21995784320132786,
2.0,2.9352462381209214,3.7374266607235582,4.625738921429432,0.0,1.2058441805992437,0.11426800984415124,0.0035058282476827184,3.5692225100386814,3.5464755204750364,0.0,0.0,0.034486368110073336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4834715262700326E-4,0.0,0.0,0.007476567545162808,
3.0,2.708484983195207,4.450768491772217,4.087883263777958,0.0,0.6309707443469128,0.12660826733195882,0.0034681207182340177,3.551365112844908,3.571519920132818,0.0,0.0,0.01908465239504778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9277426661664426E-4,0.0,0.0,0.012201431029852468,
4.0,1.6553157476738989,4.538346722149282,3.8803491597938695,0.0,0.535684680310381,0.06379235336620691,0.0032961087539329337,3.556883195233099,3.580749591614906,0.0,0.0,0.019420923952482533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.961709490149751E-4,0.0,0.0,0.0011170425568325763,
5.0,1.667436672300092,4.33266426731623,3.7573746913184958,0.0,0.5707107656315961,0.08449954682063153,0.003297266522256011,3.5723012260677134,3.5908117606373393,0.0,0.0,0.011375159599194893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1490060201206958E-4,0.0,0.0,0.0011726179742383674,
6.0,1.824935764558663,4.145649377404731,4.578836085189992,0.0,0.6354090607331853,0.09456701542546124,0.003323157508413485,3.583522429647,3.5895943936314985,0.0,0.0,0.006865247159296022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.934593090198002E-5,0.0,0.0,0.0017949817299106937,
7.0,2.0828389829332794,4.4646563021712,5.307779957004889,0.0,0.5673114001159669,0.07266359520157879,0.0033653928100897015,3.5760911614926347,3.56960256105886,0.0,0.0,0.009334967129394607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.429259726661218E-5,0.0,0.0,0.0010155883160436377,
8.0,1.964618311261737,4.927118683341358,4.572245279905426,0.0,0.6299061036728743,0.10534449386403533,0.0033451285783646268,3.560479676534015,3.5913761331020533,0.0,0.0,0.004894997563215856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9444419830463176E-5,0.0,0.0,3.788680783155233E-4,
9.0,2.1906851028220666,4.9823771966207415,5.577986439840881,0.0,0.6179633283088298,0.059522587446464874,0.0033826194062898753,3.5689109422113985,3.5739188149030228,0.0,0.0,0.009961802339294923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0062426605348403E-4,0.0,0.0,7.061650429442068E-4,
10.0,2.383915168841867,4.543065156458727,5.335000696893309,0.0,0.6102577775502949,0.09189554287937339,0.003413982042728285,3.5610958680205567,3.5773885825438843,0.0,0.0,0.007272600079366406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.346060686228695E-5,0.0,0.0,0.0017620399732710783,
11.0,2.002362403111033,4.641002555530183,5.214974801868099,0.0,0.6184941507399124,0.08360424735106006,0.0033512735777653387,3.567383760384957,3.5754287237001656,0.0,0.0,0.005964428012412333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.024674760012458E-5,0.0,0.0,5.463388475891966E-4,
12.0,2.219701195558043,5.022321694741139,4.867892129461661,0.0,0.611654028184343,0.09216083567991293,0.003388720439269389,3.559448959056868,3.579957678063625,0.0,0.0,0.013044990804385948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3176758388268634E-4,0.0,0.0,4.0600223725028044E-4,
