"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.06711529719598233,9.592015827244046,0.07157370655041377,0.0,0.012922027056036208,0.013635896013233801,4.145044565920931,3.495060047630937E-4,3.9602517801146374E-4,0.0,0.0,0.06528173434687451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.594114580492376E-4,0.0,0.0,2.1660918217201563E-4,
2.0,0.05123027446536997,7.909719522494335,0.08936281496837165,0.0,0.01575790663450774,0.040171479107987296,3.8193102470490534,3.6197546705954615E-4,3.960407685339571E-4,0.0,0.0,0.06425403557078958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.490306623312081E-4,0.0,0.0,1.7511911933027022E-4,
3.0,0.042953458713645594,7.284516181473148,0.09624985609310148,0.0,2.1485903211181798E-4,0.11669524567601508,3.7857084382707673,3.6010135364791535E-4,3.960204066777194E-4,0.0,0.0,0.11621860840088231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011739253373826502,0.0,0.0,1.767222996620993E-4,
4.0,0.032723892614883336,8.525046624838177,0.05207040850015339,0.0,0.001822628023727612,0.12181243010895913,3.7452774319809112,3.5391656636795873E-4,3.960205691884014E-4,0.0,0.0,0.06769983420345109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8383670912577E-4,0.0,0.0,2.5898635911076766E-4,
5.0,0.024085523309467605,7.873500410483919,0.02925782934310115,0.0,0.008297601462794964,0.08280892238750893,3.7122223891057757,3.580358336530426E-4,3.9602459155293226E-4,0.0,0.0,0.09949462011238827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010049961627513976,0.0,0.0,3.524652586304722E-4,
6.0,0.024670758617549686,7.038577539351629,0.07485253331324002,0.0,0.006476647119784121,0.16764456425329916,3.716153302303473,3.626407291702363E-4,3.960229624838131E-4,0.0,0.0,0.07927660396391195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.007737774132524E-4,0.0,0.0,1.9935558237726812E-4,
7.0,0.030640241967683786,6.8390393981197235,0.0773374392341206,0.0,0.01878005657524753,0.22082574819341386,3.739087178067331,3.647992113014048E-4,3.960118318748562E-4,0.0,0.0,0.0674051967716916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.808605734514304E-4,0.0,0.0,2.0461850939776515E-4,
8.0,0.030059303857779936,8.001150638967543,0.06624176935972274,0.0,0.028968341430228743,0.2609787560216274,3.735318612377666,3.6040446745459645E-4,3.960073274786074E-4,0.0,0.0,0.06635410766837307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.702435118017485E-4,0.0,0.0,1.8761278469788795E-4,
9.0,0.03820916154673229,7.9616014040182375,0.0838467519643234,0.0,0.029710814413539868,0.33529198601786175,3.7669243331094715,3.574644651468831E-4,3.9600252782897997E-4,0.0,0.0,0.0672888290815615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796851422379951E-4,0.0,0.0,1.8095924241587068E-4,
10.0,0.032649189486305095,8.323683945813297,0.09455639990500928,0.0,0.01375160156917536,0.29429440484902747,3.744745361598351,3.5722816537264815E-4,3.960390563243072E-4,0.0,0.0,0.0725483804587438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.32811923825695E-4,0.0,0.0,1.6550700309325302E-4,
11.0,0.038073877223429566,8.483495265816762,0.04903399782921217,0.0,0.007120329145246659,0.320342424745511,3.7656235026950875,3.566888199299688E-4,3.959955092326434E-4,0.0,0.0,0.09452245161819062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.547722385675821E-4,0.0,0.0,2.3584643437010372E-4,
12.0,0.03193363490554265,7.577207607552602,0.04768476754715835,0.0,0.029820791637374403,0.16822450755690418,3.7425784521300898,3.6198242264655394E-4,3.9602304197355615E-4,0.0,0.0,0.06484727782269509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.550230083100512E-4,0.0,0.0,3.369075978922839E-4,
13.0,0.03861359629542349,7.714961120101911,0.09511108427461178,0.0,0.006913506721407688,0.22650411525436412,3.7691436732021817,3.611174809839859E-4,3.960309969009616E-4,0.0,0.0,0.11620779753125177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011738161366793112,0.0,0.0,2.239738211622359E-4,
14.0,0.033799261037418454,7.774805033365394,0.06449605110843065,0.0,0.008802574142299206,0.19778402056570873,3.7492448903572466,3.606347790356739E-4,3.960129947205205E-4,0.0,0.0,0.05420069795155233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.474817974904275E-4,0.0,0.0,2.994220944012767E-4,
15.0,0.03583120855586161,8.33447921905382,0.05537833370870018,0.0,0.034363040186743306,0.14068810841306056,3.75784546293133,3.5959843438817624E-4,3.960364163550527E-4,0.0,0.0,0.08501064197878955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.586933533211065E-4,0.0,0.0,3.953398156026198E-4,
16.0,0.03079284907335446,8.744738577153154,0.0941561070552012,0.0,0.028345885338948735,0.24916229177770344,3.7382811006721828,3.585472890844778E-4,3.9600872275110944E-4,0.0,0.0,0.060208622814649004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.081679072186768E-4,0.0,0.0,3.725965361245691E-4,
17.0,0.030404750226739205,8.578845610439904,0.08562272583150575,0.0,0.007787899256848559,0.2018217361564172,3.736846730823995,3.618450875820803E-4,3.960170263428225E-4,0.0,0.0,0.10627705701176512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001073505626381466,0.0,0.0,5.5760907162437E-4,
18.0,0.02879696642864524,9.218757301385828,0.06641821435878441,0.0,0.00642628650336097,0.16861922517864744,3.7300994362574014,3.614476236799557E-4,3.96034148275935E-4,0.0,0.0,0.066882112064355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.755768895389393E-4,0.0,0.0,7.901388657946016E-4,
