"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.0,0.14555498089571547,0.0045645859825539275,0.0,0.017036408532477176,0.028687237397065288,7.500601388994155,6.721224536401723E-4,6.720957768439013E-4,0.0,0.0,0.16348930928474387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016514071644923634,0.0,0.0,2.9106226070346558E-5,
2.0,0.0,0.060425548843122845,0.007222755387954232,0.0,0.30524625344418693,0.11163770391555512,6.563024737077349,6.720601727755106E-4,6.720899926760391E-4,0.0,0.0,0.1597531252160477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016136679314752288,0.0,0.0,1.569976692757E-5,
3.0,2.470401878469541E-10,0.03445305386065052,0.007220659086798949,0.0,0.4212991738116177,0.23734053932164162,6.5658174487191046,6.720304101895978E-4,6.720591262550721E-4,0.0,0.0,0.16212338430624537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016376099424873268,0.0,0.0,2.068240197244716E-5,
4.0,2.349118324054673E-10,0.010069736083967794,0.007438353411392011,0.0,0.5690381104834464,0.3182765895445118,6.565675752672495,6.160017356172334E-4,6.720499141130607E-4,0.0,0.0,0.17854480946630216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001803482923902043,0.0,0.0,8.894649790681518E-6,
5.0,0.0,0.0,0.005728827966950323,0.0,0.0,0.28002097682525895,6.563024119021464,0.0,6.720528330587738E-4,0.0,0.0,0.21388941298637545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021604991210744987,0.0,0.0,9.939502465694527E-6,
6.0,0.0,0.0,0.0031530774417474865,0.0,0.0,0.17497109774091615,6.563024912721279,0.0,6.720685585737764E-4,0.0,0.0,0.21001941573426125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021214082397400125,0.0,0.0,9.092451609209425E-6,
7.0,0.0,0.0,0.0014509300437425064,0.0,0.0,0.1241526080692708,6.5630254638695815,0.0,6.720861663350511E-4,0.0,0.0,0.2375148791517429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023991401934519503,0.0,0.0,1.3556805033950128E-5,
8.0,0.0,0.0,3.6782726787887646E-4,0.0,0.0,0.08165833893772696,6.563023680137063,0.0,6.72096603178582E-4,0.0,0.0,0.17621605166637755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001779960117842197,0.0,0.0,2.596873648902117E-5,
9.0,0.0,0.0,1.2876448705994174E-5,0.0,0.0,0.0667615147870641,6.563024703850606,0.0,6.720967161400854E-4,0.0,0.0,0.20123493445644616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00203267610562067,0.0,0.0,0.0,
10.0,0.0,0.0,0.0,0.0,0.0,0.052615611812304376,6.563023826441395,0.0,6.721070877583839E-4,0.0,0.0,0.18532654439994062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018719852969690974,0.0,0.0,3.685865763011468E-5,
