"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,2.6358716438802983,4.651124075108087,0.29927944396531,0.0,1.0102492549562652,1.534986982214694,0.05474943915482131,1.3592875261626705,1.398001357429207,0.0,0.0,2.9496057922976777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02979399790199675,0.0,0.0,1.6018327186647906E-4,
2.0,3.688710126544913,5.049765822154385,0.6014339810143662,0.0,0.1719489332926351,1.82346564268535,0.05300963389469308,1.3385289232299862,1.3762596068222408,0.0,0.0,3.3900799486472057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034243231804517237,0.0,0.0,0.0,
3.0,3.415745228663903,5.244093569871372,1.6312044022397487,0.0,0.07707012576710827,1.4487227082593077,0.052359768537684155,1.3297354913610109,1.3697591849525892,0.0,0.0,3.3340664649108738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03367743903950378,0.0,0.0,0.0,
4.0,2.283343605819685,5.314724527879019,2.853968814330594,0.0,0.08470520476873958,1.6436218621425718,0.049487312828987995,1.3241650298448748,1.3689774616490678,0.0,0.0,3.152223512333432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031840641538721536,0.0,0.0,0.0,
5.0,1.3504636215989314,5.777618611380275,1.4551834672462676,0.0,0.06744833852203534,1.6849459821510482,0.047182662791978185,1.3242597005069803,1.391158781343634,0.0,0.0,2.617695206462283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02644136572184124,0.0,0.0,0.0,
6.0,1.420549046180479,6.212674819431649,0.9867470788957561,0.0,0.0728228185133512,1.7017217178015314,0.04734503929762443,1.3145923422824424,1.3975538409948467,0.0,0.0,1.7765049458469484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017944494402494425,0.0,0.0,0.0,
7.0,1.650621097215779,7.423609005754224,1.5191023349242803,0.0,0.08550155039924597,1.5197620900336752,0.04791545757975171,1.299036331448455,1.3801790121695519,0.0,0.0,2.260867165529689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022837042076057468,0.0,0.0,0.0,
8.0,1.9685826256845256,7.092583494012852,1.4085578099085492,0.0,0.05913908917595824,1.7863114828143567,0.04868783897238862,1.3050089062723433,1.3892289880614377,0.0,0.0,2.194018934900169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022161807423234033,0.0,0.0,0.0,
9.0,2.0926417367433436,7.279765198069103,1.5074865683683463,0.0,0.06815803356101188,1.471453362138844,0.04898550025643283,1.3037693345132586,1.3899838933811788,0.0,0.0,1.5778296801639267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015937673537009357,0.0,0.0,0.0,
10.0,2.3001951075399867,6.819983253506453,0.3739379794312495,0.0,0.08840024378887484,1.9610854746327404,0.04948337158022484,1.3070589964340806,1.3961060447703282,0.0,0.0,0.7280299607747793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007353837987624031,0.0,0.0,0.0,
