"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,5.3575306,1.2808117E-6,78.922104,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.26460063,0.15869644,4.0738648E-4,0.012830088,0.0,0.0,1.2959685E-4,0.0
1.0,4.0,0.08559854,0.007881756,4.0395086E-4,0.06659687,0.0,0.0,6.726957E-4,0.0
1.0,6.0,0.00634628,0.0012927644,4.0367327E-4,0.06634435,0.0,0.0,6.70145E-4,0.0
1.0,8.0,0.0016942134,1.1832734E-4,4.008171E-4,0.06637032,0.0,0.0,6.7040726E-4,0.0
1.0,10.0,1.39620615E-5,4.187104E-4,4.0082366E-4,0.06613143,0.0,0.0,6.679942E-4,0.0
1.0,12.0,0.0,3.449598E-4,4.008176E-4,0.06612147,0.0,0.0,6.6789356E-4,0.0
1.0,14.0,0.0,1.2376788E-4,4.001329E-4,0.06576265,0.0,0.0,6.6426914E-4,0.0
1.0,16.0,0.0,0.0011786247,3.9917577E-4,0.06622098,0.0,0.0,6.6889875E-4,0.0
1.0,18.0,0.0,9.882E-4,3.9917816E-4,0.06619111,0.0,0.0,6.6859706E-4,0.0
1.0,20.0,0.0,0.0,3.9916977E-4,0.06619165,0.0,0.0,6.6860253E-4,0.0
1.0,22.0,0.0,0.0,3.991597E-4,0.065830804,0.0,0.0,6.6495757E-4,0.0
1.0,24.0,0.0,0.0016027357,3.9915228E-4,0.06580135,0.0,0.0,6.646601E-4,0.0
1.0,26.0,0.0,0.0,3.9901742E-4,0.0655629,0.0,0.0,6.622515E-4,0.0
1.0,28.0,0.0,0.0,3.9139812E-4,0.064606875,0.0,0.0,6.5259467E-4,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,4.707577,3.0250342E-7,76.01756,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.32455477,0.2133838,3.875381E-4,0.01975163,0.0,0.0,1.9951141E-4,0.0
2.0,4.0,0.10241412,0.043098226,4.049444E-4,0.06561634,0.0,0.0,6.627913E-4,0.0
2.0,6.0,0.0140697835,0.0052420823,4.0342737E-4,0.06552178,0.0,0.0,6.618361E-4,0.0
2.0,8.0,0.0036327404,0.0012671947,4.0196345E-4,0.06493571,0.0,0.0,6.559162E-4,0.0
2.0,10.0,3.7796723E-5,8.600643E-4,4.008114E-4,0.0651347,0.0,0.0,6.579262E-4,0.0
2.0,12.0,0.0,0.0,4.0083012E-4,0.06498638,0.0,0.0,6.5642805E-4,0.0
2.0,14.0,0.0,0.0011612496,4.008009E-4,0.06485448,0.0,0.0,6.550958E-4,0.0
2.0,16.0,0.0,6.1128143E-4,3.9927807E-4,0.0648611,0.0,0.0,6.5516256E-4,0.0
2.0,18.0,0.0,0.0,3.9919838E-4,0.06475217,0.0,0.0,6.540623E-4,0.0
2.0,20.0,0.0,0.0,3.9917268E-4,0.064985156,0.0,0.0,6.5641577E-4,0.0
2.0,22.0,0.0,7.9205236E-4,3.991879E-4,0.064882964,0.0,0.0,6.5538345E-4,0.0
2.0,24.0,0.0,0.0,3.9918494E-4,0.06447727,0.0,0.0,6.512856E-4,0.0
2.0,26.0,0.0,0.0,4.0066033E-4,0.06363341,0.0,0.0,6.427617E-4,0.0
2.0,28.0,0.0,0.0,4.0258974E-4,0.06502814,0.0,0.0,6.568499E-4,0.0
2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,3.0022175,0.0,75.19285,0.0,0.0,0.0,0.0,0.0
3.0,2.0,0.32830155,0.12261364,3.5363296E-4,0.05772773,0.0,0.0,5.831084E-4,0.0
3.0,4.0,0.14407311,0.18150075,4.0001815E-4,0.11702716,0.0,0.0,0.0011820926,0.0
3.0,6.0,0.024404788,0.047858305,4.0211456E-4,0.118722335,0.0,0.0,0.0011992155,0.0
3.0,8.0,0.005153939,0.015659887,4.0347237E-4,0.11866824,0.0,0.0,0.0011986691,0.0
3.0,10.0,1.0196224E-4,0.014075639,4.0078693E-4,0.11752084,0.0,0.0,0.0011870792,0.0
3.0,12.0,0.0,0.010535584,4.0082162E-4,0.118410796,0.0,0.0,0.0011960686,0.0
3.0,14.0,0.0,0.0065049604,4.0081757E-4,0.11788642,0.0,0.0,0.0011907718,0.0
3.0,16.0,0.0,0.00671037,4.0016955E-4,0.11797182,0.0,0.0,0.0011916346,0.0
3.0,18.0,0.0,0.0065620313,3.991713E-4,0.11723232,0.0,0.0,0.0011841649,0.0
3.0,20.0,0.0,0.004860726,3.9919664E-4,0.11813807,0.0,0.0,0.0011933139,0.0
