"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,7.321256,0.0028986107,0.59425,0.0,0.0,0.0,0.0,0.0
1.0,2.0,1.9054685,0.0,0.32419994,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.8145151,0.7293237,0.3340392,0.0106040165,0.0,0.0,1.0711127E-4,0.0
1.0,6.0,0.51639026,1.1448641,0.33123204,0.026089484,0.0,0.0,2.6353015E-4,0.0
1.0,8.0,0.43478158,1.0968738,0.3316511,0.026014373,0.0,0.0,2.6277144E-4,0.0
1.0,10.0,0.38994446,1.0918198,0.33035344,0.026071053,0.0,0.0,2.6334397E-4,0.0
1.0,12.0,0.33027107,0.9857976,0.32980376,0.025702126,0.0,0.0,2.5961743E-4,0.0
1.0,14.0,0.3122593,0.99361926,0.3299661,0.025861181,0.0,0.0,2.6122405E-4,0.0
1.0,16.0,0.3031658,1.0168973,0.33040264,0.025927411,0.0,0.0,2.6189303E-4,0.0
1.0,18.0,0.3246259,0.9653203,0.33000568,0.026128305,0.0,0.0,2.6392227E-4,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,6.4553485,0.105841815,0.5581921,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.2776792,0.0,0.30922636,0.0,0.0,0.0,0.0,0.0
2.0,4.0,1.8366485,1.2733358,0.3308762,0.010636228,0.0,0.0,1.0743665E-4,0.0
2.0,6.0,1.3004928,1.0610207,0.32746625,0.013402265,0.0,0.0,1.3537641E-4,0.0
2.0,8.0,1.1748394,0.92569625,0.3294174,0.013514834,0.0,0.0,1.3651348E-4,0.0
2.0,10.0,1.0087271,0.88090026,0.3292632,0.013574734,0.0,0.0,1.3711852E-4,0.0
2.0,12.0,0.9651949,0.841107,0.3284569,0.013455779,0.0,0.0,1.3591695E-4,0.0
2.0,14.0,0.7145026,0.792505,0.3298573,0.013460852,0.0,0.0,1.359682E-4,0.0
2.0,16.0,0.7700087,0.81526,0.32943636,0.013442593,0.0,0.0,1.3578376E-4,0.0
2.0,18.0,0.79484725,0.74800736,0.32926393,0.013611409,0.0,0.0,1.3748898E-4,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,5.3564453,0.052485067,0.59084004,0.0,0.0,0.0,0.0,0.0
3.0,2.0,1.0865183,0.45022026,0.39172256,1.3541862E-7,0.0,0.0,1.3678648E-9,0.0
3.0,4.0,2.5965836,1.1263076,0.32384032,0.009430019,0.0,0.0,9.525272E-5,0.0
3.0,6.0,2.5641549,0.90396756,0.32139304,0.009430588,0.0,0.0,9.525847E-5,0.0
3.0,8.0,1.8487055,0.83902174,0.3208159,0.00932406,0.0,0.0,9.4182426E-5,0.0
3.0,10.0,1.9423519,0.7113786,0.32529113,0.009553838,0.0,0.0,9.650341E-5,0.0
3.0,12.0,1.8734108,0.67556876,0.3231183,0.009375467,0.0,0.0,9.470169E-5,0.0
3.0,14.0,1.7800908,0.763023,0.32360992,0.009549876,0.0,0.0,9.646339E-5,0.0
3.0,16.0,1.6207514,0.77125716,0.3247228,0.009405496,0.0,0.0,9.500501E-5,0.0
3.0,18.0,1.5914122,0.6953248,0.3265632,0.009362278,0.0,0.0,9.456846E-5,0.0
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,4.2585626,0.0120251225,0.57466114,0.0,0.0,0.0,0.0,0.0
4.0,2.0,0.3623516,0.25543857,0.3390826,0.0,0.0,0.0,0.0,0.0
4.0,4.0,1.0724365,0.7259388,0.18398884,0.0076329918,0.0,0.0,7.710093E-5,0.0
4.0,6.0,4.492814,0.86996603,0.34575194,0.014094472,0.0,0.0,1.423684E-4,0.0
4.0,8.0,2.1540565,0.6736819,0.31041276,0.012908386,0.0,0.0,1.3038774E-4,0.0
4.0,10.0,1.9674017,0.4155475,0.31719258,0.013089358,0.0,0.0,1.3221573E-4,0.0
4.0,12.0,2.4457064,0.735897,0.3064996,0.012771786,0.0,0.0,1.2900794E-4,0.0
4.0,14.0,1.6072466,0.64860195,0.32359186,0.013447342,0.0,0.0,1.3583174E-4,0.0
4.0,16.0,1.4459509,0.6135889,0.32587376,0.013395242,0.0,0.0,1.3530548E-4,0.0
4.0,18.0,1.9821398,0.39569575,0.30576217,0.012661379,0.0,0.0,1.2789272E-4,0.0
4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,5.1854863,0.009438764,0.55556184,0.0,0.0,0.0,0.0,0.0
5.0,2.0,0.3954177,0.13736348,0.33092263,0.0,0.0,0.0,0.0,0.0
5.0,4.0,0.26588732,0.30876178,0.2711873,0.0,0.0,0.0,0.0,0.0
5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,0.59775573,0.16408707,0.055758845,0.0020196198,0.0,0.0,2.04002E-5,0.0
5.0,10.0,0.71628654,0.29086965,0.2167646,0.00771161,0.0,0.0,7.789505E-5,0.0
5.0,12.0,1.3722527,0.0,0.016141035,4.8614413E-4,0.0,0.0,4.9105465E-6,0.0
5.0,14.0,1.1183741,0.3255725,0.22724292,0.008154239,0.0,0.0,8.2366045E-5,0.0
5.0,16.0,1.3822958,0.02035647,0.13039486,0.0046328,0.0,0.0,4.6795958E-5,0.0
5.0,18.0,0.51215667,0.05922165,0.08044739,0.00282093,0.0,0.0,2.8494243E-5,0.0
5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,5.001663,0.017997291,0.56897604,0.0,0.0,0.0,0.0,0.0
6.0,2.0,0.45892787,0.20837714,0.38807553,0.0,0.0,0.0,0.0,0.0
6.0,4.0,0.3879895,0.32483482,0.3411558,2.1189495E-5,0.0,0.0,2.1403531E-7,0.0
6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,4.924312,0.041344777,0.5747846,0.0,0.0,0.0,0.0,0.0
7.0,2.0,0.3737238,0.26031312,0.34478796,0.0,0.0,0.0,0.0,0.0
7.0,4.0,0.404825,0.39858407,0.33510733,1.2661511E-4,0.0,0.0,1.2789405E-6,0.0
7.0,6.0,0.41358128,0.9562256,0.27681938,0.0012142936,0.0,0.0,1.2265593E-5,0.0
7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,5.023894,0.12642188,0.57024395,0.0,0.0,0.0,0.0,0.0
8.0,2.0,0.38048908,0.27869034,0.33879903,8.072268E-8,0.0,0.0,8.153806E-10,0.0
8.0,4.0,0.42151234,0.36940148,0.3905666,9.490985E-5,0.0,0.0,9.586853E-7,0.0
8.0,6.0,0.57594174,1.4333982,0.36441737,0.0042674756,0.0,0.0,4.3105814E-5,0.0
8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,5.015903,0.15858696,0.57048154,0.0,0.0,0.0,0.0,0.0
9.0,2.0,0.41333175,0.28456074,0.35164067,8.734865E-9,0.0,0.0,8.8230964E-11,0.0
9.0,4.0,0.38892105,0.29699534,0.3446394,2.523736E-5,0.0,0.0,2.549228E-7,0.0
9.0,6.0,0.7082256,1.3335894,0.35254583,0.0030343265,0.0,0.0,3.064976E-5,0.0
9.0,8.0,1.5099095,1.4602858,0.37726137,0.005603979,0.0,0.0,5.6605848E-5,0.0
9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,6.2880154,0.193567,0.5917528,0.0,0.0,0.0,0.0,0.0
10.0,2.0,0.45025298,0.2548498,0.3429747,0.0,0.0,0.0,0.0,0.0
10.0,4.0,0.45048362,0.3163394,0.3404039,2.1952212E-5,0.0,0.0,2.217395E-7,0.0
10.0,6.0,0.80741704,0.94269925,0.45863393,0.002357262,0.0,0.0,2.3810728E-5,0.0
10.0,8.0,1.4029626,1.1951467,0.4289037,0.007642981,0.0,0.0,7.720183E-5,0.0
10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,5.7372227,0.24371755,0.5750765,0.0,0.0,0.0,0.0,0.0
11.0,2.0,0.46133268,0.2268287,0.33757216,0.0,0.0,0.0,0.0,0.0
11.0,4.0,0.51857615,0.25333756,0.35255337,2.861958E-5,0.0,0.0,2.8908664E-7,0.0
11.0,6.0,0.621455,1.0417523,0.3565576,0.002358469,0.0,0.0,2.3822919E-5,0.0
11.0,8.0,1.1327006,0.95954657,0.44041368,0.010464001,0.0,0.0,1.0569698E-4,0.0
11.0,10.0,1.2312949,0.974608,0.360412,0.008310621,0.0,0.0,8.394566E-5,0.0
11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,5.235605,0.27043423,0.5703174,0.0,0.0,0.0,0.0,0.0
12.0,2.0,0.4747146,0.23379955,0.33928207,2.1780352E-8,0.0,0.0,2.2000356E-10,0.0
12.0,4.0,0.5245905,0.21384297,0.34255394,1.3982468E-5,0.0,0.0,1.4123705E-7,0.0
12.0,6.0,0.6600638,0.8463837,0.35614285,0.0018749197,0.0,0.0,1.8938583E-5,0.0
12.0,8.0,1.0202192,2.4170558,0.5166163,0.012267416,0.0,0.0,1.239133E-4,0.0
12.0,10.0,1.1775312,0.94005746,0.39910078,0.009479954,0.0,0.0,9.575711E-5,0.0
12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,5.687786,0.19898574,0.5731659,0.0,0.0,0.0,0.0,0.0
13.0,2.0,0.5645147,0.19446422,0.3479422,2.6488124E-7,0.0,0.0,2.675568E-9,0.0
