"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,10.870991,5.78503,4.749701,6.7758846,69.8309,42.01999,43.21065,4.3302226,1.9494475,7.6567774,31.194407,13.695855,5.0938826,2.656362,2.9837022,2.656651,2.765873
2.0,3.1270921,12.020797,8.586991,5.548017,54.40247,56.26231,28.138048,10.45573,8.2048235,13.3825655,32.53234,12.793494,3.1302884,5.5837746,5.052972,5.3573456,3.0555906
3.0,3.932029,13.30065,6.813348,10.190363,52.322044,66.96585,20.459703,13.810324,6.4017262,17.71981,31.839228,14.834127,3.851173,6.0479283,9.974764,7.2692213,3.1454823
4.0,5.398539,10.675096,4.1885395,10.156871,53.61783,75.727455,24.300453,14.513576,4.708474,21.949833,31.20616,12.536031,4.350904,5.5656433,12.676644,10.541447,3.9975746
5.0,7.747119,13.476149,3.3159242,5.8551273,54.515854,83.397316,23.119411,12.600145,7.2490172,13.53379,30.256207,12.138825,4.2247176,5.2894425,11.73283,12.235184,4.4098177
6.0,6.9459143,12.690879,3.350199,7.282164,54.797108,89.88853,20.786291,14.188064,9.639094,15.269114,30.280071,12.690756,4.1038756,5.253717,12.316202,11.279012,5.177636
7.0,5.9506407,12.1735735,3.0890224,6.6430507,55.079845,95.17788,24.685404,14.687861,8.5892725,19.170084,30.567387,12.194897,4.124795,5.2690277,11.331501,NaN,4.897757
8.0,5.0157037,12.298305,3.1696186,4.9414883,55.435917,99.53583,31.291485,13.315364,8.148337,16.90711,30.699034,12.610101,4.148246,6.1121707,12.229523,NaN,5.470112
9.0,4.96617,13.643862,3.1435554,4.9024105,55.97596,103.055305,30.597221,14.639371,8.605325,15.312593,30.598661,12.510084,4.121131,5.1176524,12.767825,NaN,3.497923
10.0,4.85155,11.893216,3.0259678,4.0934854,56.647293,105.93831,22.67081,14.536729,8.439712,15.638791,30.516817,12.769523,4.221505,5.627149,12.523874,NaN,2.7242143
11.0,4.9271617,13.040706,3.1140542,4.0945454,56.603165,108.274445,30.857733,13.228828,7.301119,18.117254,30.788849,12.102171,4.0930862,5.0588756,11.149527,NaN,3.4778152
12.0,5.078341,13.427653,3.2793505,3.531907,54.1354,110.19153,28.059347,17.809235,8.756912,17.269016,30.780867,12.513446,4.184143,5.20501,11.533106,NaN,3.0061862
13.0,5.2602644,12.398743,3.2935011,3.6248882,51.8967,111.76537,20.864548,14.051388,8.1314945,15.755804,30.56234,12.75047,4.370851,5.4838476,11.840017,NaN,2.9135134
14.0,4.93233,12.607663,3.1590168,4.347524,51.18209,113.03534,26.315903,14.413916,7.379679,16.354706,30.916462,11.994011,4.2994676,5.325648,12.371136,NaN,3.5462832
15.0,5.1022487,13.7369585,3.320972,4.8529015,51.302036,114.09927,28.492744,16.084106,9.369483,17.595533,31.757652,12.311862,4.272141,5.1619444,11.536181,NaN,2.9701
16.0,5.1536846,12.674108,3.252316,4.532401,51.7775,114.96862,27.732307,14.175454,8.351636,17.91224,32.452938,13.149293,4.219824,5.681199,12.121875,NaN,3.4161735
17.0,5.799662,11.663112,3.5618532,5.140507,52.476906,115.67746,24.871256,14.882024,8.468736,17.674908,32.589645,12.799981,4.1589046,5.387554,13.052418,NaN,2.8093786
18.0,5.887825,13.386888,3.7248683,5.3751,53.201546,116.27431,31.14025,15.972166,9.280522,16.9098,33.516556,12.505719,4.2977567,5.366109,13.012071,NaN,3.0376804
19.0,5.836788,12.855224,3.8911657,5.8224587,53.98237,116.77867,21.96232,15.854611,9.222211,18.855192,35.338387,12.667184,4.493358,5.5451417,13.128344,NaN,3.1808918
20.0,6.7450347,12.418747,4.323967,6.6997156,54.81542,117.22136,26.192102,13.732633,10.032978,19.97018,37.47792,13.929295,4.2705755,5.212045,12.030991,NaN,2.7227063
