"Distribution of the biomass (tonne) of prey species (in columns) in the diet of AtlanticHerring by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,4.3877864,112.368225,10.570619,9.659936,0.0,0.0,0.11741582,57.313618,377.3332,29.480783,0.0,4.968205,208.09148,197.17268,220.57742,0.07642718,0.003362114,0.015539194,6.5664825,4966.0396,56.54419,909.1521,40.113857,839.8765,0.0
1.0,2.0,2.372616,81.91417,15.739068,18.687096,0.0,0.0,0.1919106,85.44414,51.01858,15.736084,0.0,6.7043834,263.1585,33.36957,237.9116,0.10345996,0.009022923,0.0,0.0,1283.5264,0.0,0.0,0.0,0.0,0.0
1.0,4.0,4.7107906,8.695864,4.13883,1.8975308,0.0,0.0,0.07752449,34.128902,12.231281,22.330229,0.0,1.9595861,22.91687,4.673019,26.68311,0.064182974,0.007019063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,4.0770254,1.9803966,1.3786253,0.6797117,0.0,1.2468771E-6,0.045872193,11.620441,15.973161,8.841343,0.0,1.1983645,6.2363915,1.1257976,7.834712,1.4980302E-4,7.6509645E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,3.4084785,0.8099991,0.4965677,0.12607378,0.0,1.213209E-7,0.020162001,4.2273374,5.6737776,3.389633,0.6839615,0.3182313,1.5838231,0.448594,2.4735994,0.017991018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,1.1168358,0.29372877,0.10121312,0.03743163,0.0,0.0,0.005454156,1.961455,2.8298593,1.5832809,0.46426287,0.1968402,0.56685436,0.17671551,0.8178911,1.3851164E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.5117528,0.14167981,0.068600945,0.030873979,0.0,0.0,1.8595072E-5,0.72586703,0.9746766,0.6102062,0.13384186,0.075370386,0.20520937,0.087178625,0.49621978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.11692207,0.03863327,0.0012350867,0.0025570155,0.0,0.0,0.0,0.255229,0.17645088,0.19848944,0.038767293,0.021518249,0.06460515,0.029475633,0.14123107,0.0,2.7425608E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
