"Distribution of the biomass (tonne) of prey species (in columns) in the diet of Goosefish by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,0.011009276,0.0016910856,6.228967E-6,2.778782E-4,0.0,0.0,5.1624603E-8,9.523378E-4,0.0027931985,0.008798451,6.1587457E-6,3.587888E-5,0.069171146,0.0054613226,0.0029838528,0.0,0.0,0.0013575058,0.046872903,1.1516373,0.1272079,1.849327,0.022326553,0.49014825,0.53089935
1.0,10.0,0.016857013,0.0013346616,1.097538E-8,3.3118462E-4,0.0,0.0,2.8624438E-6,0.0017741814,0.04450101,0.00906631,5.916006E-4,1.5083303E-4,0.14011241,9.616165E-4,0.010933315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4779432
1.0,20.0,1.1501783,0.022095107,0.0040388415,0.045231827,0.0,1.02634566E-7,2.3601615E-4,0.03321728,2.1827643,0.1011858,0.117839396,0.041695945,2.010184,0.25564533,0.35430992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8765898
1.0,30.0,3.8673441,0.3988655,0.054444153,0.3570041,0.010523457,0.009616551,0.021298815,0.24132824,5.7891483,0.3970817,0.72578186,0.29714933,1.9204054,0.87272793,1.3641423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19741642
1.0,40.0,3.8841393,0.7692617,0.03007089,0.59893537,0.1569052,0.027900964,0.00801223,0.23179503,5.5879045,0.44598928,1.1441747,0.428423,1.2459573,1.4105166,1.9642938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,50.0,3.3072312,1.6302258,0.042197514,0.71562225,0.36141622,0.06029943,0.033294816,0.18043953,4.5837317,0.60177046,1.8575197,0.49980298,0.2383816,2.3402436,1.7622077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,2.789952,1.7430658,0.051039398,0.6315938,0.37251237,0.21850252,0.02405218,0.15805382,3.9215772,0.66652083,2.9877703,0.8037618,0.0,2.5467858,1.5349524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,2.4086738,1.366083,0.038391065,0.43303293,0.41423196,0.28141373,0.02270395,0.11548385,2.7093022,0.6158901,4.310593,0.8293434,0.0,2.3070257,1.210761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,1.7885337,0.96489304,0.027072493,0.30651855,0.4596733,0.28665844,0.025395216,0.08741321,1.5086427,0.5690704,5.081643,0.6588868,0.0,1.8622818,0.90921944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,1.4820633,1.1670732,0.027706532,0.32090342,0.43309638,0.27757716,0.026987236,0.07356316,0.9592474,0.6261746,4.404759,0.61867225,0.0,1.8333209,0.9179817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,1.0994098,0.9942471,0.02665719,0.2976108,0.5683243,0.32992232,0.035510343,0.06336695,0.48002407,0.62289387,4.4613214,0.58114195,0.0,1.6273463,0.8011123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.8479521,0.86546624,0.02027387,0.24487197,0.62110466,0.31323066,0.038238663,0.05430147,0.18268053,0.55763584,3.9104037,0.5149961,0.0,1.2979667,0.6016612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.44336146,0.7341083,0.018331768,0.1954129,0.6642897,0.27364808,0.032009855,0.038042754,0.046950143,0.44318357,3.035432,0.40084973,0.0,1.0002563,0.45216283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.23360781,0.59881526,0.014576275,0.16225158,0.7076334,0.25358462,0.030950015,0.03205821,0.006058447,0.3765833,2.603536,0.34841186,0.0,0.8157401,0.35630652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.13489649,0.4195131,0.009616995,0.10310617,0.618572,0.17142381,0.022785973,0.019103054,0.0,0.25287017,1.6561252,0.2220137,0.0,0.5195276,0.19497791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0015441594,0.010553431,1.638164E-4,0.0024207411,0.016106904,0.0041621197,5.267022E-4,2.7879683E-4,0.0,0.0056485822,0.032195862,0.0045425575,0.0,0.010515061,0.003745774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.038457952,2.3425856E-4,4.0095035E-4,0.0113976,0.0,0.0,3.520594E-5,2.4101926E-5,0.21743459,0.011981858,0.007258562,0.010021605,0.33046487,0.32174936,0.048114818,0.0,0.0,2.5832406E-4,0.08424497,3.5261981,0.24687022,4.6207094,0.026821261,0.59402484,3.2382116
