"Distribution of the biomass (tonne) of prey species (in columns) in the diet of SkateRays by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,0.006975713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3007661,0.0795144,1.2959207E-5,1.5919139E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4433355
1.0,10.0,1.0368315,5.202044,0.0777527,0.21385084,0.0,1.8312641E-9,5.7700516E-5,2.0147748,12.2064495,1.6856029,0.0012813368,0.1827477,15.477557,1.853368,8.400457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.08768
1.0,20.0,7.245487,16.482407,0.17877607,0.80790293,0.0,7.444586E-8,0.0018560421,5.638049,74.564255,4.9581614,0.01721376,0.77943975,49.791172,8.928999,21.054424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.07202
1.0,30.0,27.02362,25.016386,0.28906253,1.1373276,0.0,5.693819E-4,0.0032336193,7.619617,146.512,7.585031,0.10342122,1.1059431,72.22291,15.085127,30.717667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.332
1.0,40.0,68.719696,43.664745,0.510859,2.3392887,0.17951776,0.08138998,0.027693523,13.83678,249.76392,13.899721,0.50444865,2.4822345,116.12755,38.258057,56.535328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.96442
1.0,50.0,52.24994,35.510185,0.3674511,2.2194734,0.4827884,0.16695353,0.04283025,9.607853,172.3368,10.052572,0.5364551,1.851411,77.42027,32.035717,41.61279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.97556
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
