"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,3.5833745,3.6248214,4.1382685,4.3310494,4.2178855,4.7844625,5.109509,3.6985893,3.765477,3.987865,4.1443367,4.6421323,3.3275607,3.6776154,3.3944528,3.6342275,3.6241248
2.0,3.3544521,3.6815116,4.0081105,3.8849165,4.304771,4.9730654,5.2302117,3.6622453,4.374945,3.8010092,4.246586,3.9577093,3.3040948,3.5831735,3.5055397,3.6694884,3.6350474
3.0,3.2973254,3.7423275,3.9960923,3.8038926,4.234869,5.011925,5.12238,3.7348478,4.366056,3.8890398,4.1932626,4.2339087,3.3019905,3.575401,3.7038078,3.6200042,3.5873144
4.0,3.3647306,3.650936,4.082015,3.8089974,4.172024,4.975886,5.0753098,3.7231214,4.3544765,4.0404463,4.1537585,4.2111864,3.3030365,3.6002843,3.7889981,3.5985858,3.5380373
5.0,3.385218,3.5892873,4.1266074,3.7475603,4.1554046,4.9299655,5.0393677,3.7147138,4.3906274,3.855398,4.144855,4.1602407,3.304419,3.5963528,3.8009193,3.573863,3.5765643
6.0,3.3993409,3.6420257,4.036004,3.7717981,4.132637,4.9129224,4.9628696,3.7263625,4.3963313,3.845697,4.119263,4.1801095,3.3057587,3.619699,3.777932,3.5241928,3.5456111
7.0,3.4103324,3.6498039,4.0518694,3.790524,4.1601543,4.940121,4.9528465,3.7170687,4.3945136,3.8934672,4.141775,4.149473,3.3057022,3.5850503,3.8070474,NaN,3.5558445
8.0,3.3915439,3.6284447,4.060669,3.7787523,4.173655,4.9639564,4.996515,3.7250893,4.3883414,3.9463584,4.1647115,4.2007294,3.3094497,3.6032598,3.7795308,NaN,3.5994031
9.0,3.3898408,3.6670454,4.0571823,3.8007967,4.187769,4.9808865,5.0391507,3.7158158,4.3902187,3.8874788,4.1757956,4.189888,3.308113,3.5823967,3.900806,NaN,3.6793118
10.0,3.3822982,3.659386,4.0853944,3.8115895,4.1954517,4.9867697,5.0230947,3.7226908,4.37592,3.859044,4.1731405,4.255453,3.3089378,3.604456,3.8441496,NaN,3.6631129
11.0,3.381149,3.6389358,4.0482106,3.8320146,4.1642475,4.9866095,5.0133505,3.7303655,4.367981,3.8997915,4.1495037,4.196719,3.3100984,3.5933065,3.8081038,NaN,3.6844265
12.0,3.3896108,3.6660302,4.058325,3.8239098,4.1723733,4.990239,5.069237,3.7207093,4.393005,3.9432113,4.165268,4.1750383,3.3062565,3.6009202,3.7924483,NaN,3.641594
13.0,3.399845,3.659495,4.0882773,3.8284822,4.1668706,4.9934506,5.0195475,3.7941227,4.384153,3.8823695,4.170356,4.2699018,3.3051677,3.5813866,3.796427,NaN,3.6628895
14.0,3.3839073,3.6446757,4.049968,3.824943,4.138141,4.996745,4.9954967,3.7289531,4.389331,3.8679695,4.148618,4.173074,3.306821,3.5995529,3.7950342,NaN,3.6686602
15.0,3.3849506,3.6631134,4.059397,3.8200572,4.1337247,4.9996004,5.026191,3.701232,4.3888164,3.9163444,4.1502595,4.165594,3.3080835,3.604069,3.790947,NaN,3.6398864
16.0,3.382809,3.6629937,4.076183,3.82562,4.110394,5.001867,5.0241427,3.7551455,4.3829155,3.9207585,4.150985,4.2054787,3.3045087,3.5958507,3.7912395,NaN,3.6916955
17.0,3.400954,3.6293294,4.070362,3.8284872,4.10886,4.999876,5.0323305,3.7594008,4.3906493,3.9183297,4.159212,4.120023,3.308194,3.6099627,3.8235145,NaN,3.6624718
18.0,3.3966014,3.6249926,4.1135707,3.8136253,4.0886087,4.977232,5.0335054,3.7359018,4.3926563,3.896899,4.152455,4.1479874,3.30687,3.600276,3.8965042,NaN,3.6346946
19.0,3.3930993,3.6350658,4.1204805,3.7897477,4.040964,4.968824,4.992738,3.7683318,4.3807297,3.9207497,4.128257,4.104833,3.3071783,3.6090994,3.8364167,NaN,3.6739693
20.0,3.39606,3.6148078,4.1000504,3.8088944,4.0169616,4.965572,4.976829,3.7633271,4.3961277,3.966008,4.1162243,4.101035,3.3045807,3.6011028,3.7215772,NaN,3.6598136
