year,period,5,15,25,35,45,55,65,75,85,95,105,115,125
2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
