"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,1.174371,3.0847383,2.0540867,1.0330623,32.038837,28.707312,1.7561649,23.53065,2.5216398,12.88196,16.173315,1.8457874,1.6074427,14.544054,3.0789018,4.8847084,10.246407
1.0,2.0,20.327732,33.929714,31.15304,20.321218,52.64761,46.803745,38.774693,40.844303,NaN,35.471626,31.624382,33.022804,NaN,34.978542,24.331688,12.216394,23.688944
1.0,4.0,25.420511,38.51091,41.74803,26.92035,64.93696,65.728065,60.603603,44.491295,NaN,47.447407,40.57931,39.822285,NaN,37.286503,27.836996,16.555845,NaN
1.0,6.0,27.970768,40.45217,47.81293,30.999954,74.96425,77.471924,78.220856,45.258003,NaN,55.43643,46.52159,42.65098,NaN,38.23842,29.131638,19.860346,NaN
1.0,8.0,29.36285,41.309517,51.335773,33.668407,83.12519,85.729965,92.978714,45.44125,NaN,61.17008,50.488777,43.904633,NaN,NaN,29.606949,22.460466,NaN
1.0,10.0,30.102886,41.694584,NaN,35.427856,89.84367,91.08924,104.74494,45.48546,NaN,65.118385,53.128304,44.45346,NaN,NaN,29.76649,24.845856,NaN
1.0,12.0,30.509205,41.862495,NaN,36.57874,95.30896,94.68762,114.39985,45.496395,NaN,67.864944,54.39042,44.699547,NaN,NaN,NaN,26.102858,NaN
1.0,14.0,30.698475,41.938015,NaN,37.348495,99.78443,97.10793,122.38632,45.49905,NaN,69.77775,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,16.0,NaN,41.972458,NaN,37.861523,103.447495,98.73151,128.96793,45.499687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,18.0,NaN,NaN,NaN,38.204056,106.44797,99.80968,134.31152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,20.0,NaN,NaN,NaN,NaN,108.9096,100.5345,138.70149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,22.0,NaN,NaN,NaN,NaN,110.920364,100.99709,142.32104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,24.0,NaN,NaN,NaN,NaN,112.56666,101.34051,145.28325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,26.0,NaN,NaN,NaN,NaN,113.91364,101.54167,147.72815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,28.0,NaN,NaN,NaN,NaN,115.01682,NaN,149.63683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,30.0,NaN,NaN,NaN,NaN,115.92045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,32.0,NaN,NaN,NaN,NaN,116.659485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,34.0,NaN,NaN,NaN,NaN,117.26542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,36.0,NaN,NaN,NaN,NaN,117.76095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,38.0,NaN,NaN,NaN,NaN,118.16692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,1.133073,15.10783,1.0583833,0.8160787,33.180363,33.744976,1.235325,36.49748,2.8753855,25.61733,18.386118,1.4041679,1.8187191,28.806162,2.1297925,9.733974,16.048225
2.0,2.0,21.598892,34.18641,33.627037,23.331287,50.82294,40.798527,37.594685,43.51426,NaN,34.422386,32.62032,34.76661,NaN,32.46255,21.694405,12.222442,23.177305
2.0,4.0,26.613054,38.18865,45.21248,29.741396,63.84677,61.46009,61.283897,45.91522,NaN,47.650238,41.79731,41.587833,NaN,36.90678,28.375332,17.279673,NaN
2.0,6.0,28.79072,40.328648,50.339077,33.395725,74.09437,74.618355,79.21484,45.65767,NaN,55.67877,47.378136,43.61429,NaN,38.08864,29.354563,20.656343,NaN
2.0,8.0,29.84081,41.252842,53.030373,35.480564,82.38723,83.811386,93.756165,45.542683,NaN,61.296932,51.130512,44.36554,NaN,NaN,29.694906,23.117352,NaN
2.0,10.0,30.379665,41.66683,NaN,36.72834,89.223206,89.83981,105.552986,45.51028,NaN,65.24087,53.568233,44.667477,NaN,NaN,29.806992,25.289635,NaN
2.0,12.0,30.664877,41.850746,NaN,37.49852,94.80139,93.8437,115.099365,45.50255,NaN,67.9487,54.735832,44.79725,NaN,NaN,NaN,NaN,NaN
2.0,14.0,30.794321,41.932926,NaN,37.985695,99.363716,96.52872,122.93304,45.500576,NaN,69.82797,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,16.0,NaN,41.970066,NaN,38.29797,103.10294,98.349335,129.44662,45.500233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,18.0,NaN,NaN,NaN,38.501236,106.16243,99.55108,134.72328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,20.0,NaN,NaN,NaN,NaN,108.67471,100.359795,139.0432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,22.0,NaN,NaN,NaN,NaN,110.72705,100.872406,142.59871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,24.0,NaN,NaN,NaN,NaN,112.40816,101.26376,145.51657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,26.0,NaN,NaN,NaN,NaN,113.784775,101.49014,147.92091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,28.0,NaN,NaN,NaN,NaN,114.91054,101.62067,149.83694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,30.0,NaN,NaN,NaN,NaN,115.832695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,32.0,NaN,NaN,NaN,NaN,116.588394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,34.0,NaN,NaN,NaN,NaN,117.20678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,36.0,NaN,NaN,NaN,NaN,117.71291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,38.0,NaN,NaN,NaN,NaN,118.127594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,0.0,1.1748229,2.454796,0.99996257,0.83928114,34.385773,NaN,1.1479154,27.873577,3.0852692,36.409874,16.761074,1.3992949,1.849669,29.50834,1.3714269,NaN,8.461037
3.0,2.0,23.18893,26.395357,32.85504,26.052921,47.77094,44.920597,42.48883,46.589764,NaN,35.477318,33.363388,37.95659,NaN,31.14601,21.201832,12.941132,24.743032
3.0,4.0,27.627665,37.884922,47.728367,31.53513,62.914455,57.63486,62.419044,48.068,NaN,47.84039,42.73219,43.333828,NaN,36.35629,28.963205,17.719355,NaN
3.0,6.0,29.670418,40.162743,52.708443,35.403755,73.201385,71.70303,80.12162,46.41497,NaN,55.869976,48.265198,44.82191,NaN,37.86122,29.637651,21.289423,NaN
3.0,8.0,30.41556,41.187187,54.87091,37.206703,81.65463,81.55777,94.45782,45.745415,NaN,61.455967,51.795113,45.009068,NaN,NaN,29.81853,23.669619,NaN
3.0,10.0,30.724865,41.6318,NaN,38.084305,88.564735,88.36607,106.36734,45.56114,NaN,65.36853,54.06571,44.975636,NaN,NaN,29.864672,25.563055,NaN
3.0,12.0,30.862448,41.83844,NaN,38.502144,94.26997,92.81733,115.82079,45.514885,NaN,68.044334,55.130814,44.940483,NaN,NaN,NaN,NaN,NaN
3.0,14.0,30.918148,41.92737,NaN,38.706913,98.918976,95.83662,123.53879,45.50365,NaN,69.88462,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,16.0,NaN,41.96699,NaN,38.804283,102.731575,97.87561,129.9132,45.50148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,18.0,NaN,NaN,NaN,38.851063,105.85544,99.23839,135.17088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,20.0,NaN,NaN,NaN,NaN,108.41604,100.15027,139.41942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,22.0,NaN,NaN,NaN,NaN,110.51792,100.73385,142.90417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,24.0,NaN,NaN,NaN,NaN,112.23574,101.16148,145.76833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,26.0,NaN,NaN,NaN,NaN,113.642685,101.40782,148.10329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,28.0,NaN,NaN,NaN,NaN,114.794044,NaN,149.94966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,30.0,NaN,NaN,NaN,NaN,115.73722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,32.0,NaN,NaN,NaN,NaN,116.51001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,34.0,NaN,NaN,NaN,NaN,117.142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,36.0,NaN,NaN,NaN,NaN,117.660355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,38.0,NaN,NaN,NaN,NaN,118.08421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,0.0,1.1641293,1.6920936,0.989201,0.80245745,34.296467,NaN,1.1035589,27.867704,3.1124096,36.488216,16.842573,1.4339134,1.7399173,9.791314,1.356,NaN,13.704919
4.0,2.0,25.132523,28.71805,41.22364,28.691952,48.73379,48.766857,50.245914,49.589462,NaN,40.639755,35.072025,40.65795,NaN,31.947126,23.304691,15.417463,24.335876
4.0,4.0,28.264944,38.26743,48.728348,32.923794,61.589443,53.804768,60.171345,50.48472,NaN,46.91885,43.158413,44.49376,NaN,34.223434,27.209995,17.453962,NaN
4.0,6.0,30.56942,39.950916,54.961937,37.04449,72.35271,68.46443,80.35584,47.75421,NaN,56.03329,49.104034,46.22542,NaN,37.507454,30.097406,21.769144,NaN
4.0,8.0,31.095266,41.089527,56.81204,38.827385,80.92889,79.0227,95.08123,46.13774,NaN,61.643757,52.472237,45.874435,NaN,NaN,30.015251,24.143211,NaN
4.0,10.0,31.163017,41.591145,NaN,39.46617,87.91907,86.579,106.92235,45.663746,NaN,65.48427,54.615852,45.41535,NaN,NaN,29.95803,26.01499,NaN
4.0,12.0,31.118328,41.817364,NaN,39.59322,93.70899,91.61726,116.45057,45.539783,NaN,68.146904,55.577988,45.14891,NaN,NaN,NaN,NaN,NaN
4.0,14.0,31.084883,41.91812,NaN,39.51464,98.4496,95.01469,124.12918,45.509815,NaN,69.935684,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,16.0,NaN,41.963013,NaN,39.38775,102.33588,97.30374,130.39574,45.503944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,18.0,NaN,NaN,NaN,39.26177,105.52701,98.85534,135.58855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,20.0,NaN,NaN,NaN,NaN,108.14129,99.89371,139.78726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,22.0,NaN,NaN,NaN,NaN,110.290215,100.54295,143.21646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,24.0,NaN,NaN,NaN,NaN,112.04711,101.03573,145.86615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,26.0,NaN,NaN,NaN,NaN,113.48729,101.32346,148.24297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,28.0,NaN,NaN,NaN,NaN,114.6672,NaN,150.08066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,30.0,NaN,NaN,NaN,NaN,115.632324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,32.0,NaN,NaN,NaN,NaN,116.423164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,34.0,NaN,NaN,NaN,NaN,117.071526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,36.0,NaN,NaN,NaN,NaN,117.60211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,38.0,NaN,NaN,NaN,NaN,118.036446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
