"Distribution of fish species biomass (tonne) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,141.701,164.02582,89.89005,17.799751,0.0,0.0,62.297596,0.0,50487.816,0.0,0.0,0.0,5000.8545,0.0,7219.6455,0.36712638,0.007949074
1.0,10.0,917.80133,1366.1453,95.32665,227.45694,0.0,0.039251834,34.071926,34.70844,274472.56,101.994934,253.0754,123.181206,0.0,1037.3685,5376.7617,0.3451389,0.40965
1.0,20.0,739.91046,1738.9972,24.09713,684.39526,0.0,49.09625,36.219257,248.61653,64629.33,365.17776,1155.0994,618.6206,0.0,6222.5596,271.23938,0.1101473,0.21845832
1.0,30.0,37.14359,2206.9136,37.97723,1339.5277,355.22498,52.634247,45.525482,711.2084,0.0,605.3987,3040.068,1147.4379,0.0,5380.2593,0.0,0.0,0.0
1.0,40.0,0.0,191.97285,64.24837,0.0,349.5277,46.519077,64.9576,1427.5212,0.0,1150.536,7369.8765,1638.564,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,23.770515,0.0,578.1483,61.204018,69.48241,0.0,0.0,1769.66,6505.321,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,859.7601,81.91099,76.05192,0.0,0.0,2090.1877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,1274.2336,62.128613,73.59485,0.0,0.0,123.26406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,1991.0482,55.00577,68.75499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,3082.4695,38.643425,71.31793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,5214.38,3.1640718,68.52566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,10032.471,0.0,58.919785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,128.84903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,45.40161,0.0,0.0048290263,0.00936045,0.0,0.0,0.012167198,0.0,167617.45,0.0,0.0,0.0,2646.24,0.0,671.2953,0.4637267,0.0010102012
2.0,10.0,1072.3114,5184.881,159.98172,51.466675,0.0,0.0,2.545289,0.0,626294.5,0.0,166.57507,17.541603,0.0,10.544965,10822.478,0.9736088,0.7295627
2.0,20.0,1833.9886,14325.374,709.59125,578.2264,0.0,0.25050402,53.67791,5.6824055,151704.38,827.7657,1525.4304,429.2352,0.0,21674.863,3149.5051,0.096841775,0.94357646
2.0,30.0,74.42043,2022.2133,49.30976,1753.8329,1016.3535,126.62297,102.95338,950.29114,0.0,845.31793,2874.0125,1902.3425,0.0,9622.73,0.0,0.0,0.0
2.0,40.0,0.0,100.336784,86.46595,0.0,847.17303,90.13783,86.61154,2939.598,0.0,1355.8446,8192.029,2414.2966,0.0,0.0,0.0,0.0,0.0
2.0,50.0,0.0,0.0,55.246822,0.0,604.26074,75.35223,116.2566,0.0,0.0,2022.2174,8481.39,0.0,0.0,0.0,0.0,0.0,0.0
2.0,60.0,0.0,0.0,0.0,0.0,968.65405,52.61017,112.48879,0.0,0.0,2236.4075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,1322.6422,74.3484,110.42458,0.0,0.0,135.93141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,2063.394,49.88852,97.0902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,3182.579,35.478485,89.39368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
