"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,1.3675057664556305,6.053811233541923,0.2978648852614641,0.0,0.002171371113446086,9.779330699957608E-4,0.11550135077304645,5.231325693140898E-4,5.342871614546009E-4,0.0,0.0,0.03983294210511342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.023529505567015E-4,0.0,0.0,7.342985634328422E-4,
2.0,1.3802696954374563,12.572011173346343,0.2208957697638697,0.0,0.02621459698303431,0.0013599507930475952,0.09601493405406107,5.176547479395338E-4,5.343031640534111E-4,0.0,0.0,0.0456545149812111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.611567169819304E-4,0.0,0.0,4.0517770481943085E-4,
3.0,1.3045024158996095,11.831008084235462,0.20685120767271128,0.0,0.2666684592606177,8.279684327569534E-4,0.09498992889622876,5.199088317791728E-4,5.342831172898646E-4,0.0,0.0,0.04233356830358833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2761180104634606E-4,0.0,0.0,5.284757465123206E-4,
4.0,1.1774632825974856,12.981751388772222,0.20123317023049475,0.0,0.030824576449191135,0.0030174987845140045,0.09332184011029336,5.129746793688515E-4,5.342696529682975E-4,0.0,0.0,0.05159634622970879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.211752144415033E-4,0.0,0.0,4.3702898173421465E-4,
5.0,1.2541667355235504,12.153939665793398,0.20536203860480867,0.0,0.2191362765348987,0.006069513828658359,0.09431731558587664,5.187144429226836E-4,5.34267034029127E-4,0.0,0.0,0.052264768068296136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.279269501848089E-4,0.0,0.0,4.395138503365556E-4,
6.0,1.14350375154808,11.76208571291923,0.20241792955314203,0.0,0.10391125875211836,0.025151060580952643,0.09285895966951997,5.1639715039625E-4,5.342347250775269E-4,0.0,0.0,0.05132813510180751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.184660111293689E-4,0.0,0.0,3.650155328582192E-4,
7.0,1.1514450174126232,12.715705032131757,0.1805567989699294,0.0,0.06708083129154327,0.010954762595016087,0.09295498207346851,5.172670826929673E-4,5.3424221994321E-4,0.0,0.0,0.0656803185779253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.634375613931848E-4,0.0,0.0,9.322918787629357E-5,
8.0,1.2184072164503408,13.010622216263288,0.1723778044063494,0.0,0.2542460452432516,0.033663306779277695,0.09383925307703551,5.219153559490081E-4,5.342469096950588E-4,0.0,0.0,0.06167296765225657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.229592692147131E-4,0.0,0.0,5.9334484888080423E-5,
9.0,1.2274307106694835,13.155101951573894,0.1295025631620463,0.0,0.08071938964016849,0.01562136295318215,0.0939612116105738,5.152361267529979E-4,5.342414396040632E-4,0.0,0.0,0.0673668385937228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.804731171083112E-4,0.0,0.0,2.812469640894471E-5,
10.0,1.2758577523054933,12.462126961209425,0.13138091317798808,0.0,0.30417058095139304,0.019857009228580566,0.09460763266882179,5.242855742957268E-4,5.342481792598756E-4,0.0,0.0,0.10808296630424905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010917471343863546,0.0,0.0,0.0,
11.0,1.3301029594312028,13.939896520305153,0.1344022198509186,0.0,0.16893303777362423,0.0133774921248362,0.09533485711781405,5.129062620033572E-4,5.342532635044897E-4,0.0,0.0,0.07945964526565717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.026226794510822E-4,0.0,0.0,7.712235729890069E-8,
12.0,1.2253713701359532,12.40310183881966,0.13463094460838773,0.0,0.09563225849752871,0.027458394006583,0.0939317119142422,5.147254761494926E-4,5.342442552846004E-4,0.0,0.0,0.0694001417346475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.010115326732072E-4,0.0,0.0,3.641479075846201E-7,
13.0,1.1859488458527516,11.766045926541477,0.17185213377050926,0.0,0.13145691086735528,0.012402461232624633,0.09341872314436961,5.159870184631295E-4,5.342393212843139E-4,0.0,0.0,0.0696795383529906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.038337207372786E-4,0.0,0.0,5.0574907604328614E-5,
