"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.017330529702035982,6.588467629831932,0.2912365279483525,0.0,0.0,0.0,5.400059089875391,5.827881837278735E-4,6.089031315857627E-4,0.0,0.0,0.09991311292134722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010092233628418916,0.0,0.0,0.0012326442365529328,
2.0,4.160473791353396E-4,8.138179493925552,0.07956065164815196,0.0,0.0,0.0,10.797025376148818,5.679402349191327E-4,6.088888458672441E-4,0.0,0.0,0.1557934421798966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015736711331302698,0.0,0.0,9.376014809527509E-4,
3.0,1.553549153731033E-7,6.090206203509762,0.07918877419711688,0.0,0.0,0.0,13.718102502582738,5.147557204541799E-4,6.088949783797438E-4,0.0,0.0,0.16379025552269774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016544470254817956,0.0,0.0,0.0014339292852476135,
4.0,1.1668824579380547E-6,14.490808890560375,0.08457037496869521,0.0,0.0,0.0,12.350577549667662,5.173008646173221E-4,6.089061551713014E-4,0.0,0.0,0.1855183427806675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018739226543501763,0.0,0.0,0.002198923935846032,
5.0,4.50898354281785E-6,14.080486545911853,0.09166327990268837,0.0,0.0,0.0,12.009974697134725,5.200580128757723E-4,6.0892314080702E-4,0.0,0.0,0.1710242354795485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017275175300964492,0.0,0.0,0.003733723036092862,
6.0,0.15612497415301987,18.03386894761017,0.10109984276579134,0.0,0.0,0.0,4.979737488224171,5.324555143302274E-4,6.089759592303884E-4,0.0,0.0,0.27070746618069375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027344188503100374,0.0,0.0,0.007899767232320033,
7.0,0.30518131578714175,14.337458460091694,0.18361585213379394,0.0,4.881138424953412E-4,0.005305195756990597,3.0095221052300913,5.470711438791673E-4,6.089598092966806E-4,0.0,0.0,0.2689382224735333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002716547701752862,0.0,0.0,0.006744726279160851,
8.0,0.17732412254041452,15.090525301620747,0.0687636332554809,0.0,0.004496489753642771,0.004825668531908359,3.5360225452331995,5.465365423093857E-4,6.094200605410153E-4,0.0,0.0,0.2763718774851767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027916351261128955,0.0,0.0,0.04137338651055589,
9.0,0.040805418603291815,10.340456533357374,0.07262309077542112,0.0,0.0,0.019802725135969163,5.848334677062604,5.642705930435426E-4,6.089588725924527E-4,0.0,0.0,0.18474550240645296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018661161859237674,0.0,0.0,0.0054515240721793425,
10.0,2.3299731901284857E-5,11.098640895885806,0.06261094383914842,0.0,0.0,0.018640194714868538,11.415080711692417,5.64524615224503E-4,6.088739726713941E-4,0.0,0.0,0.2523939420711098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002549433758294039,0.0,0.0,0.0,
