"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,3.6500983183810534,4.16564785588773,0.34240971365072403,0.0,1.1836050187408265,0.0651521055491045,0.38080316260565156,0.010973069545931906,0.010993825735966004,0.0,0.0,0.012602345905777178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.272964232906786E-4,0.0,0.029211768205396494,0.2745949736430126,
2.0,5.455147386695538,7.552200169987197,0.14837419417770664,0.0,0.9341942740537512,0.15408975288483998,0.39661822211257697,0.010992416304482723,0.011731721294671586,0.0,0.0,0.013501191724948701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3637567398938082E-4,0.0,0.039419328604120896,3.415810345518744,
3.0,4.964855785534756,7.905601442546027,0.17010442957219948,0.0,0.7766167093513878,0.14579077663796833,0.3922098100338318,0.011011261222140918,0.011720173725391539,0.0,0.0,0.0172881542701264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.746278209103676E-4,0.0,0.052694981079117055,3.3707996474267174,
4.0,5.321178980124605,7.978008702976768,0.1793872613473241,0.0,0.7873669701502943,0.14611423690097244,0.39542051419118524,0.011014157022319731,0.011695907986033453,0.0,0.0,0.01110484393647931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1217014077251836E-4,0.0,0.05179368876955818,3.2684704321642575,
5.0,5.3944247047915574,7.82492561182461,0.21446840616355142,0.0,0.7965051896724076,0.14072703716496054,0.39605772373007225,0.011008504725623997,0.01170736702098577,0.0,0.0,0.026121281519731105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.638513284821325E-4,0.0,0.046604367517430405,3.313786230851772,
6.0,5.02040195319503,8.078552363827193,0.23853228540119167,0.0,0.780014939191239,0.1413293215086508,0.3926977742296653,0.011018282943452135,0.011703949898763976,0.0,0.0,0.03230977034870953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2636131665363165E-4,0.0,0.04928118578002062,3.298112907670997,
7.0,5.177428482199254,7.899937552064277,0.2499342071070558,0.0,0.8121470297530805,0.14093404991384387,0.3941104400049276,0.011014657948990068,0.011709312148709192,0.0,0.0,0.017240730933528143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7414879730836497E-4,0.0,0.04640870325300185,3.3217176975093525,
8.0,5.392144654140124,7.9512681992963135,0.3006247089633759,0.0,0.7745252257359283,0.13748854549943454,0.3960474421650835,0.011014463255287947,0.011681938595751607,0.0,0.0,0.012378822668537251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2503861281350752E-4,0.0,0.05038797461030092,3.204002465663697,
9.0,5.0198356995984135,8.016780989429181,0.3551667705049457,0.0,0.7693179194481411,0.12960242730026791,0.39270607626822973,0.011015460828498703,0.011681345211782105,0.0,0.0,0.01723995312685845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.741409406753378E-4,0.0,0.04760780101604057,3.1963874324593107,
10.0,5.064615879094819,7.799516788540135,0.4214229589384879,0.0,0.7765542558971226,0.12703315898365397,0.3931117123899753,0.011005341742345751,0.011692542517617914,0.0,0.0,0.01725415650350767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7428440912634004E-4,0.0,0.0414796584930744,3.2400420306883593,
