"Mean biomass (tons), excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,1550.5208,9026.138,206.70583,2228.07,23589.041,447.29965,650.9992,2109.258,121080.06,5375.5195,17233.95,3199.4255,7359.707,108982.85,16701.527,0.796497,0.67307013
2.0,1866.4617,29549.434,291.11917,2315.6953,25157.412,500.98572,779.608,2740.1035,220794.56,4741.412,20557.273,3676.9475,17678.16,463294.62,11146.887,1.1830397,1.3889662
3.0,2008.8004,14099.003,445.16666,2402.178,27659.31,566.9663,1083.869,2481.5718,187736.94,4617.982,23106.523,3991.5642,21837.111,1052068.8,11296.445,1.3339914,1.6530858
4.0,2345.041,8966.274,605.7023,2353.8682,30973.578,627.54474,1441.8049,1956.9675,153014.12,4502.063,25254.377,3991.501,15346.152,1119913.4,13136.441,1.513952,0.0
5.0,2685.6555,7791.7954,753.779,2196.202,35159.906,669.78674,1529.3645,1499.8416,154663.38,4353.3184,27238.64,3724.5562,20146.244,992547.75,14125.109,1.6814142,0.0
6.0,2885.1807,6900.004,1009.4302,2032.4805,40399.66,688.5831,1618.2322,1172.2505,147683.64,4171.7134,28682.133,3351.1184,17403.957,1254115.0,14104.473,1.8173287,0.0
7.0,3135.2004,10487.55,1323.0652,1834.553,46475.04,690.0437,2003.4163,885.7825,135815.27,3949.4158,30149.121,2870.9531,12586.905,1341420.4,13658.927,1.8887508,0.0
8.0,3447.2292,7500.361,1650.8777,1610.4159,53169.0,672.1203,2164.565,666.5443,129842.445,3715.7292,32062.77,2397.9373,10768.287,1443381.2,11705.32,1.8749557,0.0
9.0,3251.5796,7997.8975,1877.3586,1406.2332,60668.953,639.63446,2196.506,523.8744,131751.53,3502.7803,33378.5,2467.2395,9397.436,1290068.9,10535.534,1.8140234,0.0
10.0,3351.0806,11822.03,2458.716,1238.724,69172.516,597.6182,1860.1813,446.98685,130699.33,3256.087,34486.387,3239.2405,16084.766,1306158.0,9675.022,1.7221061,0.0
11.0,3247.5166,9605.399,3298.2195,1118.372,79207.414,540.94025,994.3682,411.84116,129266.05,3049.3284,35259.035,4334.233,10403.422,1317991.9,7797.777,1.5845758,0.0
12.0,3159.0437,9975.901,5079.588,1035.5529,91071.4,480.22012,649.2862,384.0276,128922.18,2844.219,35937.734,5198.038,10257.259,1328243.9,2031.2393,1.4690809,0.0
13.0,3281.002,10788.932,6242.384,959.59015,104492.0,390.3155,680.72003,351.6955,125673.06,2619.7817,35073.07,5504.9165,12830.041,1501145.9,1438.5275,1.3841856,0.0
14.0,3068.3396,11547.293,6048.3335,884.80237,120372.1,284.4521,497.6995,311.27484,121310.31,2411.944,30971.65,5128.965,13872.283,1503261.0,744.8413,1.3041788,0.0
15.0,2711.4304,7800.7915,5532.646,809.0892,139450.86,199.8673,368.3317,265.3777,117391.95,2227.0095,29649.102,5061.893,12981.763,1328487.5,549.2699,1.2512307,0.0
16.0,3322.9197,7650.54,5971.1245,720.4745,161986.94,147.64073,372.3313,215.87686,117735.53,2049.9834,27518.422,4896.6562,10100.777,1280693.2,519.9904,1.1646994,0.0
17.0,2962.7712,7274.488,6245.4165,615.85614,188410.55,109.160835,375.4448,110.40396,114554.68,1902.9108,24418.861,4854.181,10545.112,1430465.4,527.76996,0.7976487,0.0
18.0,3610.0032,6513.295,6879.284,483.60974,219048.84,77.62136,390.76526,84.49541,105369.664,1832.7769,20547.344,4845.1113,10523.525,1555697.0,160.56793,0.8444971,0.0
19.0,3111.6162,5668.4097,3942.965,283.6504,254680.33,54.114735,403.34143,74.97047,98351.0,1771.831,16580.5,3225.46,11626.517,1524894.5,153.56708,0.8801289,0.0
20.0,3123.529,6636.0625,4362.309,71.56444,294946.47,37.894646,390.40338,66.46503,93686.03,1678.1847,13175.498,2090.2542,9563.046,1449744.4,426.88882,0.8984528,0.0
