"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,4.8364463,0.0026496453,1.5104709,7.655629E-4,0.0,0.0,7.732959E-6,0.0
1.0,2.0,0.30319375,0.0014667063,0.18417667,0.041518856,0.0,0.0,4.1938238E-4,0.0
1.0,4.0,0.23726244,0.0011941957,0.18066084,0.040607847,0.0,0.0,4.1018025E-4,0.0
1.0,6.0,0.20401658,7.025899E-4,0.18000391,0.040100582,0.0,0.0,4.050564E-4,0.0
1.0,8.0,0.18946393,0.0,0.17890787,0.039779827,0.0,0.0,4.0181642E-4,0.0
1.0,10.0,0.19479193,2.766575E-4,0.17891648,0.040155746,0.0,0.0,4.056136E-4,0.0
1.0,12.0,0.18072069,7.726024E-4,0.17885311,0.04092285,0.0,0.0,4.133621E-4,0.0
1.0,14.0,0.17618056,0.0,0.1902097,0.042885866,0.0,0.0,4.3319058E-4,0.9946091
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,10.267068,3.475443E-5,1.4835652,0.0010110529,0.0,0.0,1.0212656E-5,0.0
2.0,2.0,0.21564405,7.5835746E-4,0.17964162,0.04582596,0.0,0.0,4.6288845E-4,0.0
2.0,4.0,0.1563215,0.0013096123,0.18197568,0.046474323,0.0,0.0,4.694376E-4,0.0
2.0,6.0,0.13401203,1.1529211E-5,0.18000941,0.045881707,0.0,0.0,4.6345158E-4,0.0
2.0,8.0,0.11532083,9.4728917E-4,0.17950751,0.045987375,0.0,0.0,4.6451893E-4,0.0
2.0,10.0,0.12250656,7.472923E-4,0.17889056,0.046324626,0.0,0.0,4.6792554E-4,0.0
2.0,12.0,0.13846299,2.7256354E-4,0.17876314,0.044498406,0.0,0.0,4.4947886E-4,0.0
2.0,14.0,0.13172452,0.0,0.19054551,0.048764408,0.0,0.0,4.9256976E-4,1.0106353
