"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,11.638961,11.4227,10.961412,17.761963,71.619225,35.553665,22.056097,30.58135,5.6779804,30.405157,28.190285,24.652138,5.5378904,14.670687,6.50206,7.3244457,13.948132
2.0,11.225103,17.889515,24.303894,27.756647,58.23931,42.33166,36.925926,39.31885,13.146758,36.46576,26.90351,33.13787,5.0655317,15.916185,10.082923,10.398531,19.731638
3.0,11.207016,14.491123,34.202602,24.85653,53.32103,48.165504,48.8433,44.393238,13.430011,39.883076,30.256376,37.470272,4.979469,11.095013,15.613283,13.054213,24.923862
4.0,9.881016,15.886038,16.48464,32.48847,52.461365,53.148556,58.67231,46.667328,13.288056,41.963493,31.935488,32.94373,4.7749147,15.616824,5.9580426,15.242122,NaN
5.0,9.923078,15.682315,20.575798,38.086597,52.844498,57.254906,66.95468,47.721207,13.533151,43.312088,31.82402,33.41867,5.025566,17.98653,5.256617,15.982241,NaN
6.0,9.133174,13.461442,21.772303,39.533974,53.478188,60.628838,74.85073,48.249973,13.651712,44.117474,31.270494,36.445187,4.888769,13.167211,5.205132,15.804074,NaN
7.0,9.383943,15.63221,30.604836,41.059757,54.50449,63.454517,81.74858,48.516598,13.680513,44.64514,31.272343,36.54918,5.125186,14.004612,4.3869023,17.33986,NaN
8.0,9.66469,15.739705,29.296595,38.707035,55.72811,65.77679,87.874084,48.702396,13.578895,45.12321,32.033283,31.906528,5.2354617,12.378352,7.145589,18.119701,NaN
9.0,8.920957,14.332807,18.100924,43.98681,56.919743,67.69499,93.64923,48.880524,13.608274,45.422,33.21693,20.102509,5.090859,16.206833,5.0861597,17.875933,NaN
10.0,8.887835,16.254583,19.784063,38.270355,57.913143,69.269554,98.66519,49.02007,13.612877,45.51675,33.26972,28.770987,5.081378,14.170607,5.7552814,17.297094,NaN
11.0,9.481368,14.570408,27.928339,38.72466,58.86307,70.54207,102.98455,49.220528,13.875208,45.499294,33.708397,29.58756,5.1276484,15.61782,4.3882656,17.357718,NaN
12.0,10.710836,13.559827,25.32663,46.645557,59.77766,71.569336,107.29883,49.380363,13.885335,45.29644,32.634186,29.798523,5.365098,15.128719,4.0917516,15.21132,NaN
13.0,9.250131,14.844485,20.884756,35.86621,60.047733,72.46033,111.14166,49.511787,13.5872965,45.12451,32.827915,34.996616,5.179087,11.294583,5.7185016,14.356028,NaN
14.0,10.422701,15.665647,16.625488,38.330723,59.107124,73.23671,114.29556,49.65457,13.516996,44.9982,33.29065,33.16964,4.9810753,11.69761,7.5776057,14.00692,NaN
15.0,10.916454,15.496506,18.509504,44.555897,57.833534,73.87849,117.450226,49.75011,13.733484,44.95877,34.656715,38.05179,4.983698,15.285137,4.805516,13.4925585,NaN
16.0,9.513591,16.756035,23.233103,45.777634,57.198437,74.406555,120.30733,49.806778,13.993896,45.104725,35.565598,34.897686,5.171463,15.572722,6.4759083,14.303364,NaN
17.0,10.150875,16.509346,22.855099,48.088577,57.036358,74.83759,122.943,49.16677,13.730146,45.507595,36.791965,35.19147,5.333097,11.874664,7.55424,14.077519,NaN
18.0,9.269822,16.932997,19.793596,48.929558,57.215317,75.18149,125.34039,49.543793,14.032573,46.258804,37.27406,39.902054,4.9914966,10.658394,7.6629944,15.018609,NaN
19.0,9.372254,13.616369,19.80574,43.432915,57.697952,75.44743,127.52449,50.102192,14.441667,47.05277,40.236237,39.424515,5.2244925,10.955105,8.941296,14.984069,NaN
20.0,8.679501,15.951949,21.476114,47.68233,58.502136,75.68618,129.44528,50.410896,14.102665,47.84334,42.87265,40.41836,5.209666,11.838272,8.803039,13.956054,NaN
