"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,1.1888177,2.811887,1.489389,2.0939987,31.486177,35.60688,12.086216,2.857253,1.8673306,4.005897,19.534775,4.8199115,2.3082285,1.5407294,1.376595,2.4779782,2.351364
1.0,2.0,18.218922,33.515453,29.909737,19.747059,53.043633,52.793247,40.109894,38.205116,NaN,32.32277,32.2552,31.944065,NaN,34.626965,23.412552,12.43449,22.336746
1.0,4.0,24.063564,38.732445,39.251255,25.3972,65.34554,69.93706,62.560463,43.83978,NaN,46.133545,41.245277,39.517933,NaN,37.183487,27.477184,16.609188,NaN
1.0,6.0,27.203978,40.528748,46.304184,29.691902,75.306335,80.44546,79.88971,45.0893,NaN,54.82421,47.00418,42.53823,NaN,38.194286,29.01017,19.86644,NaN
1.0,8.0,28.95343,41.354008,50.395485,32.70911,83.40543,87.722565,94.34046,45.401913,NaN,60.851803,50.81563,43.859253,NaN,NaN,29.562641,22.658283,NaN
1.0,10.0,29.872604,41.712177,NaN,34.79262,90.08158,92.42984,105.880066,45.476128,NaN,64.92758,53.35568,44.433224,NaN,NaN,29.746534,24.862799,NaN
1.0,12.0,30.382883,41.86954,NaN,36.150494,95.50478,95.58271,115.35068,45.494102,NaN,67.73825,54.586353,44.690983,NaN,NaN,NaN,26.68777,NaN
1.0,14.0,30.627312,41.941776,NaN,37.05756,99.94422,97.71363,123.16807,45.49852,NaN,69.69957,NaN,NaN,NaN,NaN,NaN,28.180662,NaN
1.0,16.0,NaN,41.974007,NaN,37.66612,103.57984,99.14168,129.59549,45.499466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,18.0,NaN,NaN,NaN,38.073833,106.55137,100.08436,134.83913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,20.0,NaN,NaN,NaN,NaN,108.99562,100.71709,139.13765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,22.0,NaN,NaN,NaN,NaN,110.989845,101.139175,142.67522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,24.0,NaN,NaN,NaN,NaN,112.623245,101.4232,145.58412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,26.0,NaN,NaN,NaN,NaN,113.96104,101.60177,147.86308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,28.0,NaN,NaN,NaN,NaN,115.05507,101.736404,149.97365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,30.0,NaN,NaN,NaN,NaN,115.951614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,32.0,NaN,NaN,NaN,NaN,116.68545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,34.0,NaN,NaN,NaN,NaN,117.286095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,36.0,NaN,NaN,NaN,NaN,117.77825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,38.0,NaN,NaN,NaN,NaN,118.180855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,2.0762773,4.627423,1.7087518,2.7029526,33.8371,46.10911,2.0649447,4.9236484,3.5295544,6.8533783,22.867676,9.638726,2.5953214,2.0800898,2.4574714,5.3612723,4.0545335
2.0,2.0,15.439867,32.091316,32.65173,21.512325,52.138027,54.051334,46.445526,35.393944,NaN,30.062376,34.464924,32.170826,NaN,25.917425,20.719606,11.960246,NaN
2.0,4.0,21.978216,38.11036,38.645237,25.746515,65.035416,72.33706,64.91804,43.09109,NaN,44.82458,43.297173,40.114548,NaN,36.461052,26.944628,17.36554,NaN
2.0,6.0,26.608864,40.305912,44.678116,29.50875,75.110634,82.89299,82.782524,44.85917,NaN,53.67795,48.626736,42.898106,NaN,37.91888,28.838104,20.16278,NaN
2.0,8.0,28.586056,41.275127,49.98989,32.49725,83.24104,89.509514,96.86177,45.35676,NaN,60.474003,52.011795,44.052895,NaN,NaN,29.507923,22.891182,NaN
2.0,10.0,29.674961,41.679092,NaN,34.62134,89.93464,93.70451,108.197815,NaN,NaN,64.81634,54.199768,44.524376,NaN,NaN,29.72426,25.089588,NaN
2.0,12.0,30.278673,41.856667,NaN,36.05544,95.39381,96.46319,117.33799,NaN,NaN,67.69199,55.2504,44.73369,NaN,NaN,NaN,26.816385,NaN
2.0,14.0,30.552399,41.941044,NaN,36.99195,99.8513,98.317955,124.81206,NaN,NaN,69.67325,NaN,NaN,NaN,NaN,NaN,28.254435,NaN
2.0,16.0,NaN,NaN,NaN,37.62714,103.50233,99.558014,131.00066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,18.0,NaN,NaN,NaN,38.048676,106.49057,100.366516,136.0129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,20.0,NaN,NaN,NaN,NaN,108.9415,100.904274,140.11835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,22.0,NaN,NaN,NaN,NaN,110.94816,101.26933,143.48543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,24.0,NaN,NaN,NaN,NaN,112.58819,101.50782,146.2537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,26.0,NaN,NaN,NaN,NaN,113.93172,101.6682,148.53519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,28.0,NaN,NaN,NaN,NaN,115.03209,101.77865,150.39479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,30.0,NaN,NaN,NaN,NaN,115.93188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,32.0,NaN,NaN,NaN,NaN,116.66982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,34.0,NaN,NaN,NaN,NaN,117.27319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,36.0,NaN,NaN,NaN,NaN,117.767525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,38.0,NaN,NaN,NaN,NaN,118.172325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,0.0,3.0379553,9.714591,2.273279,6.3005776,35.783413,3.837756,2.6562412,2.798412,3.9729655,9.863453,15.173049,4.915612,2.9229581,2.1848037,4.018682,7.0167227,NaN
3.0,2.0,12.938675,23.239801,19.916529,12.379474,49.256695,60.210587,53.171516,26.350313,NaN,23.391039,37.298504,24.071354,NaN,9.544854,10.395247,10.61898,NaN
3.0,4.0,20.692492,35.232925,39.412666,26.211779,64.78264,73.11671,66.35458,NaN,NaN,43.735523,44.865543,40.586197,NaN,35.642166,26.245417,NaN,NaN
3.0,6.0,26.06315,NaN,42.7401,29.460304,74.888405,84.63686,84.999825,NaN,NaN,52.147343,50.187016,43.27434,NaN,37.548447,28.611437,NaN,NaN
3.0,8.0,28.124735,NaN,49.483242,32.48665,83.08796,91.003204,98.95149,NaN,NaN,59.851387,53.254807,44.259457,NaN,NaN,29.408201,NaN,NaN
3.0,10.0,29.470032,NaN,NaN,34.536198,89.76503,94.9639,110.32704,NaN,NaN,64.46369,55.128826,44.636845,NaN,NaN,29.699318,25.508131,NaN
3.0,12.0,30.13878,NaN,NaN,36.046535,95.27595,97.40539,119.25019,NaN,NaN,67.496956,55.999535,44.788128,NaN,NaN,NaN,27.289045,NaN
3.0,14.0,30.50012,NaN,NaN,36.980507,99.75382,98.970566,126.47914,NaN,NaN,69.54594,NaN,NaN,NaN,NaN,NaN,28.475176,NaN
