"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,1.2790524,2.3281002,1.5211393,1.4148983,31.444433,35.50583,9.439373,3.0686996,1.8594065,4.269575,19.131287,2.6928885,2.1164422,1.5581766,1.5704099,1.5460255,2.4287438
1.0,2.0,18.486134,33.240902,29.871208,19.553299,53.092117,52.122658,39.404606,38.167107,NaN,32.632282,32.08643,31.247887,NaN,34.693085,23.453371,12.251126,22.455917
1.0,4.0,24.151262,38.6846,39.054256,25.139603,65.38227,69.50547,62.065002,43.81885,NaN,46.301556,41.130043,39.264866,NaN,37.205124,27.490597,16.463741,NaN
1.0,6.0,27.259714,40.508766,46.156452,29.49065,75.334465,80.14256,79.466125,45.084015,NaN,54.96102,46.926273,42.429634,NaN,38.20421,29.015694,19.701748,NaN
1.0,8.0,28.980436,41.344273,50.304237,32.576458,83.42842,87.52104,94.00647,45.400726,NaN,60.957523,50.76316,43.814068,NaN,NaN,29.564499,22.506048,NaN
1.0,10.0,29.889261,41.707382,NaN,34.706676,90.10002,92.29694,105.60532,45.47574,NaN,65.00549,53.320263,44.413116,NaN,NaN,29.747784,24.740635,NaN
1.0,12.0,30.39109,41.867947,NaN,36.093166,95.51973,95.49203,115.12444,45.494,NaN,67.79122,54.549633,44.68195,NaN,NaN,NaN,26.59657,NaN
1.0,14.0,30.632435,41.940983,NaN,37.02015,99.956474,97.65176,122.97852,45.498486,NaN,69.737206,NaN,NaN,NaN,NaN,NaN,28.104643,NaN
1.0,16.0,NaN,41.973648,NaN,37.640064,103.58986,99.101135,129.44449,45.49965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,18.0,NaN,NaN,NaN,38.056343,106.55961,100.05697,134.71492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,20.0,NaN,NaN,NaN,NaN,109.00234,100.698944,139.0355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,22.0,NaN,NaN,NaN,NaN,110.99541,101.12691,142.59138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,24.0,NaN,NaN,NaN,NaN,112.62773,101.415054,145.51541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,26.0,NaN,NaN,NaN,NaN,113.96473,101.59731,147.7809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,28.0,NaN,NaN,NaN,NaN,115.058105,101.73337,149.85231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,30.0,NaN,NaN,NaN,NaN,115.9541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,32.0,NaN,NaN,NaN,NaN,116.68746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,34.0,NaN,NaN,NaN,NaN,117.287766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,36.0,NaN,NaN,NaN,NaN,117.77962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
