"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,234.05342,2486.055,13.530607,31.124397,19.562017,81.96446,39.202408,73.418076,111.136375,366.74377,53.835552,511.87384,845.93256,239.28032,103.27769,0.0,0.0
2.0,61.402103,18.898558,1.6215363,4.0637074,15.205432,129.74127,40.023136,2.1779382,174.33891,84.2225,96.76145,257.35712,58.35747,147.58978,16.02441,0.0,0.0
3.0,11.271503,5.6540627,0.45549768,0.24979806,12.402752,158.0859,57.91645,2.6128306,161.25024,18.312012,134.39949,12.825163,17.51893,88.99081,0.58229345,0.0,0.0
4.0,0.9969843,0.057459265,0.04062772,0.0074960045,6.292797,188.74034,57.272987,0.28061858,65.3155,3.115059,131.29973,720.06934,40.90746,28.46654,0.0048138574,0.0,0.0
5.0,1.9459952,0.0,0.0,6.2208266E-5,7.128345,255.79965,69.12986,0.69149244,128.67442,0.29989523,157.99596,332.95316,26.043837,14.462841,8.17535E-6,0.0,0.0
6.0,1.7088512,0.022428727,0.0,7.8178746E-5,5.228742,170.48523,77.18072,0.34964,181.23653,0.018626926,103.11639,292.6714,12.141383,28.504036,0.0,0.0,0.0
7.0,1.5956634,0.13118272,0.0,0.029455785,5.7125945,139.03455,51.605076,0.34893933,89.84635,0.62780964,162.32555,293.68842,14.7162895,31.538286,0.10079278,0.0,0.0
8.0,1.6918557,0.47762123,0.0,0.04680998,6.61838,78.353905,57.413815,0.18940865,69.05392,1.8611884,87.86003,316.99298,7.708203,38.707485,0.08860266,0.0,0.0
9.0,2.0071552,0.15872274,1.6574736,0.25448716,4.9866295,70.90838,58.162327,0.55197215,106.76856,6.8145027,111.0274,244.21434,14.941498,26.904408,0.01437228,0.0,0.0
10.0,2.4618783,0.0703729,1.4860159,0.18553081,5.744968,50.837418,53.27593,0.07515248,138.77563,5.5175066,133.98698,686.46124,11.275324,40.491737,0.0148174595,0.0,0.0
11.0,1.8747115,0.27178603,2.888505,0.20845574,3.9248817,46.78204,69.18122,0.094347306,96.1872,2.7034128,127.25321,682.11005,9.419206,42.544712,0.013538447,0.0,0.0
12.0,1.3833104,0.17282759,8.181752,0.91046774,5.8104897,35.562435,40.07974,0.11128154,110.034996,3.051557,112.234955,559.322,21.308935,26.141743,0.0038024967,0.0,0.0
13.0,1.8084335,0.20470457,8.121803,1.2998847,5.816018,26.446165,48.079754,0.09193052,91.26847,4.286869,87.72056,512.9336,16.309917,26.352839,0.0014678419,0.0,0.0
14.0,1.7105852,0.5869099,6.611952,1.5949003,5.1206436,27.607801,40.822727,0.114332266,59.1497,4.7160687,61.10387,369.0602,18.659729,23.693268,0.0036286584,0.0,0.0
15.0,1.1300434,0.61810607,2.9346917,1.2505045,7.3422427,15.713525,38.852543,0.43533227,114.05415,4.675311,112.80775,239.48094,77.42775,48.94818,0.0070369355,0.0,0.0
16.0,0.6521681,0.546965,1.6853198,1.230826,4.9270377,10.306339,26.485876,0.23472086,126.430214,4.249655,89.60965,338.80884,42.06516,26.876669,0.02598074,0.0,0.0
17.0,0.85319215,0.20584977,3.7560365,0.7270006,6.1374836,9.563083,37.788853,0.19178285,141.20578,3.0218701,135.351,235.15973,36.20249,24.83536,0.015567843,0.0,0.0
18.0,0.5477866,0.24240069,3.217745,0.5362492,4.963544,8.040647,20.916193,0.12087367,96.64468,3.2632093,91.6354,84.27698,84.86675,16.845884,0.0044306363,0.0,0.0
19.0,0.5199402,0.18270953,2.851407,0.3156536,3.9042988,5.545101,24.855522,0.2218482,97.51165,2.7716582,80.58732,54.376713,54.563892,39.21936,9.082997E-4,0.0,0.0
20.0,0.31567347,0.0368755,1.5161909,0.67212427,7.4120727,3.9162164,16.671415,0.2906912,72.67697,2.1370897,82.786934,44.803005,101.331955,29.871973,2.590117E-4,0.0,0.0
