"Distribution of fish species biomass (tonne) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,5178.8247,2298.3118,18.250742,50.377705,0.0,0.0,0.16851056,833.24457,255956.86,32.823498,0.0,168.86139,115781.75,56061.98,45986.98,2.6043258,0.28786346
1.0,10.0,26478.58,1276.1677,2.309723,104.839935,0.0,9.192494E-5,0.87431085,1440.0685,143924.47,1285.7014,224.26567,99.496284,0.0,48926.54,4281.034,0.33179015,0.11352429
1.0,20.0,10989.01,8322.683,9.328598,544.32104,0.0,108.43147,16.541903,260.88217,2303.251,1135.8568,1989.8872,240.32664,0.0,11277.848,4017.1633,1.1415988,0.23104422
1.0,30.0,256.16013,4553.693,35.32107,555.89355,520.1332,752.8181,56.541206,134.18956,0.0,700.7074,3663.5193,537.60706,0.0,8173.6455,0.0,0.0,0.0
1.0,40.0,0.0,154.00122,38.58628,0.0,282.78442,892.31946,64.835884,83.34479,0.0,722.6225,7426.893,939.6716,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,8.337667,0.0,402.4665,557.0638,69.84502,0.0,0.0,775.7225,6076.0273,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,606.1093,542.5914,80.619644,0.0,0.0,711.34064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,970.0422,526.4337,82.20051,0.0,0.0,30.875565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,1519.9192,409.73373,70.22853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,2605.2095,233.79192,77.492836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,4893.3125,15.390497,70.68174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,11078.586,0.0,62.361687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,52.00123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,32.336494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8404474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,22372.309,1804.152,27.890718,537.69415,0.0,0.0,2.635696E-4,26.92099,163257.45,223.13635,0.0,501.34848,18197.518,498721.16,33442.223,15.686582,0.006604252
2.0,10.0,18090.682,15209.561,40.192486,151.85765,0.0,0.0,0.0,2671.384,298797.66,6140.898,18.859074,5331.524,0.0,406653.22,19946.463,0.0046245772,1.4864489E-4
2.0,20.0,2664.979,7304.2036,0.7189911,134.12337,0.0,0.0,0.11095151,2330.9138,606.1053,2659.2134,1089.0646,107.25131,0.0,6727.7085,569.1557,0.14350708,1.9499789E-4
2.0,30.0,21.16366,1135.8596,21.961796,133.24483,1569.5577,0.0,10.454717,6.4155555,0.0,583.28625,4823.7397,81.45919,0.0,1765.396,0.0,0.0,0.0
2.0,40.0,0.0,0.31565177,15.217358,0.0,1278.4767,1336.806,82.08077,0.21249509,0.0,275.72934,8364.951,198.92152,0.0,0.0,0.0,0.0,0.0
2.0,50.0,0.0,0.0,0.8522188,0.0,427.4242,2553.634,108.703,0.0,0.0,187.64551,8340.229,0.0,0.0,0.0,0.0,0.0,0.0
2.0,60.0,0.0,0.0,0.0,0.0,608.6387,923.5232,119.90207,0.0,0.0,214.25218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,929.65424,863.95844,129.49155,0.0,0.0,11.882258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,1462.0398,705.07306,128.8274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,2443.7349,362.60043,98.15452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,4613.2563,22.473526,97.21393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,10318.789,0.0,88.068054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,68.422646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,55.628563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
