"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.495777122965081,10.523093936662598,1.557104071262929,0.0,0.5953625013677128,1.0750355863213528,1.2321391956995218,1.586012251720785E-4,1.98023561545197E-4,0.0,0.0,0.014130207973468874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4272937346938264E-4,0.0,0.0,0.2416160755846403,
2.0,0.33867108993772777,5.315006618731063,3.7161561778574996,0.0,1.2688047239451608,0.3520281153759116,1.1019016674263296,1.903250243415937E-4,1.992135948027446E-4,0.0,0.0,0.023143135669328917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3376904716493848E-4,0.0,0.0,1.2292868322313388,
3.0,0.2092005462776679,6.737241425128549,3.4335849329077153,0.0,0.3163267172479869,0.14935708375688084,1.0815788711700172,1.8592170578513013E-4,1.9493675323679492E-4,0.0,0.0,0.014797746564884312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4947218752408396E-4,0.0,0.0,0.24344900957242394,
4.0,0.11269883819736147,4.8459527071409525,2.5923309481146224,0.0,0.2898282231634026,0.1806488096599377,1.0667163631090544,1.91328639760591E-4,1.9640801478413707E-4,0.0,0.0,0.01402649097448772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4168172701502747E-4,0.0,0.0,0.02629103325273196,
5.0,0.12590484543496758,5.090431497979873,2.8900936410954126,0.0,0.42812064233412744,0.19350448774816362,1.0687838108142576,1.9196896341936551E-4,1.968189412023406E-4,0.0,0.0,0.007916117083180541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.996077861798526E-5,0.0,0.0,0.15261264494733615,
6.0,0.1563788145163989,5.103357471336986,3.4860117967331856,0.0,0.5024080217289125,0.254358454882187,1.0734892492207873,1.9134735499954001E-4,1.9605938436047422E-4,0.0,0.0,0.004694998532096032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7424227596929596E-5,0.0,0.0,0.1435189496168249,
7.0,0.16069673637721943,5.985091811526078,3.6434178235037633,0.0,0.33300329518502236,0.20705756121703286,1.0740140710864707,1.8945681889926373E-4,1.956225985409262E-4,0.0,0.0,0.006799741110459822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.868425364100831E-5,0.0,0.0,0.13743974293243408,
8.0,0.15444037376962408,5.30993616007873,3.424536517628607,0.0,0.3396958516741972,0.17857896369767876,1.0730769749822462,1.907617831767652E-4,1.9608955021725147E-4,0.0,0.0,0.0036002418231162116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6366079021375866E-5,0.0,0.0,0.0913578136718834,
9.0,0.17184897297348348,5.9169979097592424,3.7884656884415087,0.0,0.3440370088130071,0.15856887755471483,1.0756995496025628,1.8939096678074867E-4,1.9569321921322462E-4,0.0,0.0,0.006639930387358369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70700039127108E-5,0.0,0.0,0.09502503940287423,
10.0,0.24996162542437683,5.599274971086815,3.696102493526803,0.0,0.3592751756610443,0.19968515056988387,1.0878466331848982,1.8993730416736002E-4,1.957529975915225E-4,0.0,0.0,0.005012284075706411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.062913207784256E-5,0.0,0.0,0.08517463314377445,
11.0,0.21218939580908713,6.120471346216008,3.5494076810075494,0.0,0.31519261667979975,0.1437861696666103,1.0820596199840733,1.8907716600002198E-4,1.9560146799100185E-4,0.0,0.0,0.004127781592161933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.169476355719125E-5,0.0,0.0,0.10887632908491425,
12.0,0.18386286933274124,5.900426606028645,3.583911364485293,0.0,0.3105583009101054,0.20180452743526622,1.0776219108961416,1.8962122776207407E-4,1.9573275701460744E-4,0.0,0.0,0.008486147808598061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.571866473331374E-5,0.0,0.0,0.11287724272465925,
13.0,0.17704222632992336,5.9578743857881316,3.5922006444741794,0.0,0.3026825735736908,0.1664938738823184,1.0765525768495452,1.8997823495405766E-4,1.961033808438725E-4,0.0,0.0,0.0070302545366892465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.101267208777015E-5,0.0,0.0,0.097548583117767,
14.0,0.1403883900751739,5.462082958814005,3.488376805097912,0.0,0.332686104148834,0.18063702347105595,1.0709385785610674,1.909014758245164E-4,1.9666786775155372E-4,0.0,0.0,0.00777779215214207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.856355709234414E-5,0.0,0.0,0.12946617137092245,
15.0,0.13802339396198463,5.937895512912648,3.3470405547781774,0.0,0.35600889133823893,0.20249928044284032,1.0705255017003423,1.9068986277486212E-4,1.9652440125312361E-4,0.0,0.0,0.031019412873512998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.133274027627576E-4,0.0,0.0,0.08986189348495513,
16.0,0.15406469241318144,6.1001927885993625,4.050177017302877,0.0,0.3228484485470481,0.17429119738227983,1.0730268886803787,1.901388761183612E-4,1.9578081054184116E-4,0.0,0.0,0.019266631936094063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9461244379893007E-4,0.0,0.0,0.14079470431547933,
17.0,0.14715588288712048,5.5941346449044955,3.5063095811248433,0.0,0.3424931208376991,0.1722585186003608,1.0719201104525036,1.9093146621765794E-4,1.9631614833369245E-4,0.0,0.0,0.01605162962018554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6213767293116708E-4,0.0,0.0,0.08414887357751313,
18.0,0.14013414881873235,5.398838195805342,3.3049914233966864,0.0,0.34604045522122623,0.16526306213412054,1.0709184299371866,1.9222101934060406E-4,1.969747121270295E-4,0.0,0.0,0.030075195262630906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0378985113768594E-4,0.0,0.0,0.1008612777958033,
19.0,0.13302395329166702,5.222838048949963,3.39930768151289,0.0,0.3864178845975551,0.15101612095946768,1.069793938597814,1.927448015366111E-4,1.9699170155945692E-4,0.0,0.0,0.01695784674279912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7129138124039514E-4,0.0,0.0,0.07774811923626754,
20.0,0.0995830448332856,4.983179985185385,3.2448104142509013,0.0,0.42239493709463216,0.15203795513287566,1.0647208347398778,1.9364352977334115E-4,1.971850169899099E-4,0.0,0.0,0.027370060054331485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.764652530740554E-4,0.0,0.0,0.06865899352687808,
