"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,2.6718390520916393,9.180956556320119,0.17502113908179218,0.0,0.008411388643135701,0.3230362865823608,0.37861116121724336,0.008301808286833936,0.009346262322601329,0.0,0.0,1.6488716926551743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016655269622779523,0.0,0.0,0.10162378032261304,
2.0,2.5816535103783815,7.760521086436337,0.44634342061962246,0.0,0.006993939567790993,0.39438756759819626,0.3551470094866495,0.008484609185725954,0.009175015528930214,0.0,0.0,1.8405043610749836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01859095314217155,0.0,0.0,0.060179607682319274,
3.0,1.8519225749277055,7.339179477964943,1.6451863355833705,0.0,0.01882024656588871,0.39801740950701475,0.34415752481573686,0.008491685688294991,0.008973723108061929,0.0,0.0,1.791001454097458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018090923778762202,0.0,0.0,6.933394395760479E-4,
4.0,0.5365233474552292,7.3001867913965475,1.8245443986967553,0.0,0.02088541230840239,0.38564456261440805,0.32500979780779016,0.008525911013761154,0.00885284487676536,0.0,0.0,1.6224315182125781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01638819715366241,0.0,0.0,0.0,
5.0,0.4724920491323163,7.801839554897155,0.7341261591613042,0.0,0.06818870877381866,0.42939645463755194,0.32407470696737334,0.008581825515068413,0.004130996062112442,0.0,0.0,0.04132646555898933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.174390460503973E-4,0.0,0.0,0.0,
6.0,0.55356383953499,7.685728740847693,0.0,0.0,0.2974119245691097,0.0,0.32520467507810946,0.008641422946439234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,0.7705729127274019,6.970018258432074,0.0,0.0,0.4668073387519382,0.0,0.3283010877231845,0.008746685762409308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,0.7120368267761641,6.844626528084806,0.0,0.0,0.505249495004106,0.0,0.32743366929219125,0.008766320694219065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,0.8235678482941383,7.36306748774558,0.3085440015299586,0.0,0.49180785662787363,0.3106136191077744,0.32903301629838855,0.008693803635150656,0.005437350531588865,0.0,0.0,1.5085038869583618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015237412999579411,0.0,0.0,0.0,
10.0,1.0157492908282164,6.62214570609676,0.5639624517997001,0.0,0.49388963909552264,0.7348175944931298,0.3317598910895699,0.00879441963914437,0.009331047373715323,0.0,0.0,2.0434691675360157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020641102702383993,0.0,0.0,0.0,
11.0,1.048011290690026,7.323588886492533,0.24529915002475955,0.0,0.517815970349661,0.5626791840428184,0.33234095359184956,0.008698094738460279,0.009329874069535223,0.0,0.0,2.250256201940188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022729860625658464,0.0,0.0,0.014749839168473538,
12.0,0.6602667580435996,7.931889994173387,0.48839344714097643,0.0,0.4562167246579052,0.33215632273439444,0.32669972271506625,0.008655132762406618,0.00933628399461179,0.0,0.0,0.9992307217852997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010093239613992928,0.0,3.529538298846165E-8,0.1092658271950393,
13.0,0.6912257083754667,7.419578708224509,0.24301582244412187,0.0,0.44828759771243987,0.45316291454784285,0.32714328977385937,0.00869046252580431,0.009361699542024848,0.0,0.0,1.7507463293467067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01768430635703744,0.0,0.0,0.1635382870766166,
14.0,0.6038695113788577,7.707505492438279,0.2830687773164923,0.0,0.36369265118848604,0.41526690081096485,0.3259248209540169,0.008669601604436092,0.009365898062891977,0.0,0.0,1.6983497901811864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017155048385668552,0.0,2.067026367409959E-7,0.18920312316882756,
15.0,0.6196946162713438,8.228273656823934,0.329741867967865,0.0,0.24105768130696995,0.5206650177906619,0.326137760173604,0.008644696061133897,0.009424412545890099,0.0,0.0,1.2602500277316562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01272979825991572,0.0,0.0,0.4884501404806464,
16.0,0.8984485015443291,7.932227663502775,0.21973895447584277,0.0,0.3018608426347164,0.4422742231840003,0.33017144731137865,0.008715299426634873,0.009394410991158512,0.0,0.0,0.9477431487097878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009573163118280685,0.0,2.8324946007092164E-7,0.3305024786632015,
17.0,0.7189019371716662,8.288527408254302,0.38508842204472193,0.0,0.28645412246247026,0.31246183859129,0.32757037384590554,0.008665396777151484,0.009517401364401339,0.0,0.0,1.0372472672694169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010477245123933505,0.0,1.0312338020432685E-7,0.9395883030999749,
18.0,0.5279450330248481,8.657281723806532,0.3131669379073616,0.0,0.15202828679043845,0.34857029887835106,0.32486732229262116,0.008680942224537741,0.009403327751935982,0.0,0.0,1.6033430069179422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016195383908262043,0.0,0.0,0.38655830500261873,
19.0,0.6438308207645667,8.663346900031488,0.40633847035939824,0.0,0.10061120853936875,0.5754381609691391,0.3265260476474432,0.00872970306657375,0.009403343265445877,0.0,0.0,1.1379742117426614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494689007501634,0.0,4.203192256029107E-6,0.3501693604744103,
20.0,0.6003247656677965,8.84277032323498,0.650293263662947,0.0,0.0273998546084134,0.5156851067934327,0.32587246692783217,0.008711570502373263,0.009359888583379697,0.0,0.0,1.1988305324359827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01210939931753518,0.0,0.0,0.15687017154320335,
