"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,3.722788718317097,1.4010158077855646,0.17938822508798,0.0,1.686085356978699,1.6591130657802693,0.09630033699944705,0.0018531718271216206,0.0018563049114832873,0.0,0.0,0.022371809913251946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2597787791163576E-4,0.0,0.0,6.011591044106146E-4,
2.0,3.281866705112972,2.2330518608229193,0.23128620438925818,0.0,1.8072910140650424,1.8556512625826775,0.09497468809620964,0.0018406735605852262,0.0018568325460407784,0.0,0.0,0.03350482449831084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.384325706900085E-4,0.0,0.0,2.4708455231870337E-4,
3.0,2.027407906410878,3.5130215015104698,0.22804512588557446,0.0,1.594597982601861,2.0680507773854715,0.09125204171567941,0.0018286400355689702,0.0018557170518697169,0.0,0.0,0.03937624481666494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9773984663297914E-4,0.0,0.0,3.997880708889026E-5,
4.0,0.9094237760955908,4.368233678398252,0.46889169974284034,0.0,1.562438591443706,1.9017171094445637,0.08800131721947586,0.0018179266263038763,0.0018557202205765836,0.0,0.0,0.040852118122293044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1264765780093995E-4,0.0,0.0,0.0,
5.0,0.9797946198129034,4.9970251547298385,0.5796320423986085,0.0,1.35159321197465,1.924448540364092,0.08819858248878852,0.001815957993799053,0.0018560475372070583,0.0,0.0,0.03621253795596841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.657832116764485E-4,0.0,0.0,0.0,
6.0,1.2314856358594677,4.554650612969341,0.4291456639593521,0.0,1.467249031976234,2.0153329107854847,0.08892357515350234,0.0018237105552760262,0.0018563544021264024,0.0,0.0,0.06323290669244326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.387162292165985E-4,0.0,0.0,0.0,
7.0,1.1704451947020897,4.638966195741736,0.3618548937519842,0.0,1.438536991220301,1.9914871509826466,0.08874426711575806,0.0018161748252354518,0.0018561935352561206,0.0,0.0,0.059412563107017896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.001269000708878E-4,0.0,0.0,0.0,
8.0,1.2188317251961394,4.1662897946474535,0.30206292191355094,0.0,1.4726246127593898,2.0658291289076582,0.0888832117858951,0.0018296373524307166,0.001856117916810654,0.0,0.0,0.05712280742870459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.769980548353999E-4,0.0,2.0875200953313102E-6,1.2505106942148924E-6,
9.0,1.2236258759495764,3.8016750539341633,0.29059947310476625,0.0,1.5691576782474344,1.9356832054837954,0.08889780969498402,0.0018326162314487523,0.0018560879932980007,0.0,0.0,0.04069725586961238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.110833926223473E-4,0.0,1.1354862943211104E-4,1.7088477388726572E-6,
10.0,1.4821853031493257,3.783902701353688,0.26627828620441224,0.0,1.5510118449649029,1.6947552254167635,0.08964526744413115,0.0018335853109501864,0.0018563890243969508,0.0,0.0,0.05166169098610868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.218352624859464E-4,0.0,3.673204776572745E-5,6.335039831129184E-5,
