"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.05485509975772482,0.137213902558579,0.0,0.0,0.0,0.0,0.0,0.09671059358757113,0.0967703299008966,0.0,0.0,0.002791805057491132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.820005108576901E-5,0.0,0.0,0.030596449234801093,
2.0,0.3017033680332182,0.2935084683953155,0.0,0.0,0.0,0.0,0.0,0.09670054068498045,0.09677079953004503,0.0,0.0,0.0023272633655678256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3507710763311373E-5,0.0,0.0,0.030783050724654478,
3.0,0.5857891007328732,0.46052714191592353,0.0,0.0,0.0,0.0,0.0,0.09666902706522164,0.09677126705271812,0.0,0.0,0.002036097737351564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.056664381163196E-5,0.0,0.0,0.031014648303682633,
4.0,0.42170540431702064,0.46429158900052747,0.0,0.0,0.0,0.0,0.0,0.09665817845646253,0.09677169333050127,0.0,0.0,0.00110510837517392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.116271086034262E-5,0.0,0.0,0.03122598851594644,
5.0,0.34771511674705896,0.355802664227161,0.0,0.0,0.0,0.0,0.0,0.09669446379751775,0.09677209665948001,0.0,0.0,0.0013372586311184622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3507662940590535E-5,0.0,0.0,0.03142580797001874,
6.0,0.1842853225675982,0.27903799957415676,0.0,0.0,0.0,0.0,0.0,0.09670678393452639,0.09677223979638369,0.0,0.0,0.0010464846556476322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0570552077248799E-5,0.0,0.0,0.031496549760979355,
7.0,0.1858462921046093,0.23019836148774867,0.0,0.0,0.0,0.0,0.0,0.09670857992073435,0.09677224934626627,0.0,0.0,0.0012210102198210427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2333436563848918E-5,0.0,0.0,0.03150133158249375,
8.0,0.13048882061695402,0.19443828473035057,0.0,0.0,0.0,0.0,0.0,0.09670932774029543,0.09677210445505556,0.0,0.0,0.001512698193770768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.527977973505829E-5,0.0,0.0,0.0314293984528738,
9.0,0.07614539878609579,0.15922065769386617,0.0,0.0,0.0,0.0,0.0,0.0967094296551486,0.09677191945575585,0.0,0.0,0.00122295193232495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2353049821464146E-5,0.0,0.0,0.03133815684245563,
10.0,0.07244535201013148,0.14023064653792774,0.0,0.0,0.0,0.0,0.0,0.09670936995177327,0.09677171448432398,0.0,0.0,0.0015115039236274074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5267716400276827E-5,0.0,0.0,0.03123652458874576,
11.0,0.04542961586098754,0.11550949858004517,0.0,0.0,0.0,0.0,0.0,0.09670957274521695,0.09677140587425041,0.0,0.0,0.001104433683731956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1155895795272284E-5,0.0,0.0,0.03108390745418214,
12.0,0.042816630922298295,0.09177279290747004,0.0,0.0,0.0,0.0,0.0,0.09670896164613128,0.0967710205309848,0.0,0.0,0.001745063164271646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7626900649208547E-5,0.0,0.0,0.03089264707982456,
13.0,0.033172732390878396,0.06805891233903083,8.618023931495037E-7,0.0,0.0,0.0,0.0,0.09670917632232431,0.09677062533628265,0.0,0.0,0.0018606582923359415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8794528205413538E-5,0.0,0.0,0.03069720713378738,
14.0,0.03348295780278738,0.05835545764996294,1.6334881068812004E-5,0.0,0.0,0.0,0.0,0.09670965148619344,0.0967703052421149,0.0,0.0,0.001745524775768025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7631563391596194E-5,0.0,0.0,0.030538644640721382,
15.0,0.04050659043650642,0.057493885540653884,3.102674666504026E-5,0.0,0.0,0.0,0.0,0.09670999817581752,0.09677017235312414,0.0,0.0,0.002672959212673356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999588006801568E-5,0.0,0.0,0.030472561014785925,
16.0,0.04279862985648551,0.05880181986350579,8.127916999411523E-5,0.0,0.0,0.0,0.0,0.09671047414952108,0.09677004532747287,0.0,0.0,0.0019196635502222784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9390540911336164E-5,0.0,0.0,0.030409928115510524,
17.0,0.049949803613497115,0.06451806292673515,1.9064470869250736E-4,0.0,0.0,0.0,0.0,0.09671120634493709,0.09677008130884822,0.0,0.0,0.0025564404113381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.582263041755657E-5,0.0,0.0,0.030427856314431068,
18.0,0.05966929622356746,0.07375681167511856,3.1513407382675554E-4,0.0,0.0,0.0,0.0,0.09671214715454422,0.09676996610360955,0.0,0.0,0.0022099586221651793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.232281436530485E-5,0.0,0.0,0.03037096954139267,
19.0,0.06348208353606691,0.0890970410289452,6.348868222654938E-4,0.0,0.0,0.0,0.0,0.09671389942598696,0.09676557740916858,0.0,0.0,0.0018038286980684834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8220491899681654E-5,0.0,0.0,0.028198493606181617,
20.0,0.07115777246861783,0.11750301712302239,0.002126390496326021,0.0,0.0,0.0,0.0,0.09671764440857407,0.0967458904475106,0.0,0.0,0.00244545087692661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4701524009359687E-5,0.0,0.0,0.018450788062676627,
