"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,0.11571541,0.0,69.27273,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.06674026,0.08889679,0.0057856627,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.011355089,0.060125753,0.005690541,0.0449692,0.0,0.0,4.5423437E-4,0.0
1.0,6.0,0.0041567055,0.029407386,0.0057273502,0.14852159,0.0,0.0,0.0015002181,0.0
1.0,8.0,0.0023590908,0.01284857,0.0056890077,0.14827964,0.0,0.0,0.0014977742,0.0
1.0,10.0,0.0014087367,0.029692134,0.005689704,0.14868668,0.0,0.0,0.0015018856,0.0
1.0,12.0,5.185862E-4,0.033083003,0.0056890068,0.14219868,0.0,0.0,0.0014363503,0.0
1.0,14.0,2.211463E-4,0.02449449,0.005677372,0.14697614,0.0,0.0,0.0014846075,0.0
1.0,16.0,1.7199859E-4,0.0070893513,0.005664869,0.1423031,0.0,0.0,0.001437405,0.0
1.0,18.0,2.0923093E-5,0.004638542,0.0056647253,0.1475236,0.0,0.0,0.0014901373,0.0
1.0,20.0,0.0,0.012782956,0.005663769,0.15205087,0.0,0.0,0.0015358673,0.0
1.0,22.0,0.0,0.008585341,0.0056623714,0.14731155,0.0,0.0,0.0014879955,0.0
1.0,24.0,0.0,0.006951554,0.0056599556,0.15015116,0.0,0.0,0.0015166784,0.0
1.0,26.0,0.0,0.0,0.005653052,0.15320715,0.0,0.0,0.001547547,0.0
1.0,28.0,0.0,0.00894753,0.0055773635,0.14577502,0.0,0.0,0.0014724749,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,10.062402,5.437622E-9,87.90223,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.06365002,0.31223372,0.006023226,0.0,0.0,0.0,0.0,0.0
2.0,4.0,0.011978942,0.15205772,0.0057246396,0.06719135,0.0,0.0,6.787005E-4,0.0
2.0,6.0,0.0060895635,0.08533529,0.005716875,0.14466836,0.0,0.0,0.0014612965,0.0
2.0,8.0,0.0033028245,0.046721194,0.0057009547,0.14826812,0.0,0.0,0.0014976579,0.0
2.0,10.0,0.0020660164,0.076218836,0.0056905313,0.14421277,0.0,0.0,0.0014566946,0.0
2.0,12.0,8.5053797E-4,0.08359427,0.0056929733,0.14360225,0.0,0.0,0.0014505278,0.0
2.0,14.0,2.4502436E-4,0.036015198,0.0056847874,0.14570577,0.0,0.0,0.0014717755,0.0
2.0,16.0,1.8269318E-4,0.034985013,0.005659849,0.14427269,0.0,0.0,0.0014572999,0.0
2.0,18.0,2.1531005E-5,0.05922369,0.005666707,0.14415507,0.0,0.0,0.0014561118,0.0
2.0,20.0,5.114883E-6,0.037578605,0.005667658,0.14412583,0.0,0.0,0.0014558164,0.0
2.0,22.0,0.0,0.020344127,0.00566922,0.14934222,0.0,0.0,0.0015085073,0.0
