"Distribution of cumulative catch (number of fish per time step of saving) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5879776E8,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820353.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,2290877.8,0.0,0.0,18849.23,0.0,0.0,0.0,0.0,68422.305,0.0,0.0,62699.58,0.0,602108.0,285230.44,0.0,0.0
1.0,30.0,23801.316,4968327.5,0.0,22009.684,0.0,0.0,0.0,62500.37,0.0,0.0,0.0,575913.7,0.0,181494.69,0.0,0.0,0.0
1.0,40.0,0.0,536870.75,7152.2827,0.0,0.0,0.0,1528.9928,25522.164,0.0,1231.381,32778.145,520942.47,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,1165.1388,0.0,0.0,0.0,1370.937,0.0,0.0,74999.3,35331.094,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.2509,0.0,0.0,43060.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,5934.4116,664.96875,0.0,0.0,1162.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,4244.7485,341.27237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,1680.8959,351.84747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,797.70807,90.798035,205.48338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,2547.4036,0.0,138.18884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,93.71213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,65.33126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,39.459396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9664805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4483148E7,0.0,0.0,0.0,0.0
2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1423320.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,808993.25,0.0,0.0,2983.9087,0.0,0.0,0.0,0.0,47409.63,0.0,0.0,47636.277,0.0,619867.94,43307.152,0.0,0.0
2.0,30.0,2156.9407,46890.07,0.0,2689.345,0.0,0.0,0.0,3959.6692,0.0,0.0,0.0,240237.69,0.0,58386.3,0.0,0.0,0.0
2.0,40.0,0.0,935.0378,1219.1943,0.0,0.0,0.0,1101.343,87.75281,0.0,2799.4004,53254.098,278590.22,0.0,0.0,0.0,0.0,0.0
2.0,50.0,0.0,0.0,4.3308945,0.0,0.0,0.0,1535.1931,0.0,0.0,16212.413,66138.914,0.0,0.0,0.0,0.0,0.0,0.0
2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.9406,0.0,0.0,9600.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,0.0,9561.955,810.73474,0.0,0.0,329.46362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,0.0,6985.7075,571.3966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,0.0,2376.3713,248.86568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,626.0499,123.04711,216.76825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,1974.6205,0.0,155.38557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,89.391754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,58.933094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,31.741442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.394315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9487977.0,0.0,0.0,0.0,0.0
3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,168928.1,0.0,0.0,160.42978,0.0,0.0,0.0,0.0,42348.047,0.0,0.0,44156.297,0.0,519981.16,1581.3114,0.0,0.0
3.0,30.0,70.384415,15130.538,0.0,168.27972,0.0,0.0,0.0,5505.4004,0.0,0.0,0.0,3484.595,0.0,9961.001,0.0,0.0,0.0
3.0,40.0,0.0,0.0,348.79407,0.0,0.0,0.0,63.110786,0.0,0.0,248.51353,62207.84,6585.102,0.0,0.0,0.0,0.0,0.0
3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1526.2168,0.0,0.0,3579.4265,96788.086,0.0,0.0,0.0,0.0,0.0,0.0
3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1484.4393,0.0,0.0,2046.1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,70.0,0.0,0.0,0.0,0.0,0.0,11679.217,1130.9083,0.0,0.0,95.48553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,80.0,0.0,0.0,0.0,0.0,0.0,7111.762,895.3774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,90.0,0.0,0.0,0.0,0.0,0.0,3939.917,603.4055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,100.0,0.0,0.0,0.0,0.0,516.2538,182.40396,351.05124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,110.0,0.0,0.0,0.0,0.0,1605.6544,0.0,208.7974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,146.59947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,81.27302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,51.339558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,2.850216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0503916E7,0.0,0.0,0.0,0.0
4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570778.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,20.0,14919.612,0.0,0.0,1.7647938,0.0,0.0,0.0,0.0,6093.6543,0.0,0.0,2857718.0,0.0,165639.0,13.482122,0.0,0.0
4.0,30.0,0.6592974,150.81328,0.0,6.007507,0.0,0.0,0.0,559.1955,0.0,0.0,0.0,970575.7,0.0,545.35535,0.0,0.0,0.0
4.0,40.0,0.0,0.0,31.568422,0.0,0.0,0.0,0.0,0.0,0.0,5.5395913,55183.758,682.3184,0.0,0.0,0.0,0.0,0.0
4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,19.621498,0.0,0.0,727.69165,96037.945,0.0,0.0,0.0,0.0,0.0,0.0
4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,766.9041,0.0,0.0,289.27887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,70.0,0.0,0.0,0.0,0.0,0.0,18960.814,953.5779,0.0,0.0,17.638521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
