"Distribution of the biomass (tonne) of prey species (in columns) in the diet of Goosefish by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,0.7656195,0.014374243,1.2150235E-4,0.034394063,0.0,4.1635047E-9,3.2988528E-4,0.045252234,1.6509485,0.05590573,0.046641152,0.02415228,2.4247684,0.15354152,0.2594962,0.0,0.0,0.0,1.9704887E-5,0.019211633,0.0,0.023724925,0.0,0.0039690817,4.130205
1.0,2.0,9.745622,2.5086622,0.049531788,1.5803264,0.24945058,0.06673865,0.044696327,0.9398288,15.621521,1.6031405,2.1564105,0.8491513,4.3032537,3.3780043,4.750206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15822178
1.0,4.0,5.573766,4.572,0.09546742,1.3372546,0.7764128,0.35819945,0.06443816,0.4472773,7.4920735,1.9559827,5.3160443,1.3412762,0.007935822,5.27814,3.3197956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,3.088448,2.9704342,0.052465305,0.62216395,0.6533836,0.41817153,0.04641191,0.22378598,2.931439,1.4711667,7.605632,1.0533425,0.0,3.2318387,1.7911191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,1.6935571,2.0075004,0.034873176,0.40886822,0.57373273,0.3181527,0.038501985,0.095470816,1.2747787,1.1993114,6.1086655,0.6521989,0.0,2.273607,1.1872835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,1.0277734,1.5228914,0.026389245,0.30676696,0.5671016,0.2950205,0.03767161,0.068516426,0.5284426,1.0050535,4.6604366,0.4967371,0.0,1.6635238,0.8417101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.63856786,1.0537028,0.020805508,0.21135952,0.49861673,0.23219357,0.031625766,0.038580827,0.17411035,0.74513215,3.2512846,0.35532537,0.0,1.1517581,0.50453573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.29223597,0.7037135,0.013081805,0.13832475,0.40750182,0.17640236,0.024380172,0.024302868,0.046226025,0.50007015,2.2142484,0.24337932,0.0,0.77978706,0.3356895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.16464016,0.54735255,0.009704266,0.104133666,0.36747164,0.13205391,0.018938337,0.017022388,0.016911322,0.36708802,1.6526124,0.17655405,0.0,0.53117377,0.2411329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.10211895,0.41749114,0.0072543994,0.07230494,0.3213434,0.10579425,0.01630975,0.011202876,0.00450489,0.2662369,1.2220935,0.13422501,0.0,0.3965611,0.17593676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.07567703,0.30911517,0.005121842,0.053221766,0.24944538,0.080514655,0.01212492,0.008398239,8.2048506E-4,0.20439924,0.8999598,0.096736826,0.0,0.27057835,0.121727884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.04952524,0.2260662,0.0038567837,0.037484407,0.21359086,0.05699398,0.008896947,0.0056123068,0.0,0.13618235,0.65543526,0.07094424,0.0,0.1839839,0.08253272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.032853525,0.16244166,0.0027629947,0.028096119,0.16439651,0.040717214,0.006807545,0.004378007,0.0,0.10380168,0.4548587,0.052085117,0.0,0.137201,0.049806807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.01663175,0.096244335,0.0015403151,0.015703153,0.10738138,0.0256452,0.0036847629,0.0020249332,0.0,0.05961972,0.2799554,0.028964585,0.0,0.07514062,0.028723497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.006378979,0.031952914,7.3286775E-4,0.0057956954,0.04513566,0.011141668,0.0017071501,0.0010867319,0.0,0.024914967,0.11524799,0.011650551,0.0,0.02796985,0.012454343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,3.1394017E-4,0.001193816,1.07570395E-5,1.6509576E-4,3.4879387E-4,9.972155E-5,1.6600401E-5,5.2538753E-6,0.0,3.7412273E-4,0.0017670637,1.9317596E-4,0.0,5.619247E-4,2.720159E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.017769564,2.8795044E-5,7.0295954E-8,1.9529887E-6,0.0,5.040583E-12,1.3365529E-9,0.009311759,0.0732982,2.636433E-5,1.309776E-7,0.0013447693,0.006950383,0.0046116468,7.7509176E-4,0.0,0.0,0.0,2.9462464E-5,0.01814523,0.0,0.030199165,0.0,0.0057189665,0.0064186575
2.0,2.0,7.275449,2.7566335,0.06634538,1.1109511,1.0649496,6.885419E-6,1.6917006E-7,1.3896326,17.460577,1.794383,1.5763614,1.023291,0.364694,6.02886,4.2503314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4.0,6.1692376,4.430512,0.25992885,1.2573262,4.5639133,0.15146098,0.06645365,1.8915012,14.056883,3.6027126,10.278342,1.8640395,0.0,7.3905873,3.5838282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6.0,2.2525783,2.3485236,0.088358745,0.37543753,3.1578557,0.87523216,0.100157775,0.94495827,5.0511293,2.0337677,16.95418,0.94654423,0.0,3.6461408,1.3588945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8.0,1.0405152,1.3766038,0.04259999,0.22444426,2.2201185,0.8705622,0.0913141,0.5332136,1.2559339,1.3567561,11.814787,0.45602518,0.0,1.9268764,0.5246119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10.0,0.60396075,0.89169043,0.028578747,0.16899072,1.8015919,0.73013604,0.08329572,0.3482564,0.25335863,1.0680493,8.617895,0.2730896,0.0,1.3073068,0.28031522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,12.0,0.34475806,0.5705495,0.019194318,0.100974694,1.4313227,0.59685344,0.07827552,0.20598936,0.04401738,0.70648223,5.8612146,0.16435227,0.0,0.8313528,0.17210847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,14.0,0.12071082,0.33964595,0.011659492,0.06939293,1.0697455,0.42196208,0.054713853,0.11171136,0.00891304,0.43782818,3.8271086,0.09014455,0.0,0.53428996,0.10852525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,16.0,0.033621375,0.22061367,0.007039735,0.045747846,0.780982,0.29380414,0.042884126,0.06941168,0.0025754445,0.28830186,2.617927,0.06515625,0.0,0.3287083,0.07329567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.014539873,0.15227841,0.0053829094,0.033398133,0.65575373,0.23569912,0.031788398,0.03501342,0.0013352189,0.19479986,1.9210063,0.045518067,0.0,0.24212849,0.049147792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.010597703,0.11184544,0.0037788406,0.024716534,0.5154467,0.16909805,0.023652244,0.022386102,0.0,0.14513922,1.3896013,0.03328736,0.0,0.16596545,0.036532946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0061445734,0.07748532,0.003102687,0.01539111,0.38000306,0.12614754,0.01889422,0.011590703,0.0,0.10775558,0.9939205,0.022851054,0.0,0.12641986,0.023811767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0043358468,0.048340343,0.0020997862,0.012521047,0.2993873,0.090897955,0.0139721,0.0064109294,0.0,0.06520405,0.6955881,0.015960636,0.0,0.09225302,0.016698085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,26.0,0.0025265499,0.02737492,0.0010516933,0.006739738,0.17964491,0.05121829,0.006950779,0.0031861921,0.0,0.039527163,0.4070412,0.009188348,0.0,0.05087919,0.008462091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,28.0,6.697629E-4,0.008101427,4.1501195E-4,0.002396076,0.07143195,0.018634861,0.003043069,0.0015793664,0.0,0.015544513,0.16481578,0.0029338743,0.0,0.01953454,0.002692072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,8.559493E-6,6.953814E-8,6.614416E-6,1.7206783E-5,6.939869E-4,2.760959E-4,1.3254953E-5,3.035245E-5,0.0,8.960151E-5,0.0011106129,5.8680806E-5,0.0,0.0,2.6569527E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,5.2375876E-6,2.5169E-7,1.9636895E-5,7.282403E-7,0.0,5.3879306E-12,6.435113E-8,8.359509E-6,0.03956934,7.6687415E-5,2.3196151E-5,3.8294983E-4,5.8758893E-4,0.005691767,8.5108756E-4,0.0,0.0,0.0,3.254656E-5,0.044824015,0.0,0.063012324,0.0,0.0074775987,0.08383848
3.0,2.0,1.6315129,0.83860403,0.030819044,0.12586218,0.8041011,0.0,0.0,0.29145935,3.8798823,0.5733679,0.61698276,0.47955316,0.0055492255,2.367219,1.0468774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.0,6.2578835,4.949236,0.24898672,0.56796384,9.322405,0.001699628,0.0075898385,1.2199646,12.111925,4.59752,13.131907,2.86713,0.0,8.877838,4.5438123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
