"Distribution of the biomass (tonne) of prey species (in columns) in the diet of StripedBass by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,67.51284,4.4671035,0.09579346,0.5352048,4.948667E-7,0.0027284492,0.0051647252,10.376831,139.50894,2.5948336,1.0371633,1.760989,90.3743,12.40503,18.314016,0.0019857665,0.0043273754,0.0,3.2423299E-7,3.0930905E-4,0.0,3.5095625E-4,0.0,3.646838E-5,118.29103
1.0,2.0,57.67196,5.3885736,0.10544798,3.7338214,0.53485495,0.24006908,0.04719163,5.114767,64.17213,4.05627,5.2605295,1.9950917,37.58853,13.440867,17.617159,0.038324546,0.03692007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.712646
1.0,4.0,36.549408,9.506777,0.1393335,3.2294319,1.1514044,0.47692084,0.12990221,2.2980099,30.060558,3.603472,6.162775,1.2805321,8.419964,12.197119,11.548954,0.02816839,0.03780305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,20.051453,6.163896,0.1016024,1.818855,0.7590772,0.65320975,0.0973718,1.1290722,14.163177,2.4162605,5.8077226,1.0592003,0.19559422,8.496068,6.0119476,0.010751531,0.008057142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,9.084112,3.0195112,0.050238997,0.7312864,0.35210344,0.5435126,0.045063943,0.42940104,5.8416305,1.1881288,3.8306284,0.7947295,0.0,4.1539254,2.7023072,0.010618325,0.002968637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,4.7972026,1.5362293,0.027539773,0.3537779,0.19596711,0.19729154,0.028464543,0.29707742,2.7760677,0.57628757,2.1578193,0.4484801,0.0,1.9886955,1.3597655,0.008810577,0.0033767372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,2.3477173,0.69804364,0.009274159,0.14064433,0.10396615,0.14371173,0.0068016015,0.095214404,1.2629478,0.27696526,1.1676618,0.17789552,0.0,1.1027842,0.71460634,0.011340886,0.004298465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,1.1181474,0.35906568,0.0054101134,0.07269588,0.046564035,0.0636188,0.006359697,0.05025768,0.6023535,0.14426476,0.6469755,0.099697255,0.0,0.52102304,0.31233403,0.002362945,4.7166567E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.6430491,0.19911095,0.003997989,0.041414093,0.027051402,0.02689704,0.005242166,0.032356594,0.312837,0.08763245,0.34149292,0.062451284,0.0,0.29046398,0.17815997,2.64731E-4,4.196373E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.3528366,0.09978049,0.001815518,0.022159267,0.012972647,0.031860232,0.0016062487,0.016141474,0.18348496,0.044204537,0.22419007,0.026569137,0.0,0.14245325,0.10675823,0.002160495,6.963729E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.19985934,0.048167035,0.001058293,0.013495385,0.008102451,0.010143858,9.6511183E-4,0.013231744,0.10820167,0.02535863,0.12554474,0.015543283,0.0,0.08236168,0.052899808,1.8928107E-4,2.5136305E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.10805869,0.029978035,5.983245E-4,0.008832822,0.0050643627,0.0070183696,3.8712693E-4,0.0064419005,0.047017567,0.01751419,0.06956895,0.007616834,0.0,0.054995302,0.029973775,4.312655E-4,1.3028207E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.06600445,0.019063398,2.8861206E-4,0.003973349,0.0020739115,0.00214776,2.972064E-4,0.0031023507,0.025784954,0.008460317,0.04065535,0.0045429724,0.0,0.023279596,0.01754423,1.9668766E-4,1.15838324E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.030311529,0.009871502,1.8609251E-4,0.0022247292,0.0016193378,0.0015904976,2.588648E-4,0.0013817166,0.0119948825,0.0032859002,0.018857675,0.0022926403,0.0,0.011515021,0.0065615503,1.3841931E-6,1.0818003E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.00862017,0.0026235974,9.128796E-5,6.1921973E-4,2.597945E-4,4.5269768E-4,4.1448762E-5,5.3367484E-4,0.00522001,0.0011173381,0.0046324614,7.383493E-4,0.0,0.0036190823,0.0020063564,3.0023296E-4,3.1693886E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,9.856477E-5,0.0,9.924379E-7,3.2613121E-7,2.3006423E-6,0.0,2.558446E-6,1.0943503E-5,0.0,2.6072685E-5,4.68238E-5,1.0857897E-5,0.0,4.3632397E-5,5.7833913E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,24.036171,3.2646475,0.09743241,0.52633387,0.10886933,1.2832902E-11,3.4260447E-7,6.4132886,80.57721,2.1115305,0.6479642,1.2069136,11.304992,14.141491,10.783518,0.081825495,1.0082215E-4,0.0,5.0664016E-7,6.614284E-4,0.0,8.019791E-4,0.0,5.530863E-5,36.139984
2.0,2.0,140.53102,26.18316,0.520133,4.323922,3.7675889,5.4651242E-5,3.1551426E-5,25.592981,291.61768,14.077986,5.0427904,10.238025,13.83871,131.08525,54.938507,1.0202881,8.372721E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.088736
2.0,4.0,35.262066,11.180312,0.17489149,2.5283678,6.64157,1.00430996E-4,0.014107222,7.1990857,59.913418,7.803192,9.566796,3.2371378,0.4069103,28.778305,13.218651,0.036795758,2.034437E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6.0,17.858685,5.870978,0.34111962,1.4661517,5.086543,1.8280282E-4,0.022031408,3.4569561,25.993057,4.7437925,10.373722,1.9594684,0.0,13.321945,6.8002315,0.0017573686,6.0533563E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8.0,7.537185,2.4292572,0.12940091,0.6599791,2.5885355,0.03893421,0.038673658,1.56165,10.769563,2.0285387,6.367711,1.04207,0.0,5.4317446,2.6998122,0.0011145438,1.8964006E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10.0,3.596114,1.1857781,0.058385406,0.22939256,1.0910172,0.060314275,0.038552787,0.68939537,4.702996,0.9310119,3.897775,0.45241177,0.0,2.4260237,1.2302215,2.9045733E-4,3.8649222E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,12.0,1.8096555,0.51906216,0.029561931,0.1075368,0.5828763,0.056087494,0.015022078,0.40585312,2.12792,0.4527501,1.9963186,0.24465622,0.0,1.035584,0.6883114,3.7417992E-4,1.6156727E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,14.0,0.8599566,0.26378983,0.016234746,0.056967452,0.25667736,0.05839494,0.012889633,0.14796533,1.0657357,0.19767569,1.1154242,0.15729068,0.0,0.47993422,0.23119421,1.496516E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,16.0,0.41866896,0.13036512,0.010355242,0.024341187,0.15012284,0.026029745,0.006089338,0.088128805,0.44626704,0.1290008,0.6280765,0.051151674,0.0,0.2498136,0.14040862,5.968512E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.22870348,0.07244759,0.005671952,0.014662138,0.07152707,0.019325243,0.0021460291,0.05840525,0.25310317,0.064757004,0.35973,0.031951588,0.0,0.16543047,0.07084809,1.2809751E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.12328559,0.042858392,0.0024506566,0.007587557,0.0409401,0.013738121,0.0014522328,0.023440558,0.16546386,0.036655154,0.17966701,0.018847443,0.0,0.089512266,0.04102948,2.988996E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.07485487,0.026101168,9.07368E-4,0.004787918,0.026669163,0.005024613,0.0011309554,0.017355878,0.07971518,0.017608425,0.122820094,0.010616397,0.0,0.040527266,0.022127146,1.3851626E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.035745796,0.011869766,5.521717E-4,0.0023994185,0.012310067,0.005034942,4.6278437E-4,0.009527722,0.044480618,0.011679611,0.053997383,0.005668706,0.0,0.02404067,0.01836854,1.2929275E-4,1.7108833E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
