"Distribution of the biomass (tonne) of prey species (in columns) in the diet of AtlanticMackerel by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,12.133013,0.013982419,0.039906718,0.9601691,0.0,5.765764E-8,1.510978E-5,0.37469462,20.902676,0.0,0.0,0.037430685,21.846865,55.087284,2.4571083E-4,0.0,0.0,0.0,1.3498161,2364.3364,7.279899,476.77243,0.0,169.12654,0.0
1.0,10.0,11.5612755,0.0,0.016082242,3.3069167,0.0,0.0,2.844103E-6,0.0,79.494,0.34326556,0.0,0.0022560349,80.43693,61.350807,8.6610985,0.0,0.0,0.0,0.0,107.555374,0.0,0.0,0.0,0.0,0.0
1.0,20.0,71.36103,19.20068,4.2682967,2.8919227,0.0,5.974289E-5,0.015661903,71.299644,231.30717,9.298313,0.61712366,3.5021565,296.85388,17.133526,85.08696,0.0,0.0,0.0,0.0,466.08377,0.0,0.0,0.0,0.0,0.0
1.0,30.0,36.529713,8.95714,2.0278401,2.597425,0.0,8.4471685E-5,0.006475479,20.58812,114.20217,7.952112,1.0320965,2.989713,210.76402,8.288487,35.256832,0.0,0.0,0.0,0.0,0.038743593,0.0,0.0,0.0,0.0,0.0
1.0,40.0,1.7233706,0.020348065,0.0118847275,0.01888989,0.0,3.57909E-5,0.0017026273,0.26993507,2.0066574,0.5557792,0.056430615,0.008523474,8.878101,0.10764584,0.41193306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,13.944149,6.85553E-4,0.037145402,0.33979902,0.0,5.0648225E-7,2.3427592E-5,0.009676258,7.944005,0.0,0.0,0.0066005746,5.1656146,28.537584,2.2870386,0.0,0.0,0.0,0.3269482,1818.6569,1.1792833,116.385895,0.0,37.242752,0.0
2.0,10.0,145.52391,3.2723486,0.49971083,0.7906263,0.0,9.383559E-6,2.1417324E-4,0.45204598,569.3481,0.6449081,0.024793541,0.41522247,160.3126,392.43222,115.57736,0.0,0.0,0.0,0.0,838.796,0.0,0.08964824,0.0,0.0,0.0
2.0,20.0,114.16008,4.2770257,1.1518974,1.3197821,0.0,1.4335307E-5,3.7170434E-4,1.2074343,460.32913,1.2701938,0.24010839,0.6753804,65.27832,143.1284,55.206493,0.0,0.0,0.0,0.0,284.58487,0.0,0.0,0.0,0.0,0.0
2.0,30.0,9.896688,2.465746,0.5585101,0.46352285,0.0,1.6790614E-4,0.0023852289,1.2228547,39.276546,3.1981773,0.70662755,0.585066,28.629274,14.021578,13.267082,0.0,0.0,0.0,0.0,0.13730668,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0013307717,3.5769198E-4,1.4299677E-4,8.040935E-5,0.0,3.959539E-6,0.0,3.6202636E-4,0.013691921,9.97226E-4,5.2351755E-4,5.269124E-4,0.007949366,0.0028369522,0.0018823567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.34246764,2.7637543E-6,0.116416104,0.0184608,0.0,4.2042726E-7,7.404118E-5,0.0024164463,12.413912,0.0,0.0,0.36844978,1.4227029,12.102967,0.17023562,0.0,0.0,0.0,0.023738727,568.2782,0.0753315,6.4699,0.0,3.311745,0.0
3.0,10.0,23.516262,0.104669526,0.4517662,0.05518673,0.0,1.3791456E-5,8.079442E-4,4.705347,492.06747,0.5921922,0.0,1.2203214,11.650078,200.00293,5.6254644,0.0,0.0,0.0,0.0,1059.8994,0.0,0.0,0.0,0.0,0.0
3.0,20.0,40.66493,0.3901761,0.7024774,1.1296556,0.0,1.5170158E-4,0.0024143646,8.764594,600.0754,1.8602095,0.53183925,9.020171,36.904247,129.2064,11.461995,0.0,0.0,0.0,0.0,549.007,0.0,0.0,0.0,0.0,0.0
3.0,30.0,0.55169284,0.028135337,0.016946977,0.026394345,0.0,1.20122575E-4,0.0012584784,0.13927715,4.080248,0.16652375,0.10462689,0.2098209,0.40998337,1.3546948,0.19971803,0.0,0.0,0.0,0.0,0.022419553,0.0,0.0,0.0,0.0,0.0
3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.4104752,1.7689947E-5,0.31600305,1.3862766,0.0,4.8249307E-9,7.887373E-5,0.0017510243,13.2436905,0.0,0.0,0.6245501,6.89409,13.311564,0.0,0.0,0.0,0.0,0.047227483,1275.944,0.08518634,14.514155,0.0,5.4674625,0.0
4.0,10.0,3.8752372,0.19684356,1.9780995,1.2307597,0.0,1.7849065E-5,4.8214168E-4,0.6049679,246.71524,0.3329584,0.020111218,1.1972487,17.923395,151.2982,1.0721434,0.0,0.0,0.0,0.0,865.61804,0.0,0.0,0.0,0.0,0.0
4.0,20.0,8.481229,0.8853858,3.4905593,6.5042214,0.0,2.1138496E-4,0.004788826,1.8851789,762.85297,0.9477008,0.59357977,26.189392,84.39525,133.91978,3.2198987,0.0,0.0,0.0,0.0,685.93805,0.0,0.0,0.0,0.0,0.0
