"Distribution of the biomass (tonne) of prey species (in columns) in the diet of BlackSeaBass by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,0.030000882,0.36736697,0.049136277,0.61116225,0.0,9.165905E-9,1.4452785E-7,0.17500128,0.037627857,0.010254191,2.0312527E-6,0.0026852237,1.942921,0.30842596,0.0137386685,0.0,0.0,0.0,0.112953946,18.394722,0.0,46.8695,0.0,16.422255,52.92964
1.0,10.0,0.011348089,2.7420135E-6,1.42216895E-5,6.744053E-4,0.0,0.0,8.263592E-5,0.0010998223,0.27841926,0.0018295973,6.031285E-4,1.9506032E-7,0.057928294,0.0015250652,8.5274194E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59966403
1.0,20.0,0.13535137,0.0055155605,5.013837E-4,0.018230772,0.0,1.257293E-7,0.0014683361,0.038939983,0.36696985,0.03148156,0.010057291,0.0108038,0.6693002,0.025274051,0.035274513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7765508
1.0,30.0,0.6396557,0.058840018,0.0021681504,0.0499108,0.0,2.334055E-6,0.0015623885,0.1396054,1.9572688,0.057243664,0.070586435,0.04947802,1.4437104,0.16927148,0.21356799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5818475
1.0,40.0,1.1381027,0.022464978,0.01878702,0.14025715,0.0,5.340456E-4,0.0064338516,0.09757372,1.6018505,0.07389782,0.11816358,0.060292765,1.302508,0.21798465,0.3580041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015473172
1.0,50.0,0.3009411,0.014416331,0.0059036613,0.046665125,0.0,0.0015954061,0.0019353972,0.016089547,0.29603368,0.028650107,0.0389352,0.01799375,0.16425353,0.06997341,0.096852295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
