"Distribution of the biomass (tonne) of prey species (in columns) in the diet of Goosefish by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,0.0015045996,1.1060051E-5,1.5341031E-7,7.135543E-6,0.0,1.3064508E-12,1.441286E-11,8.427724E-6,0.011165098,2.171065E-5,3.7492528E-6,4.6987852E-6,0.008529574,0.0022043688,9.728741E-4,0.0,0.0,0.0,1.9704887E-5,0.019211633,0.0,0.023724925,0.0,0.0039690817,0.39435905
1.0,10.0,0.007811599,0.0,1.1194356E-6,2.5626965E-4,0.0,0.0,2.3039915E-8,6.5309356E-4,0.056348715,0.0013782287,1.9876876E-5,1.0701796E-4,0.16760024,8.389124E-6,0.0020589519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61509115
1.0,20.0,0.76894563,0.014363183,1.202295E-4,0.032565415,0.0,4.162198E-9,3.2986223E-4,0.04272549,1.4977789,0.056244522,0.050088476,0.024697727,2.227452,0.15330844,0.24817623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.094537
1.0,30.0,4.2181168,0.3724933,0.013354235,0.48339483,0.024923379,0.010903306,0.014753289,0.5051639,7.584101,0.40578273,0.41415656,0.30072886,3.1446917,0.9039367,1.6925877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18443976
1.0,40.0,4.291166,1.4511626,0.026513575,0.8388576,0.11933494,0.025634745,0.017581047,0.335117,6.2722673,0.8786959,1.2312565,0.41080055,0.9607986,1.6724288,2.3576138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,50.0,3.2864022,2.2277815,0.044780187,0.77546465,0.38167298,0.110188805,0.038409147,0.2818392,4.7219954,0.92968315,1.8739079,0.46452788,0.22688584,2.5913591,1.9147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,2.9275227,2.4679658,0.04968651,0.69171274,0.39927197,0.21413144,0.030445276,0.22181481,3.8263328,1.0758616,3.035724,0.80458885,0.0,2.8627079,1.7556789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,2.3626046,2.1515949,0.04006198,0.49230304,0.43851745,0.2885559,0.033687368,0.18260826,2.5297847,1.0481864,4.57741,0.8192666,0.0,2.3600771,1.3709469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,1.5815182,1.642735,0.027962731,0.3177573,0.3799412,0.2358157,0.024723662,0.096634805,1.409906,0.8480107,4.7427797,0.5375251,0.0,1.8023424,0.93481743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,1.3790203,1.6776044,0.028853329,0.33889556,0.48132864,0.25952104,0.033152018,0.080013745,1.0204259,0.9975611,5.0872574,0.5374179,0.0,1.9001871,0.996288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
