"Distribution of the biomass (tonne) of prey species (in columns) in the diet of WinterFlounder by Size class (cm). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Size","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,0.0,0.1224079,0.019289367,0.8304623,0.0,0.0,0.0,0.0017069407,0.0,0.0,0.0,0.0,0.14300014,0.0,0.0,0.0033369884,0.0,0.0,0.0,167.98627,0.0,0.0,0.0,0.0,203.83871
1.0,10.0,0.06859048,1.7293011,0.08058254,1.4388843,0.0,0.0,0.0,0.088658296,4.0944705,0.040426362,0.036817726,0.27615526,10.811224,0.7089984,2.5738227,0.003486067,5.60554E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.55473
1.0,20.0,0.09438223,0.12669243,0.06094486,0.011481596,0.0,1.5985233E-5,0.0052771294,0.104531504,0.8486719,0.066547036,0.03197479,0.013045591,1.4893486,0.090346746,0.31720394,0.0011095455,1.8630929E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7383735
1.0,30.0,0.08384447,0.0045950483,0.014912869,0.012383485,0.0,6.3525105E-5,0.011522003,0.03974264,0.24702536,0.08768902,0.021942085,0.015218371,1.0574136,0.035357423,0.015579685,0.0028489053,1.13628585E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.15718481,4.7069913E-4,0.018986577,0.034540202,0.0,4.8198246E-5,0.018532874,0.04860093,0.07239347,0.05870321,0.03125612,0.05487617,0.17076193,0.019975595,0.0021995162,0.0031217642,1.17722666E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,2.117584E-4,0.015639752,0.0,0.0,0.0,2.6952624E-4,0.025274638,0.0,0.0,1.8876196E-4,0.0,0.0,0.091064274,2.3124302E-4,0.0,0.0,0.0,3.8633642,0.0,0.0,0.0,0.0,12.016763
2.0,10.0,0.32333612,0.5851928,0.1240415,0.16945319,0.0,0.0,0.0,0.031767562,7.6409364,0.25649908,0.09667625,0.07661196,5.5642047,2.2605703,1.6728082,0.0014149903,5.0654122E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.20334
2.0,20.0,2.8536391,0.8431546,0.09998552,1.9232083E-4,0.0,2.6686883E-5,5.1436125E-4,0.13118184,11.009489,0.09678195,0.19485418,0.11395243,2.333655,5.6593633,2.3590403,7.247117E-8,6.4419473E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.270195
2.0,30.0,0.0035307475,7.2367117E-4,6.326903E-5,4.681991E-4,0.0,1.1404702E-11,0.0,0.002049774,0.0498193,6.1065226E-4,0.0,0.001248182,0.020033322,0.013124086,0.011357181,5.5711913E-5,9.877371E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,2.5405444E-4,3.8352704E-5,3.0687627E-8,0.0,0.0,0.0,0.0,5.1467207E-5,0.0018188126,6.3252455E-6,1.0152374E-4,2.9743138E-5,3.5665526E-6,2.3612056E-4,1.09563836E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
