"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,0.0,0.9689301,2.319715,1.5649488,1.3962657,30.529617,36.390636,10.764712,4.168666,1.8102541,4.488852,17.604767,2.51772,0.9748378,1.7571664,1.5840249,1.3237602,4.2289133
1.0,2.0,18.261229,34.6138,29.876638,19.328651,52.38645,52.883636,38.074554,36.890182,NaN,32.464973,31.58987,31.476423,NaN,34.678387,23.304865,12.150117,22.807358
1.0,4.0,24.129616,38.876076,39.1569,25.116522,64.79448,70.080826,60.582333,43.54726,NaN,46.359512,40.74867,39.148613,NaN,37.206654,27.45695,16.349089,NaN
1.0,6.0,27.226051,40.613667,46.189346,29.46932,74.84037,80.55436,78.123024,45.032238,NaN,54.825516,46.625256,42.370285,NaN,38.20063,28.990417,19.783604,NaN
1.0,8.0,28.959497,41.38247,50.318886,32.554775,83.022606,87.799774,92.90961,45.387486,NaN,60.851093,50.56911,43.788963,NaN,NaN,29.552042,22.489538,NaN
1.0,10.0,29.87984,41.72297,NaN,34.680244,89.76819,92.49089,104.678276,45.472645,NaN,64.92907,53.187363,44.40095,NaN,NaN,29.742939,24.739283,NaN
1.0,12.0,30.389359,41.875633,NaN,36.083694,95.245575,95.633865,114.35269,45.493336,NaN,67.73755,54.443188,44.675873,NaN,NaN,NaN,26.547995,NaN
1.0,14.0,30.62951,41.944305,NaN,37.008987,99.732956,97.7486,122.3409,45.49826,NaN,69.687065,NaN,NaN,NaN,NaN,NaN,28.06178,NaN
1.0,16.0,NaN,41.97491,NaN,37.634785,103.40562,99.162445,128.93521,45.499397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,18.0,NaN,NaN,NaN,38.054653,106.40816,100.09271,134.28403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,20.0,NaN,NaN,NaN,NaN,108.878944,100.72603,138.6822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,22.0,NaN,NaN,NaN,NaN,110.895035,101.14758,142.30219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,24.0,NaN,NaN,NaN,NaN,112.54508,101.42645,145.26892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,26.0,NaN,NaN,NaN,NaN,113.89648,101.60445,147.59103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,28.0,NaN,NaN,NaN,NaN,115.00282,101.738556,149.72046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,30.0,NaN,NaN,NaN,NaN,115.908516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,32.0,NaN,NaN,NaN,NaN,116.65018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,34.0,NaN,NaN,NaN,NaN,117.2576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,36.0,NaN,NaN,NaN,NaN,117.75451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,38.0,NaN,NaN,NaN,NaN,118.161545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,1.5976782,3.047983,1.7263855,1.9436196,32.216366,47.29899,1.8976972,6.326754,4.5710974,6.3352284,16.750309,4.521826,1.6457946,3.2036312,3.3515685,3.915437,4.2649717
2.0,2.0,15.108095,34.624336,32.73385,21.193993,49.826935,54.908566,43.50469,31.845745,NaN,28.834332,33.24202,32.456467,NaN,12.023806,10.469578,9.928741,22.495358
2.0,4.0,21.388775,39.20452,38.781883,25.667013,63.386158,73.285645,60.949566,42.566425,NaN,44.706463,42.2304,39.415573,NaN,36.421486,26.80437,16.195452,NaN
2.0,6.0,26.442827,40.748596,45.24426,29.210972,73.69403,83.825745,79.06909,44.760666,NaN,53.885674,47.76302,42.60248,NaN,37.925213,28.8075,19.936296,NaN
2.0,8.0,28.492455,41.412006,49.91274,32.25562,82.05636,90.17959,93.56165,45.31502,NaN,60.24776,51.41715,43.92492,NaN,NaN,29.463367,22.490467,NaN
2.0,10.0,29.619654,NaN,NaN,34.493958,88.95535,94.22672,105.38785,45.456207,NaN,64.65213,53.782097,44.46742,NaN,NaN,29.710989,24.823725,NaN
