"Mean biomass (tons), excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,20840.488,7046.119,79.10662,647.84033,11539.642,2043.7551,372.1201,1165.8717,146197.2,3352.2754,8882.328,1194.6835,59684.867,124315.62,23912.553,0.92866355,0.1364748
2.0,18497.822,4065.5718,79.46834,366.97714,11717.119,3267.7017,450.9732,2110.4656,182774.36,7731.773,8973.676,1545.6031,20565.072,243190.7,26865.346,6.2585483,1.9156728E-4
3.0,18329.318,2906.8784,124.310196,648.2125,11920.99,3099.514,512.11176,2409.1155,144941.7,10497.988,8483.252,1916.4292,4376.316,77500.234,8470.645,1.5565405,0.0
4.0,18208.291,3747.6753,224.18805,786.7928,11985.612,2348.2058,543.6226,1697.534,110178.26,9326.874,7469.245,1587.1027,2638.739,24120.717,2253.3545,0.63431305,0.0
5.0,21511.818,5151.181,322.5725,1306.4238,12070.777,1588.5544,558.55005,1404.7963,99987.94,7610.9688,6460.011,2522.9446,3975.2036,20231.395,620.0156,0.0076137637,0.0
6.0,22249.996,5423.9375,459.13547,2291.8115,12270.286,1097.0637,568.82837,1483.7966,99806.836,5758.244,5770.6494,3438.331,4275.222,20704.453,873.01685,1.1342443E-6,0.0
7.0,22915.215,4862.071,627.86414,3440.2856,12592.822,788.2819,581.93994,1267.595,104630.97,6391.5054,5389.205,2890.276,4117.5806,22679.393,853.9886,0.0,0.0
8.0,25640.256,4721.3745,811.76935,4519.1504,13018.928,573.0784,586.3186,888.41254,111741.64,7142.3486,5273.244,3408.9722,3683.9392,23333.94,699.9998,0.0,0.0
9.0,28674.906,4410.305,913.578,5234.0806,13529.432,441.2162,573.94006,602.2497,125485.54,6419.386,5390.188,3834.1218,3186.8984,30166.223,844.26807,0.0,0.0
10.0,29581.182,3928.8386,890.9578,5912.418,14150.729,334.85278,558.6958,533.638,127916.95,5254.752,5675.0957,3552.8384,2555.842,50680.95,961.0856,0.0,0.0
11.0,27577.963,3827.8257,932.16113,6151.8384,14899.5625,250.77061,530.921,581.7623,120020.07,4065.0405,6103.7563,3552.4412,1939.9552,27857.969,991.20685,0.0,0.0
12.0,28758.68,3942.9785,953.26996,6411.1133,16003.578,181.05869,504.88596,746.0541,101448.96,4085.0957,6574.143,4165.796,2300.4521,13551.221,970.3427,0.0,0.0
13.0,27963.371,4558.7964,950.17084,6550.5933,17644.406,128.05254,489.02002,742.26514,108002.414,4969.54,6878.6543,4053.9214,2405.3381,24213.9,800.37976,0.0,0.0
14.0,29012.873,4281.592,920.2214,6588.5415,19837.877,86.59816,462.09836,515.4583,104649.76,5092.3696,7699.5957,3435.538,2441.5786,22168.453,786.6876,0.0,0.0
15.0,28069.508,3744.7305,945.75665,6791.922,22569.475,55.79705,438.6883,531.27045,109893.21,4297.418,8837.148,3628.6343,2977.5479,25758.229,659.46625,0.0,0.0
16.0,27296.178,3719.7551,875.00354,6538.0566,25829.834,39.09891,422.28445,568.3447,112336.48,3503.6785,10043.645,3385.821,2639.8413,23942.479,605.13806,0.0,0.0
17.0,24706.447,3902.7144,857.332,6150.695,29686.004,26.992805,405.34204,583.1015,99990.27,3046.9902,11000.806,3471.2295,2572.227,33898.508,492.0581,0.0,0.0
18.0,23918.941,3611.4539,799.39136,6059.804,34237.01,17.19743,390.61124,549.60736,112638.016,2940.7805,11750.808,2889.3718,2141.974,25652.238,435.03442,0.0,0.0
19.0,22866.77,3683.275,739.08374,5917.2593,39562.47,10.280358,365.74652,327.17264,86333.41,2938.5151,12197.672,2378.0051,2633.2334,12016.718,275.911,0.0,0.0
20.0,22677.988,4876.661,632.9909,5681.466,45734.99,6.011833,339.45563,299.26807,81933.914,2731.1973,12147.955,1941.4797,3789.4788,17091.85,341.57565,0.0,0.0
