"Mean biomass (tons), excluding first ages specified in input"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,41856.645,8180.3237,139.98323,1215.6864,22773.078,4098.0312,745.0712,2132.14,274794.62,6255.606,17674.176,2129.3494,121826.07,210917.8,52368.934,3.2571037,0.2765751
2.0,75545.91,6158.455,137.98785,724.142,22929.283,6570.395,901.8731,4167.0444,248903.67,14608.497,17764.723,3080.6301,171909.45,556645.7,53524.69,13.3171835,7.334964E-4
3.0,54797.902,3299.614,235.3338,1308.1677,23422.469,6196.3843,1024.5387,4804.87,209272.25,20838.57,16746.527,3855.6257,28126.78,148502.22,16692.9,3.9225965,0.0
4.0,44459.613,4449.1494,410.08395,1518.515,23588.19,4711.342,1087.5012,3352.3977,142464.16,18365.883,14697.321,3046.7163,3681.145,41140.723,4391.0835,1.3097667,0.0
5.0,51747.414,5628.9834,585.23346,2565.0234,23755.291,3164.246,1117.5211,2697.756,120449.914,15159.512,12710.274,4912.142,6157.23,35004.92,1149.692,0.016675433,0.0
6.0,56074.25,7227.005,834.7449,4623.7207,24151.049,2188.4998,1137.5061,2897.8735,117582.42,11300.335,11365.557,6813.9077,9040.0625,33509.312,1640.2944,5.6158035E-4,0.0
7.0,64878.215,6152.455,1185.2621,6894.311,24795.336,1571.6569,1163.7355,2467.7366,127651.93,12429.223,10634.8125,5503.875,9455.348,37170.473,1648.3466,0.0,0.0
8.0,75211.12,6018.854,1497.2324,9124.2295,25670.285,1143.602,1172.6614,1756.0518,136927.86,14192.911,10417.971,6551.2188,7480.2427,38518.082,1288.5645,0.0,0.0
9.0,86361.125,5857.3193,1654.345,10786.491,26713.24,880.1488,1147.992,1176.6508,150863.4,12688.818,10651.875,7525.4565,6727.7227,50956.914,1568.1704,0.0,0.0
10.0,80365.38,5055.781,1640.2827,12155.252,27973.596,668.5714,1117.355,1023.26294,171405.7,10444.499,11209.082,6941.5796,4439.3223,92318.664,1797.6366,0.0,0.0
11.0,74810.61,4840.478,1703.9274,12618.605,29478.428,500.2004,1061.6418,1114.9974,158311.0,8068.6294,12058.818,6763.1226,2779.7473,48660.21,1807.4182,0.0,0.0
12.0,80647.39,4540.382,1774.9059,13335.717,31574.707,361.2118,1009.8112,1439.8475,124271.625,7985.1523,12989.394,8025.538,2993.3818,23455.62,1838.8478,0.0,0.0
13.0,74901.82,5578.274,1736.1304,13644.576,34727.48,255.50117,977.8807,1483.9786,135050.33,9753.174,13510.543,7994.258,4064.9417,37560.65,1496.984,0.0,0.0
14.0,82745.89,5409.7593,1725.086,13762.073,39100.723,172.37239,923.9003,989.88153,130019.72,10040.918,15217.622,6523.2124,3349.714,36296.98,1475.825,0.0,0.0
15.0,81588.2,4538.2764,1719.2179,13978.443,44569.848,111.28743,877.27246,1038.5618,135970.53,8512.027,17445.84,7115.298,4222.0293,42463.508,1224.2833,0.0,0.0
16.0,78459.125,4671.127,1621.2806,13521.187,51069.645,77.990845,844.37994,1074.8508,142367.02,6885.0435,19808.035,6501.533,4285.6514,39797.09,1124.9811,0.0,0.0
17.0,69640.68,4515.5747,1600.871,12705.249,58703.477,53.791985,810.4548,1120.0275,122755.19,5990.03,21669.299,6780.2993,3936.9404,56077.3,907.9376,0.0,0.0
18.0,63348.336,4597.2246,1452.7882,12457.353,67693.99,34.225166,780.70483,1076.69,141590.17,5783.596,23161.285,5647.9956,3363.4045,41360.21,802.2908,0.0,0.0
19.0,63145.027,4184.966,1300.8307,12282.6,78213.19,20.435303,730.83575,618.2872,99870.53,5744.374,24021.273,4605.983,3627.003,19616.252,526.05475,0.0,0.0
20.0,59587.395,5168.176,1184.861,11597.217,90420.92,11.973623,678.1986,584.7292,92696.27,5336.336,23876.502,3844.2654,5764.2363,26477.71,605.9292,0.0,0.0
