"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod"
1.0,634.96423,1131.738,21.46265,23.5919,155.30096,243.60788,58.747498,87.54001,121.13193,191.02957,1023.79877,195.76147,7047.22,283.85364,254.35178,0.0,0.0
2.0,118.07822,1.729853,9.413441,2.7841833,120.92395,390.38907,61.508553,44.691463,75.14822,66.49703,701.11926,100.08649,886.35645,110.99559,23.347599,0.0,0.0
3.0,50.38159,0.060773257,2.40864,0.21462992,97.92128,531.0089,91.50005,6.964838,69.894394,30.319014,575.837,9.903542,24.613718,18.267282,0.7281384,0.0,0.0
4.0,11.376295,0.13734359,0.3030164,0.0118315015,49.009396,822.44653,80.502,0.85711306,35.401505,11.998237,881.02765,19.599077,52.26664,8.730949,0.0050991713,0.0,0.0
5.0,29.896624,0.0509954,0.008636242,2.7802837E-4,55.49248,833.3882,91.447266,2.017346,63.298046,4.580335,542.90497,63.945045,50.67992,6.7469254,2.938871E-6,0.0,0.0
6.0,47.98559,0.23592104,0.0,0.0068317233,40.48843,567.4367,81.04757,1.0687609,57.662277,1.620567,565.8805,74.84645,29.809555,9.523693,0.0,0.0,0.0
7.0,82.56351,0.14892319,0.0,0.0033916845,43.40206,459.90967,64.08881,0.4580401,41.36496,0.41810524,480.47296,26.998716,34.218967,10.9027815,0.0,0.0,0.0
8.0,100.72303,0.49750334,0.9495539,0.021773968,50.22598,247.33531,90.786896,1.0976533,25.407646,0.8028399,412.28497,34.79346,17.10304,17.81905,1.1643681E-4,0.0,0.0
9.0,126.05868,0.4145323,3.3863642,0.04929705,37.59112,224.6256,113.954094,1.0325035,52.28065,2.4903016,379.16656,23.709291,24.173445,25.033384,2.8288658E-5,0.0,0.0
10.0,172.44124,0.1764078,4.3524833,0.06621237,42.54696,158.54842,77.65937,0.3186092,62.60029,2.253215,587.75287,113.88788,19.484545,17.365698,1.8909697E-4,0.0,0.0
11.0,111.83043,0.22218847,11.1173725,0.14101197,29.173721,137.7775,133.29199,0.13277836,38.137608,2.677385,492.64642,64.56662,11.747752,13.761135,0.0013791568,0.0,0.0
12.0,89.795135,0.2396514,8.143014,0.16829124,41.912075,99.91401,68.24896,0.53314394,42.994473,2.703026,690.4778,104.15696,31.56352,7.795158,0.009928743,0.0,0.0
13.0,93.1997,0.63483214,9.605959,0.32395607,41.328033,67.318634,78.567764,0.29704893,43.08494,2.3881378,682.0591,93.9345,22.535215,15.078029,0.004208589,0.0,0.0
14.0,107.56888,0.27781135,24.434908,0.387211,35.67888,64.12832,102.82489,0.47547677,27.160496,4.6293864,723.5241,88.22627,27.179504,8.887636,0.0013564326,0.0,0.0
15.0,85.572174,0.21416542,17.354519,0.4394991,49.331833,32.035324,60.823475,0.427156,59.325287,6.5934362,637.02234,150.45804,123.14605,17.269802,0.025417674,0.0,0.0
16.0,73.574036,0.43884826,12.087127,0.65736246,32.979485,19.016726,65.13595,0.35000983,52.120388,5.757352,736.7179,110.813324,64.86755,10.85726,0.015109167,0.0,0.0
17.0,72.27526,0.20558521,19.855616,0.50985956,39.2164,15.923326,55.570362,0.52346474,84.283066,5.6000853,1269.4799,131.3386,60.121056,12.987044,0.023504743,0.0,0.0
18.0,67.241455,0.3265512,21.196339,0.6078183,31.658852,11.633691,44.546993,0.23590043,86.945366,4.3031926,848.01495,33.631817,71.21022,4.9973063,0.0035043198,0.0,0.0
19.0,76.478264,0.3318185,11.317866,0.39010432,23.00799,6.465692,80.35607,0.39106455,49.676605,4.156082,840.9645,83.91565,59.851994,8.205349,0.0025444156,0.0,0.0
20.0,29.189573,0.47074473,16.859787,0.2722042,28.928278,3.7641497,41.237907,0.12361519,56.42802,5.2794747,1202.2839,50.206245,153.00104,16.277369,0.0012315727,0.0,0.0
