"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,1.611176882433147,1.718446321430936,0.5001678933892009,0.0,0.49222184880685893,2.385739522932731,0.0031706952803863386,0.0022450088009508262,0.0022528311143996693,0.0,0.0,0.058962274933302666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.955785346798253E-4,0.0,0.0,0.0014267700011942157,
2.0,0.8212261921312654,1.4712301665578829,1.132596539899162,0.0,1.6029485958177023,1.762560397725162,0.0023934801844796246,0.002241324737841345,0.0022500703053454797,0.0,0.0,0.06728772189295966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796739585147439E-4,0.0,0.0,9.166383239115024E-5,
3.0,0.9825870703307595,1.917673350567014,1.3920107863525228,0.0,0.994949912921572,1.715239976940212,0.0024405941482550245,0.0022442011011469007,0.0022466415718677226,0.0,0.0,0.062154395341384755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.278221751655028E-4,0.0,0.0,1.743452069158847E-5,
4.0,0.8618986664377564,2.529859152005343,1.3717751681860635,0.0,0.7057530568072582,1.8702497518063395,0.0024057460717686295,0.002239330263780169,0.0022451679268587397,0.0,0.0,0.07454884880469363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.530186747948851E-4,0.0,0.0,0.0,
5.0,0.3696296889781796,2.5298581952384236,0.6124147783967075,0.0,0.6907768144299511,1.7917942217804728,0.0022646415939329353,0.00223678355140756,0.0022521302661541514,0.0,0.0,0.07719374049451289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.79734752469827E-4,0.0,0.0,0.0,
6.0,0.3831434379234909,2.1443646576425133,0.47774038092024584,0.0,0.8011221095565502,1.6900260290392985,0.0022683201562254357,0.0022443630691379797,0.0022523961342446924,0.0,0.0,0.07783948515725142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.862574258308222E-4,0.0,0.0,0.0,
7.0,0.4416194591408503,1.8508851387350975,0.3357314836448942,0.0,0.9453160009591504,1.6545279552707732,0.0022848064289266393,0.002246926067187951,0.002252435495386854,0.0,0.0,0.09432271861739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.527547335090632E-4,0.0,0.0,0.0,
8.0,0.3701469396172867,1.761598295797006,0.3084221391624043,0.0,1.1064509747333549,1.6893123416702418,0.002264715723373705,0.0022468845382203743,0.002252362801773707,0.0,0.0,0.09175050042079921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.267727315232246E-4,0.0,0.0,0.0,
9.0,0.6222931025915454,1.6666831265678175,0.29056434551280896,0.0,1.1513126469617547,1.7328531167810568,0.002336050670899879,0.0022471171068652062,0.0022524181739067427,0.0,0.0,0.09609936774885455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.707006843318642E-4,0.0,0.0,0.0,
10.0,0.8008745320296922,1.8138481437152172,0.2861052553328176,0.0,1.1208916688183799,1.8092695599248396,0.0023875670072803835,0.0022458722307856878,0.0022523184272679074,0.0,0.0,0.155489858472483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015706046310351813,0.0,0.0,0.0,
11.0,0.5246725192506123,1.9204148262531677,0.29005503700522195,0.0,1.0150713756344159,1.8596593696835408,0.002308371629462635,0.0022454120987483563,0.0022524418303565895,0.0,0.0,0.12015692116012275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012137062743446743,0.0,0.0,0.0,
12.0,0.40364908836147173,1.7432923637635533,0.2935942374030962,0.0,0.9911083418833097,1.8072630540473833,0.0022742179157457373,0.0022464995469999895,0.0022524161215680006,0.0,0.0,0.09796115021240928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.89506567802114E-4,0.0,0.0,0.0,
13.0,0.5351731188972396,1.8258745808513739,0.31265086182374024,0.0,0.9880081486194803,1.7275615664435289,0.002311372805673263,0.0022470355607463383,0.0022523377399432257,0.0,0.0,0.09998016374478517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001009900643886719,0.0,0.0,0.0,
14.0,0.3420724274945751,1.7778968993082978,0.3368580190946744,0.0,1.0898160619160466,1.8347744795184109,0.0022569044686924626,0.0022471354725850544,0.002252251167113235,0.0,0.0,0.10890475858038993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011000480664685854,0.0,0.0,0.0,
15.0,0.6043916314894222,1.7837285722024188,0.3665278432594914,0.0,1.0845631578592065,1.8010231036302178,0.0023310721184035053,0.002248058264143568,0.0022524130194562742,0.0,0.0,0.08272677234707787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.356239631017965E-4,0.0,0.0,0.0,
16.0,0.506326597832349,2.0223270218651948,0.4032540228135121,0.0,1.0758407910500503,1.7435274545074184,0.002303068443731743,0.0022462922245006373,0.0022525252657246957,0.0,0.0,0.07707285983211537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.785137356779328E-4,0.0,0.0,0.0,
17.0,0.5539707506496125,2.031934913060299,0.48171709616130576,0.0,1.0008765529117858,1.7446940631572405,0.002316658694910301,0.002247199216448172,0.0022524503635008696,0.0,0.0,0.07956942312044865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.037315466711988E-4,0.0,0.0,0.0,
18.0,0.4931505911312305,2.434828161415921,0.5222264856020805,0.0,0.9495412968616169,1.7792600663313798,0.00229938774227189,0.0022450912428658245,0.00225265687026461,0.0,0.0,0.07436699419494035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.511817595448519E-4,0.0,0.0,0.0,
19.0,0.34632049481217414,2.2710356167917953,0.6425649807562259,0.0,0.9038015426815066,1.823002430757155,0.002258112715036918,0.002245571326387654,0.0022528372870728106,0.0,0.0,0.09293447761557531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.387320971270235E-4,0.0,0.0,0.0,
20.0,0.32874923580360593,2.54047563623269,0.6731639774525923,0.0,0.8062590110479505,1.6281969364105,0.0022531581016252016,0.0022447195346221326,0.0022527442907778555,0.0,0.0,0.040281639961186326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0688525213319524E-4,0.0,0.0,0.0,
