"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,5.3380946718074584,1.498714114067613,0.22967513994424563,0.0,1.6440513170980715,1.6439200426974474,0.44747009850091524,2.142012895481905E-4,2.1468158614999214E-4,0.0,0.0,0.014675004402934684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4823236770641096E-4,0.0,0.0,6.532641471203998E-4,
2.0,5.245156885288217,1.8624272767561454,0.44389862051432305,0.0,1.8473655195392014,1.717732558259594,0.4449210756999186,2.132210988886264E-4,2.1467645053365182E-4,0.0,0.0,0.02132773998828104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1543171705334387E-4,0.0,0.0,8.010713117092358E-4,
3.0,3.375605239648361,2.764321887930811,0.8354245226894852,0.0,1.7419476925553505,1.9126832420459112,0.41507346823497876,2.1253508312258206E-4,2.144337105669841E-4,0.0,0.0,0.023893055843507673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4134399841926944E-4,0.0,0.0,5.912391993083018E-4,
4.0,3.1402060249040473,3.5925578373999496,0.6885785021075834,0.0,1.5700503260155882,1.9007042858471843,0.41149668503191533,2.1156133455603132E-4,2.1455608695577878E-4,0.0,0.0,0.028199460799492107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.848430383787081E-4,0.0,0.0,4.9185359012961406E-5,
5.0,2.402351590504506,3.652616625517121,0.6944452777850357,0.0,1.552730008826933,1.917080867891174,0.40029114509294733,2.115853918623613E-4,2.1463212511521813E-4,0.0,0.0,0.02388240871350962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4123645165161238E-4,0.0,0.0,5.524310540002662E-6,
6.0,2.1721787769716436,3.9009787338171984,0.5456482433188088,0.0,1.5420814109603658,2.091070915638334,0.3967953761066482,2.117406235447758E-4,2.1466002614453796E-4,0.0,0.0,0.03612627544579233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.649118731898215E-4,0.0,0.0,2.4120280249071235E-6,
7.0,3.2531110024879357,3.4320594418877874,0.4181207778642201,0.0,1.5677391543709593,2.0014857856105537,0.41326216947948985,2.1248903663442832E-4,2.1462440411257344E-4,0.0,0.0,0.03566366427225981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.602390330531295E-4,0.0,0.0,0.0,
8.0,3.300569588848731,3.4657932121603827,0.35911479115772293,0.0,1.5482158514712079,2.105281252835123,0.4138073745384796,2.124156081953387E-4,2.1466803956561836E-4,0.0,0.0,0.03807227267261866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8456841083453204E-4,0.0,1.0241859634346776E-5,0.0,
9.0,3.3276133524997307,3.2334633321981463,0.20861634629092843,0.0,1.5732092053841393,2.1481859876398235,0.4143986778102538,2.1295229869732697E-4,2.147042616688088E-4,0.0,0.0,0.026814456503616184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7085309599612304E-4,0.0,1.9605946051207333E-4,6.542219069048385E-7,
10.0,3.5033800044411554,2.7410474123446846,0.2809501766623849,0.0,1.6338669616215087,2.2025844063742577,0.41692555848406293,2.131967698568497E-4,2.1468430547976662E-4,0.0,0.0,0.030830958315948155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.114238213732137E-4,0.0,5.49978316612339E-5,0.0,
