"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,3.3802686195586125,6.667350798437361,0.5701325831134507,0.0,0.037378933754676,1.145900133049708,0.009787414843002001,9.636000983100405E-4,0.0010269161392856114,0.0,0.0,0.028367275416708814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.865381355223114E-4,0.0,0.0,0.008745160175458358,
2.0,2.4283356835743737,5.991523006454879,1.350524468382908,0.0,0.07546989066163365,0.9260698364834645,0.008411624434090818,9.834758515605158E-4,0.0010222976608651932,0.0,0.0,0.01463930884946925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4787180656029554E-4,0.0,0.0,0.010571547962944775,
3.0,1.7492914722596589,4.88727838756765,2.313576128442212,0.0,0.09837957830545352,0.8468897831581084,0.008067251378415158,9.761773486899926E-4,0.0010103997052462717,0.0,0.0,0.010409178535418841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0514321752948328E-4,0.0,0.0,0.02377129065690564,
4.0,1.0642962252889232,3.545466020926338,2.5081016758205794,0.0,0.13470570588579125,0.6392410572770727,0.007736741240201261,9.939980194813944E-4,9.948303930953134E-4,0.0,0.0,0.014376557484698151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4521775237068843E-4,0.0,0.0,0.03795961892775224,
5.0,0.8259609419475932,5.429083075715041,1.7732531100907591,0.0,0.009784001299989544,0.49705841030219544,0.0076217254417542376,9.910255510722648E-4,9.885892621435434E-4,0.0,0.0,0.012146750120004197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2269444565660804E-4,0.0,0.0,0.4100397205492924,
6.0,1.1009711071188972,5.489629551466777,1.4405266844657703,0.0,0.044599741087068503,0.5075773871641676,0.007752035765121293,9.85546073184105E-4,4.511522629803711E-4,0.0,0.0,0.0032584601183959176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.291373856965574E-5,0.0,0.0,0.0,
7.0,1.6611780784215238,5.268857248806281,0.9131505550190328,0.0,0.04676899154375075,1.322126928273365,0.008024064920677186,9.922457356240138E-4,0.001027561088657955,0.0,0.0,0.00964114742137552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.738532748864161E-5,0.0,0.0,0.0,
8.0,1.5201625795048035,5.686080929025306,6.5138913090573265,0.0,0.05980489066372979,1.7235260782001482,0.007955705387831427,9.915602473819932E-4,9.750987645152215E-4,0.0,0.0,0.009197037261449938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.289936627727212E-5,0.0,0.0,0.0,
9.0,1.8023342210174627,4.9137101183758425,0.44762806015118584,0.0,0.13175194821794736,1.591281235556759,0.008094358220017535,9.992495944464949E-4,0.0010271777781908134,0.0,0.0,0.005350995223551877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405045680355433E-5,0.0,0.0,0.0,
10.0,1.6451434156491196,5.753572947225241,0.4840445661696506,0.0,0.2363070689889576,1.570746689201164,0.008017223357949932,9.966794761792556E-4,0.0010272065361725108,0.0,0.0,0.006313987497939264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.377765149433603E-5,0.0,0.0,0.0,
11.0,1.518529068808161,5.372104616263783,0.42722442299166163,0.0,0.25474573210348056,1.2080629235273903,0.007954957935705618,0.0010016370825526226,0.0010271423974737768,0.0,0.0,0.008528413308006516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.614558896976278E-5,0.0,0.0,0.0,
12.0,1.6626612384205441,5.401933875937999,0.4956956207109183,0.0,0.2725744969212906,1.3296751636495396,0.008023736653269588,0.001002885112764322,0.001027364538619419,0.0,0.0,0.00835577109476219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.440172822992112E-5,0.0,0.0,0.0,
13.0,2.034336279208702,4.941663944631566,0.4752493809782044,0.0,0.27452036218639475,1.4022393056350526,0.008208016682301733,0.0010027242033139741,0.0010270753848078448,0.0,0.0,0.008561562332043148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.648042759639546E-5,0.0,0.0,0.0,
14.0,1.7896272080237752,5.262728268199535,0.5519282463844115,0.0,0.3163055806376881,1.3219243728477914,0.008085937709678344,0.0010014576042688302,0.0010271928051760542,0.0,0.0,0.011562929519115849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1679726786985705E-4,0.0,0.0,0.0,
15.0,2.055668950067142,5.118171542963306,0.5664790471693452,0.0,0.2629159678898895,1.3034242105300102,0.008223082901143564,0.0010025584430425694,0.0010271668421818504,0.0,0.0,0.009575588293781762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.672311407860365E-5,0.0,0.0,0.0,
16.0,1.4309787410664039,5.382374953809944,0.6660592636089648,0.0,0.2638497176403286,1.3102063765501692,0.0079118104672609,0.0010048198254794085,0.0010271063569886056,0.0,0.0,0.012781874713980207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2910984559575962E-4,0.0,0.0,0.0,
17.0,1.524560353699596,5.608765745182265,0.6922358318252417,0.0,0.17851704295973067,1.382228548511989,0.007959593866949681,0.0010018266336792646,0.0010272073628568425,0.0,0.0,0.009407101453657769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.502122680462393E-5,0.0,0.0,0.0,
18.0,1.6470911423129873,5.541662031763735,0.9118149154418852,0.0,0.20785260197236893,1.3206531336348064,0.008017766050823834,0.0010034241047385082,0.0010272212189035494,0.0,0.0,0.0102882223379111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039214377566778E-4,0.0,0.0,0.0,
19.0,1.4347529969627835,6.2124729606830025,1.0982677112548984,0.0,0.1769845850742436,1.4196016904070983,0.00791260128486875,0.001001388629663568,0.0010273566485893095,0.0,0.0,0.008271801983451258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.355355538839656E-5,0.0,0.0,0.0,
20.0,1.531344983068585,5.8683002392743715,1.2225597718094163,0.0,0.06972086602367754,1.4068975856821335,0.00796386285919124,9.999621734734072E-4,0.0010274416634517434,0.0,0.0,0.00956052361029816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.657094555856727E-5,0.0,0.0,0.0,
