"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,2.4591599,0.42459747,0.037947074,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.42163718,0.85153204,0.0023791634,0.00802838,0.0,0.0,8.1094746E-5,0.0
1.0,4.0,0.5427534,2.4691951,0.0023167774,0.0605435,0.0,0.0,6.115505E-4,0.0
1.0,6.0,0.31838402,2.3687255,0.0023202542,0.060881548,0.0,0.0,6.149651E-4,0.0
1.0,8.0,0.28146794,2.3166869,0.0023044206,0.061142325,0.0,0.0,6.1759923E-4,0.0
1.0,10.0,0.29411337,2.3456714,0.0023068865,0.06128661,0.0,0.0,6.190567E-4,0.0
1.0,12.0,0.26070398,2.2639449,0.0022997933,0.05995397,0.0,0.0,6.0559565E-4,0.0
1.0,14.0,0.46039242,2.3514025,0.0024593913,0.06624123,0.0,0.0,6.6910335E-4,0.9297201
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.6735102,1.5259379,0.025946332,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.70471,1.2787857,0.002610885,0.0064838496,0.0,0.0,6.549343E-5,0.0
2.0,4.0,2.0927577,2.1196635,0.0024242906,0.07263924,0.0,0.0,7.3372974E-4,0.0
2.0,6.0,1.5711287,1.997459,0.0022440453,0.067254186,0.0,0.0,6.793352E-4,0.0
2.0,8.0,1.3246458,2.0980418,0.0023032778,0.069898576,0.0,0.0,7.0604624E-4,0.0
2.0,10.0,1.2152585,2.0522084,0.0022838945,0.06818954,0.0,0.0,6.8878324E-4,0.0
2.0,12.0,1.0383853,2.1799355,0.002295832,0.070014395,0.0,0.0,7.072161E-4,0.0
2.0,14.0,1.446566,2.249269,0.002458236,0.07084289,0.0,0.0,7.155847E-4,0.6222558
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,2.1537871,0.93775845,0.025564065,0.0,0.0,0.0,0.0,0.0
3.0,2.0,0.93133,1.2185057,0.002715577,8.578455E-4,0.0,0.0,8.665105E-6,0.0
3.0,4.0,2.0680773,2.154083,0.0026530144,0.07245187,0.0,0.0,7.3183706E-4,0.0
3.0,6.0,2.7647913,1.8096188,0.0021402482,0.060994275,0.0,0.0,6.161038E-4,0.0
3.0,8.0,2.6039383,1.8556381,0.0022278351,0.06305663,0.0,0.0,6.369357E-4,0.0
3.0,10.0,2.3885245,1.8467667,0.0022922377,0.06440164,0.0,0.0,6.5052166E-4,0.0
3.0,12.0,2.6875224,1.8459224,0.0022385656,0.063078664,0.0,0.0,6.3715817E-4,0.0
3.0,14.0,2.7922573,1.9415638,0.0024732132,0.0682322,0.0,0.0,6.8921415E-4,1.3469105
3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,2.7921572,0.6507667,0.032870002,0.0,0.0,0.0,0.0,0.0
4.0,2.0,0.8268124,0.8046494,0.0024912637,3.696049E-5,0.0,0.0,3.7333828E-7,0.0
4.0,4.0,1.6313238,1.98923,0.002496176,0.05594378,0.0,0.0,5.650887E-4,0.0
4.0,6.0,5.370628,1.160034,0.0018382095,0.065293185,0.0,0.0,6.5952714E-4,0.0
4.0,8.0,1.7100614,1.6149148,0.0017926812,0.06336731,0.0,0.0,6.4007385E-4,0.0
4.0,10.0,2.589498,1.938612,0.0020891612,0.07381505,0.0,0.0,7.4560655E-4,0.0
4.0,12.0,4.9843664,1.6183527,0.0023632995,0.08300375,0.0,0.0,8.3842175E-4,0.0
4.0,14.0,2.6282475,1.8889254,0.0021207936,0.07537197,0.0,0.0,7.613331E-4,0.0
4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
