"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,3.3711164,0.010351442,25.877966,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.42139578,1.1243504,0.013572273,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.21735728,0.9656809,0.012753166,0.026743123,0.0,0.0,2.7013256E-4,0.0
1.0,6.0,0.16096735,0.6651298,0.012780351,0.10093857,0.0,0.0,0.0010195816,0.0
1.0,8.0,0.11014306,0.43394628,0.012756472,0.09963969,0.0,0.0,0.0010064616,0.0
1.0,10.0,0.05084128,0.29661328,0.012736674,0.09974534,0.0,0.0,0.0010075286,0.0
1.0,12.0,0.022766566,0.24945483,0.012753393,0.09928411,0.0,0.0,0.0010028698,0.0
1.0,14.0,0.021664947,0.20051253,0.012768941,0.097831056,0.0,0.0,9.881925E-4,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,2.4434893,0.1515603,23.122932,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.6399458,1.2233394,0.014338128,0.0,0.0,0.0,0.0,0.0
2.0,4.0,0.38445452,0.82922894,0.012684164,0.0033065395,0.0,0.0,3.339939E-5,0.0
2.0,6.0,0.19579417,0.69430983,0.012710372,0.06398139,0.0,0.0,6.462767E-4,0.0
2.0,8.0,0.13819975,0.6309639,0.012736637,0.065735474,0.0,0.0,6.6399475E-4,0.0
2.0,10.0,0.07789727,0.547116,0.012674671,0.064975366,0.0,0.0,6.563168E-4,0.0
2.0,12.0,0.045427933,0.4932463,0.012755368,0.06603479,0.0,0.0,6.67018E-4,0.0
2.0,14.0,0.042597115,0.43269065,0.012756658,0.06676922,0.0,0.0,6.744365E-4,0.0
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
