"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,0.24987257,0.0,0.07385656,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.058846224,0.0,0.08176647,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.031149914,0.0,0.081351414,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.015675118,0.0,0.081196204,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.008970944,0.0,0.08118924,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0045702257,0.0,0.08105542,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.0017441983,0.0,0.0810558,0.0,0.0,0.0,0.0,0.0
1.0,14.0,1.786979E-4,0.0,0.08105762,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.08105932,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.08109899,0.010631453,0.0,0.0,1.0738842E-4,0.0
1.0,20.0,0.0,0.0,0.08103564,0.011221406,0.0,0.0,1.1334754E-4,0.0
1.0,22.0,0.0,0.0,0.08103534,0.011176257,0.0,0.0,1.1289149E-4,0.0
1.0,24.0,0.0,0.0,0.08103535,0.0112185,0.0,0.0,1.1331818E-4,0.0
1.0,26.0,0.0,0.0,0.08103545,0.0112286545,0.0,0.0,1.13420756E-4,0.0
1.0,28.0,0.0,0.0,0.08103528,0.011199513,0.0,0.0,1.1312639E-4,0.0
1.0,30.0,0.0,0.0,0.08103547,0.011220344,0.0,0.0,1.1333681E-4,0.0
1.0,32.0,0.0,0.0,0.08103528,0.01120018,0.0,0.0,1.1313314E-4,0.0
1.0,34.0,0.0,0.0,0.0810354,0.011179624,0.0,0.0,1.12925496E-4,0.0
1.0,36.0,0.0,0.0,0.08103546,0.011235583,0.0,0.0,1.13490736E-4,0.0
1.0,38.0,0.0,0.0,0.08103528,0.011202248,0.0,0.0,1.1315401E-4,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.49307778,0.0,0.07765026,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.10813985,0.0,0.08575612,0.0,0.0,0.0,0.0,0.0
2.0,4.0,0.05264309,0.0,0.08142017,0.0,0.0,0.0,0.0,0.0
2.0,6.0,0.027034441,0.0,0.08118842,0.0,0.0,0.0,0.0,0.0
2.0,8.0,0.014920755,0.0,0.081180036,0.0,0.0,0.0,0.0,0.0
2.0,10.0,0.0076603806,0.0,0.08111006,0.0,0.0,0.0,0.0,0.0
