"Distribution of the biomass (tonne) of prey species (in columns) in the diet of Goosefish by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,0.7669649,0.0021897738,2.40986E-4,0.025329577,0.0,7.013172E-8,6.597237E-5,0.05562654,1.2766587,0.06613489,0.06240358,0.020019751,1.9342656,0.14790423,0.15508321,0.0,0.0,0.0,6.904273E-5,0.005170848,0.0,0.008576252,0.0,2.4230675E-4,3.8058834
1.0,2.0,9.147993,1.558527,0.059998006,1.3934329,0.2456046,0.058087423,0.04583764,0.63745654,12.699585,1.6456914,2.1477406,0.8930712,4.161865,3.2972949,4.103214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60412806
1.0,4.0,5.8794093,2.1860607,0.1032535,1.4706954,0.81463826,0.36257944,0.057980213,0.7843646,6.382978,2.175776,5.626282,1.5397077,0.017068746,5.359789,3.0545127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,3.3005493,1.218755,0.06902358,0.69618237,0.69352525,0.43804926,0.046462424,0.40766266,2.6668317,1.6581546,7.8974915,1.3701497,0.0,3.569597,1.5812693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,1.7995698,0.7461362,0.04809596,0.4450111,0.62166435,0.3859239,0.03755909,0.25268102,1.2119136,1.3850191,6.439498,0.8667473,0.0,2.3611407,1.0862019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,1.1015869,0.5717046,0.03208002,0.3434135,0.587841,0.352758,0.039442476,0.19133285,0.46851158,1.2641976,4.8732877,0.65668076,0.0,1.7274079,0.7792498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.62724555,0.420545,0.023494417,0.23250723,0.536295,0.27994135,0.031119784,0.118566684,0.16334023,0.9033709,3.4030867,0.4569596,0.0,1.239999,0.47163683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.2876511,0.2688325,0.016224543,0.15311313,0.45064944,0.21115978,0.024088725,0.09233653,0.045830823,0.6022733,2.3390377,0.31903985,0.0,0.79552466,0.3133978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.17146802,0.20868722,0.013028274,0.10581929,0.40314993,0.16231735,0.01998426,0.056939423,0.010694917,0.44409913,1.6835271,0.2398598,0.0,0.60795975,0.24191998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.103627354,0.16148861,0.00866599,0.08508299,0.34431466,0.11853203,0.015906107,0.043423768,0.0030631204,0.3432764,1.2733512,0.1730506,0.0,0.43614006,0.16450647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
