"Distribution of the biomass (tonne) of prey species (in columns) in the diet of Scup by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,1.3443918,0.012328275,6.71903E-4,0.0037575944,0.0,2.5335753E-10,1.2912534E-4,0.0065498017,4.5404763,0.051660653,0.011478672,0.0016317877,29.994537,1.8562593,0.054632448,0.0,0.0,0.0,0.29469025,14.542677,0.0,21.033302,0.0,1.2726779,340.32785
1.0,2.0,1.805719,0.19268827,0.049551442,0.0040577147,0.0,2.6903988E-9,0.0031850953,0.17134485,4.906942,0.41798297,0.077737965,0.089776576,12.489061,0.40079576,0.3715889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.225866
1.0,4.0,1.8125103,0.5537859,0.08071158,0.07935598,0.0,1.1309066E-5,0.07233282,0.5268045,8.050948,0.727678,0.19029568,0.24931186,15.487209,0.7982104,0.5808016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.171078
1.0,6.0,2.478992,0.3175963,0.03617746,0.20681699,0.0,5.9051286E-5,0.05665815,0.47138965,5.718351,0.5157864,0.6491407,0.3638671,7.8895464,0.6063928,0.2188089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,2.55067,0.26534092,0.02514207,0.1805691,0.0,2.977333E-6,0.050867535,0.37084648,4.586362,0.434241,0.6064497,0.21566382,3.1485908,0.55904526,0.15168205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,2.260397,0.18572794,0.014138393,0.13319889,0.0,3.9897895E-8,0.01574168,0.2272417,3.4333591,0.2661184,0.5239557,0.21162117,1.7445486,0.43373895,0.08063811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,1.886822,0.1143643,0.008807728,0.067717366,0.0,1.3157366E-5,0.016370496,0.19375262,2.4398289,0.22928107,0.38932085,0.14014295,1.2250335,0.33394337,0.15944809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,1.2255995,0.10685,0.0076929973,0.087285124,0.0,1.06316094E-7,0.012560429,0.15183876,1.8337425,0.15165296,0.30091298,0.102658644,0.95458025,0.21776634,0.14039418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.94220346,0.05356472,0.0069711283,0.033371933,0.0,2.4468967E-5,0.006482187,0.088215806,1.2931083,0.07939533,0.24459374,0.047207545,0.66081905,0.15336488,0.20842876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.620371,0.039233215,0.003320612,0.061059643,0.0,0.0,0.0050050598,0.0667993,0.9031386,0.06215287,0.12694289,0.036629885,0.49682817,0.11261958,0.15939996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
