"Distribution of the biomass (tonne) of prey species (in columns) in the diet of ShallowDemersal by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","AtlanticHerring","AtlanticMackerel","BlackSeaBass","Scup","SpinyDogfish","StripedBass","Goosefish","WinterFlounder","Squids","Flounders","SkateRays","Hakes","Benthopelagics","MiscellaneousDemersals","ShallowDemersal","WhitePerch","AtlanticTomcod","Diazotrophs","LargePhytoplankton","LargeZooplankton","MediumPhytoplankton","MediumZooplankton","SmallPhytoplankton","SmallZooplankton","Benthos"
1.0,0.0,51.932194,15.283062,1.5705951,2.270867,0.0,0.0,0.0046036327,3.3010316,174.2047,6.908683,0.033655062,0.786634,1071.7357,147.1787,7.8532867,0.12281744,4.9005763E-4,0.0,52.3805,1598.133,0.0,2548.451,0.0,117.64997,0.0
1.0,2.0,16.20375,4.8167553,1.9069273,0.87223655,0.0,5.5037134E-7,6.4682774E-4,3.0958061,28.35992,4.367004,2.0492592,1.2100643,6.8942266,2.7841964,9.509505,0.17873107,0.0012419588,0.0,0.0,15.340059,0.0,0.0,0.0,0.0,0.0
1.0,4.0,7.8244977,2.4279497,0.7685683,0.35640582,0.0,0.0,0.0037289935,1.2453773,14.693859,1.8843644,0.934921,0.7398666,25.3447,1.9978437,3.6834173,0.0317722,0.0011292824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,2.833866,0.88853693,0.33025506,0.24375986,0.0,0.0,0.0032992892,0.36933622,5.9540806,0.6268818,0.35979503,0.14361697,11.932833,0.71279895,1.2107608,0.00811451,2.9333065E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.9535905,0.3352556,0.06037377,0.033495523,0.0,0.0,8.795938E-5,0.1862905,1.8602067,0.18861322,0.1951212,0.04379945,5.0181146,0.17720842,0.4649091,0.018588813,2.5790586E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.25652623,0.049338013,0.013854769,0.031236757,0.0,0.0,5.063073E-7,0.04810898,0.52231556,0.06825459,0.02511206,0.012454009,1.1151661,0.05343942,0.06632701,3.976713E-4,1.3663508E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,256.2608,4.8530383,1.2438835,2.982528,0.0,0.0,5.0252344E-4,0.832838,389.7843,2.4635272,0.0,0.7246448,1991.6661,204.80472,4.7182007,0.015693521,1.896932E-7,0.0,4.2181425,1007.4383,0.0,300.8258,0.0,12.500165,0.0
2.0,2.0,3.319571,0.060622595,0.04063321,0.07390612,0.0,0.0,5.4520107E-4,0.09271519,2.0089664,0.5692963,0.23609473,0.034491505,8.448215,0.9426113,0.57196623,0.023556188,8.399593E-7,0.0,0.0,1.8150773,0.0,0.0,0.0,0.0,0.0
2.0,4.0,0.5475473,0.12580438,0.06394059,0.09982459,0.0,0.0,9.246306E-4,0.09891152,1.5597813,0.27811027,0.222738,0.060087252,1.6264662,0.94102466,0.60921305,0.009089953,1.5474791E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6.0,0.2969343,0.061804697,0.024058027,0.023666129,0.0,0.0,2.1283286E-4,0.060622483,0.9525181,0.19240199,0.116060026,0.037258994,0.87483525,0.5316529,0.20288159,0.026740948,2.791743E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8.0,0.12031709,0.025125237,0.013425408,0.012719518,0.0,0.0,2.2945837E-4,0.04017877,0.4068978,0.05285576,0.042187497,0.00601764,0.41617775,0.2115667,0.08609906,0.005476059,3.435548E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
